,SOX3,OSR1,CHD,VED,NOTO,BAMBIA,WNT11,GATA5,APLNRB,EVE1
,WNT8A,ID3,HES6,ADMP,GSC,OTX1B,GATA2A,MIXL1,CST3,BMP7A
,NDR1,SP5L,FOXD5,OTX1A,SNAI1A,TA,FOXB1A,FGF8A,NOG1,FOXD3
,CDX4,SEBOX,LFT1,FOXI1,VOX,BMP2B,LFT2,NDR2,LHX1A,VENT
5,8,16,24,32,7,15,23,31,40,39
7,7,15,23,8,16,24,32,40,31,39
20,21,41,29,5,13,28,33,3,4,12
35,33,20,1,2,9,10,17,18,27,11
36,3,4,12,1,2,9,10,17,18,20
49,41,59,42,43,52,49,57,33,28,53
53,33,41,34,25,26,42,35,1,2,9
63,63,64,56,55,62,47,48,7,15,23
72,64,56,63,55,61,62,60,50,58,48
89,33,34,1,2,9,10,17,18,11,19
102,47,48,7,15,23,39,40,8,16,24
115,5,13,3,4,12,21,28,44,36,20
120,33,1,2,9,10,17,18,34,11,19
121,8,16,24,32,40,7,15,23,31,39
125,49,57,28,33,34,35,1,2,9,10
128,3,4,12,52,28,33,41,1,2,9
130,49,57,62,50,58,63,60,64,41,56
139,48,47,7,15,23,56,8,16,24,31
145,30,59,6,14,22,52,49,57,61,50
146,28,33,34,1,2,9,10,17,18,20
158,64,56,63,55,62,61,48,54,50,58
159,21,31,5,13,63,55,29,7,15,23
172,50,58,59,60,52,49,57,51,36,44
194,33,1,2,9,10,17,18,34,11,19
226,28,20,35,36,11,19,27,29,43,52
227,7,15,23,31,39,8,16,24,32,40
242,61,53,49,57,62,54,50,58,63,29
258,7,15,23,8,16,24,31,32,5,13
277,50,58,35,36,34,51,42,59,43,52
291,59,60,52,51,50,58,49,57,44,42
301,63,64,33,42,41,56,36,1,2,9
319,61,62,53,54,55,59,60,63,52,64
333,41,28,33,1,2,9,10,17,18,20
337,45,37,47,48,7,15,23,8,16,24
344,7,15,23,8,16,24,31,32,39,40
360,1,2,9,10,17,18,20,11,19,25
366,52,44,41,51,42,59,43,49,57,28
368,61,53,60,51,62,59,54,43,52,63
371,50,58,61,60,53,51,59,42,52,43
372,49,57,61,60,50,58,41,62,54,51
376,28,1,2,9,10,17,18,20,36,11
383,41,42,43,49,57,33,28,34,1,2
394,1,2,9,10,17,18,20,11,19,25
395,33,34,41,25,26,1,2,9,10,17
400,33,1,2,9,10,17,18,34,41,11
409,7,15,23,8,16,24,31,32,6,14
414,7,15,23,8,16,24,31,32,39,40
435,59,52,60,51,50,58,3,4,12,34
438,28,1,2,9,10,17,18,20,36,27
452,44,45,52,43,60,37,53,47,48,59
456,48,64,47,63,40,56,46,62,55,38
459,49,57,50,58,35,34,51,42,59,43
471,6,14,22,5,13,21,30,7,15,23
484,61,55,53,47,48,63,62,64,45,54
495,49,57,50,58,51,42,59,43,52,44
497,49,57,50,58,41,51,42,59,43,52
504,60,59,53,43,52,28,41,20,36,44
506,50,58,51,60,49,57,42,59,43,52
510,7,15,23,8,16,24,31,32,40,39
549,5,13,21,29,41,37,6,14,22,3
594,33,1,2,9,10,17,18,20,34,35
610,7,15,23,8,16,24,31,32,39,40
618,41,35,43,27,28,33,3,4,12,42
627,41,28,1,2,9,10,17,18,20,36
633,7,15,23,8,16,24,32,31,39,40
649,49,57,50,58,51,42,59,43,35,34
667,6,14,22,5,13,21,30,42,45,41
679,41,3,4,12,28,33,1,2,9,10
681,21,29,28,37,5,13,30,3,4,12
683,1,2,9,10,17,18,11,19,25,26
689,7,15,23,21,5,13,8,16,24,32
700,40,48,47,8,16,24,32,39,64,7
715,30,21,6,14,22,31,39,29,38,7
724,43,35,36,44,42,41,28,20,34,51
742,28,33,1,2,9,10,17,18,20,34
744,61,60,52,62,53,45,54,59,51,46
749,3,4,12,28,11,19,1,2,9,10
781,3,4,12,30,11,19,28,6,14,22
793,28,33,34,35,36,1,2,9,10,17
814,41,42,35,36,34,43,49,57,25,26
818,5,13,21,29,6,14,22,3,4,12
823,41,28,33,1,2,9,10,17,18,20
831,1,2,9,10,17,18,11,19,25,26
843,48,8,16,24,32,40,47,7,15,23
849,43,28,20,36,35,44,41,27,11,19
