,SOX3,OSR1,CHD,VED,BAMBIA,GATA5,NOTO,EVE1,APLNRB,WNT8A
,ADMP,GSC,NOG1,FOXD5,MIXL1,OTX1A,WNT11,LFT1,SP5L,HES6
,ID3,CST3,GATA2A,SNAI1A,TA,FOXI1,LFT2,VENT,OTX1B,FOXD3
,CDX4,NDR1,SEBOX,FGF8A,FOXB1A,VOX,LHX1A,BMP7A,NDR2,SZL
12,49,57,60,50,58,41,51,61,53,42
26,34,35,36,42,41,33,43,28,3,4
45,49,57,51,27,59,50,58,33,43,20
51,41,53,54,42,63,33,43,52,28,64
67,11,3,4,12,20,19,27,1,2,9
73,52,59,44,41,28,43,3,4,12,20
77,28,33,17,18,20,34,35,36,1,2
85,49,57,50,58,51,59,42,43,52,34
101,63,64,56,55,62,61,54,60,53,50
103,34,35,36,42,41,28,33,52,43,49
105,61,53,62,54,63,64,56,55,49,57
107,51,49,57,59,43,50,58,35,27,41
132,35,36,27,44,43,52,28,49,57,37
136,35,36,28,43,20,34,3,4,12,42
141,44,28,36,20,51,19,27,59,11,43
166,28,36,17,18,20,1,2,9,10,27
168,19,33,11,17,18,20,3,4,12,1
170,3,4,12,1,2,9,10,5,13,11
180,21,5,13,22,6,14,41,29,30,28
182,60,59,62,52,49,57,63,61,50,58
197,28,20,19,27,44,11,60,3,4,12
211,60,49,57,50,58,41,51,42,59,33
214,35,36,28,43,34,20,42,19,27,44
219,49,57,60,50,58,41,51,64,59,42
235,21,3,4,12,52,28,33,5,13,17
239,1,2,9,10,11,17,18,3,4,12
245,55,61,64,53,56,45,52,62,63,60
247,1,2,9,10,11,28,3,4,12,36
257,19,28,11,17,18,20,3,4,12,1
260,22,6,14,30,7,15,23,8,16,24
268,59,52,51,35,36,44,60,28,43,49
270,51,49,57,59,43,52,50,58,35,36
279,20,19,27,11,3,4,12,33,28,36
315,21,30,22,6,14,37,45,29,53,5
322,51,59,49,57,50,58,60,52,43,61
331,34,35,42,1,2,9,10,25,26,27
338,41,33,28,17,18,20,36,34,35,29
350,7,15,23,21,8,16,24,31,32,39
403,7,15,23,30,8,16,24,31,32,39
405,20,17,18,1,2,9,10,19,25,26
411,50,58,49,57,51,42,59,61,53,43
415,19,28,11,17,18,20,3,4,12,1
421,21,5,13,29,37,30,22,6,14,3
427,21,29,5,13,22,7,15,23,6,14
447,8,16,24,32,48,7,15,23,31,40
465,52,60,59,44,51,45,61,53,36,50
475,28,33,52,17,18,34,35,36,20,41
480,17,18,3,4,12,19,25,26,1,2
481,62,54,61,53,59,55,46,60,51,38
486,41,42,28,33,43,17,18,20,36,34
531,6,14,5,13,22,3,4,12,1,2
543,7,15,23,8,16,24,31,32,39,40
551,21,28,3,4,12,20,36,35,29,19
554,44,52,28,43,45,60,21,35,20,36
561,1,2,9,10,11,17,18,3,4,12
572,3,4,12,11,20,35,36,19,27,1
584,20,35,36,3,4,12,19,27,28,33
593,28,33,41,34,35,36,17,18,20,1
601,51,50,58,59,60,52,49,57,44,42
612,31,22,7,15,23,45,21,8,16,24
614,21,7,15,23,5,13,22,8,16,24
615,7,15,23,31,8,16,24,32,22,6
623,29,21,37,5,13,28,30,20,22,7
628,6,14,7,15,23,30,39,31,40,8
640,1,2,9,10,29,5,13,11,21,6
641,46,38,54,30,22,52,63,6,14,64
650,36,35,21,43,52,28,3,4,12,37
656,51,59,43,52,28,20,35,36,49,57
664,28,17,18,20,19,25,26,27,1,2
675,35,36,22,6,14,28,43,5,13,7
684,30,31,39,21,22,38,6,14,29,7
691,50,58,42,41,49,57,43,60,51,35
695,27,20,19,25,26,11,3,4,12,33
709,5,13,3,4,12,11,1,2,9,10
716,17,18,3,4,12,1,2,9,10,19
722,17,18,20,3,4,12,1,2,9,10
733,40,8,16,24,32,7,15,23,48,31
748,43,52,51,35,36,50,58,45,37,59
769,7,15,23,39,40,8,16,24,31,32
772,34,35,36,42,41,52,33,43,28,17
779,51,59,28,43,52,36,20,35,19,27
829,33,17,18,34,41,19,25,26,1,2
832,29,28,31,39,21,20,47,7,15,23
842,61,60,59,62,54,52,53,51,46,64
