,OSR1,SOX3,CHD,VED,OTX1A,WNT11,BAMBIA,NOTO,APLNRB,GSC
,SP5L,ID3,ADMP,OTX1B,CST3,MIXL1,GATA2A,EVE1,WNT8A,GATA5
,NDR1,NOG1,VOX,FOXD5,SNAI1A,FOXD3,SEBOX,LFT1,FOXB1A,VENT
,ISM1,CDX4,TA,FGF8A,HES6,TBX16,HER1,FOXI1,NDR2,LHX1A
14,7,8,15,16,23,24,32,40,31,39
15,53,54,56,61,55,60,41,62,28,59
21,28,20,1,2,9,10,17,18,49,57
39,50,58,59,49,57,51,42,60,52,43
42,1,2,9,10,17,18,20,33,11,19
57,28,41,3,4,12,5,13,1,2,9
62,28,41,20,36,1,2,9,10,17,18
66,44,51,59,42,50,58,60,1,2,9
68,49,57,50,58,51,42,59,36,43,52
99,20,11,19,27,28,3,4,12,1,2
109,36,34,35,28,42,43,1,2,9,10
129,3,4,12,28,5,13,41,20,36,1
140,44,60,52,51,53,28,59,20,36,43
142,1,2,9,10,17,18,33,11,19,25
147,59,52,60,51,44,50,58,36,43,49
171,28,1,2,9,10,17,18,33,36,20
175,41,28,42,1,2,9,10,17,18,20
188,52,60,59,61,44,51,62,28,54,49
189,51,60,59,52,44,28,20,36,43,49
192,36,34,35,42,28,21,41,3,4,12
228,28,20,36,1,2,9,10,17,18,33
237,28,20,1,2,9,10,17,18,33,36
243,5,13,21,3,4,12,20,36,6,14
249,60,59,52,49,57,50,58,41,51,28
250,7,8,15,16,23,24,32,31,40,39
253,41,28,42,20,36,43,1,2,9,10
256,59,50,58,51,49,57,52,60,61,53
281,41,33,25,26,34,35,27,28,42,20
300,59,60,52,51,62,50,58,61,53,44
307,30,6,14,22,54,46,21,38,7,8
311,1,2,9,10,17,18,33,11,19,25
312,7,8,15,16,23,24,32,40,31,39
324,28,1,2,9,10,17,18,20,33,36
332,5,13,21,28,3,4,12,41,29,20
353,6,14,22,5,13,30,21,7,8,15
355,33,25,26,27,41,1,2,9,10,17
364,49,57,50,58,60,51,42,59,36,43
379,31,39,47,63,64,62,48,40,7,8
387,49,57,50,58,41,51,28,42,59,1
428,41,48,47,63,64,30,7,8,15,16
431,36,35,28,20,43,52,34,44,11,19
436,43,27,35,41,42,59,53,33,36,52
439,49,57,50,58,41,51,28,42,59,1
448,30,36,21,6,14,22,28,35,29,5
457,42,41,36,43,34,35,44,28,1,2
487,60,51,28,59,20,36,43,52,11,19
492,36,35,44,28,43,52,20,11,19,27
502,41,49,57,42,33,43,50,58,27,35
503,36,21,34,35,30,3,4,12,50,58
512,1,2,9,10,17,18,33,11,19,25
517,59,60,52,63,64,51,56,28,49,57
542,5,13,21,29,37,45,28,6,14,22
557,49,57,50,58,42,59,41,43,35,34
567,5,13,29,41,20,1,2,9,10,17
568,36,41,28,42,6,14,22,34,35,44
581,7,8,15,16,23,24,32,40,48,31
585,7,8,15,16,23,24,32,31,48,47
589,49,57,50,58,41,51,28,42,59,61
597,1,2,9,10,17,18,33,11,19,25
606,27,49,57,51,28,59,50,58,20,43
609,1,2,9,10,17,18,34,11,19,25
611,28,41,3,4,12,20,36,43,21,27
634,60,52,44,61,28,59,53,20,36,43
655,63,64,56,55,62,61,54,50,58,48
670,28,29,41,1,2,9,10,17,18,33
674,7,8,15,16,23,24,32,40,31,39
676,7,8,15,16,23,24,32,40,31,39
678,47,31,39,42,48,41,43,33,7,8
688,21,5,13,29,41,7,8,15,16,23
714,49,57,42,59,50,58,36,43,52,35
725,59,52,60,51,44,61,36,43,49,57
728,28,3,4,12,41,36,1,2,9,10
729,36,35,44,28,43,20,27,11,19,34
731,3,4,12,1,2,9,10,17,18,20
763,36,21,34,35,30,6,14,22,3,4
774,61,53,59,60,50,58,52,62,54,63
778,21,29,5,13,1,2,9,10,17,18
783,28,1,2,9,10,17,18,20,36,11
796,59,36,43,52,35,44,49,57,51,28
800,60,49,57,61,50,58,53,41,62,51
802,7,8,15,16,23,24,32,31,5,13
815,5,13,20,7,8,15,16,23,24,32
819,7,8,15,16,23,24,32,31,6,14
821,5,13,21,29,7,8,15,16,23,24
833,36,43,44,35,42,28,3,4,12,41
