,SOX3,MIXL1,CHD,VED,OTX1A,WNT11,NOTO,GATA5,APLNRB,SP5L
,WNT8A,ID3,ADMP,GSC,CST3,NOG1,GATA2A,OSR1,EVE1,BAMBIA
,FOXI1,HES6,NDR2,FOXD5,OTX1B,SNAI1A,TBX16,TA,FGF8A,FOXD3
,CDX4,NDR1,SEBOX,LFT1,VENT,ISM1,LHX1A,VOX,LFT2,SZL
6,40,48,8,16,24,32,7,15,23,39
13,5,13,6,14,31,21,22,7,15,23
18,49,57,50,58,41,51,28,42,52,59
61,7,15,23,40,39,8,16,24,32,31
70,36,34,35,28,42,33,43,44,17,18
80,7,15,23,8,16,24,31,32,22,39
81,55,62,63,64,56,61,54,53,59,51
144,60,51,52,59,28,43,20,36,44,49
154,52,59,50,58,34,60,51,42,43,36
169,17,18,33,1,2,9,10,19,25,26
178,52,59,60,51,50,58,44,49,57,42
185,28,20,36,43,44,19,27,35,41,11
186,28,3,4,12,20,36,21,19,27,35
190,21,5,13,37,36,29,22,35,34,6
196,7,15,23,39,40,8,16,24,31,32
207,36,3,4,12,35,28,52,11,20,43
212,34,17,18,33,36,25,26,1,2,9
220,49,57,59,50,58,60,61,51,53,52
240,49,57,60,52,59,50,58,61,53,62
241,40,8,16,24,32,7,15,23,39,31
244,49,57,42,50,58,36,43,44,53,35
266,19,28,11,3,4,12,17,18,20,33
273,3,4,12,1,2,9,10,11,28,17
274,28,20,17,18,33,36,27,1,2,9
285,61,53,62,54,51,28,52,59,33,36
299,49,57,52,59,42,50,58,36,43,44
303,17,18,20,33,1,2,9,10,19,25
304,59,51,50,58,52,60,49,57,43,35
309,7,15,23,39,40,8,16,24,31,32
314,3,4,12,11,28,1,2,9,10,19
316,8,16,24,32,7,15,23,40,48,31
323,28,20,36,19,27,35,11,3,4,12
339,28,17,18,20,33,36,1,2,9,10
351,28,20,17,18,33,36,1,2,9,10
357,49,57,50,58,41,51,28,42,52,59
359,28,17,18,20,33,36,19,25,26,27
362,30,22,21,6,14,7,15,23,39,40
365,49,57,50,58,41,51,28,42,52,59
370,36,43,44,51,35,46,37,45,38,50
382,28,17,18,20,33,36,1,2,9,10
393,28,17,18,20,33,36,41,1,2,9
404,49,57,60,52,59,50,58,62,54,63
455,34,17,18,33,36,1,2,9,10,19
466,50,58,59,49,57,61,51,53,42,52
472,49,57,51,30,46,47,48,22,38,60
479,17,18,3,4,12,19,25,26,1,2
485,63,64,62,55,56,61,54,53,60,46
500,53,60,42,50,58,43,36,44,61,54
511,48,40,8,16,24,32,56,47,7,15
516,49,57,43,51,35,50,58,42,59,41
521,20,19,27,11,28,3,4,12,36,17
523,52,59,60,51,50,58,44,49,57,61
527,49,57,34,52,42,50,58,33,36,44
536,52,59,60,61,63,62,53,64,51,55
537,31,7,15,23,39,8,16,24,32,5
558,28,41,17,18,20,33,36,19,25,26
566,5,13,21,29,6,14,22,7,15,23
583,7,15,23,21,8,16,24,31,32,29
596,36,43,44,51,35,50,58,60,42,52
608,36,34,35,42,28,41,17,18,20,33
613,51,49,57,59,43,50,58,27,35,41
631,5,13,21,17,18,33,44,36,20,37
647,48,56,40,47,8,16,24,32,64,55
654,34,1,2,9,10,11,17,18,33,36
682,60,61,51,52,59,28,20,43,36,44
687,3,4,12,11,5,13,1,2,9,10
690,7,15,23,8,16,24,31,32,39,40
705,52,59,60,51,61,44,53,62,50,58
718,7,15,23,39,40,30,8,16,24,31
735,17,18,1,2,9,10,19,25,26,11
740,7,15,23,8,16,24,31,32,39,40
745,5,13,21,22,29,6,14,37,30,8
752,3,4,12,1,2,9,10,11,17,18
753,42,52,36,43,44,41,34,35,49,57
755,44,45,52,31,47,60,36,43,37,29
757,49,57,51,50,58,59,43,34,35,60
758,28,17,18,20,33,36,1,2,9,10
759,60,44,31,41,53,51,47,28,52,59
782,63,64,55,56,47,48,7,15,23,39
788,52,44,41,51,3,4,12,21,59,28
798,64,56,63,55,62,50,58,54,49,57
805,39,31,47,7,15,23,40,21,8,16
812,28,30,21,22,36,20,6,14,29,3
828,50,58,51,49,57,42,59,43,35,34
841,8,16,24,32,7,15,23,40,31,39
