,SOX3,OSR1,CHD,VED,WNT11,GATA5,NOTO,FGF8A,ADMP,FOXI1
,ID3,APLNRB,WNT8A,OTX1B,CST3,GATA2A,MIXL1,OTX1A,EVE1,BAMBIA
,TA,GSC,NDR1,SP5L,FOXD5,SNAI1A,HES6,NOG1,FOXD3,CDX4
,SEBOX,LFT2,BMP7A,VOX,VENT,LHX1A,TBX16,FOXB1A,ISM1,SZL
1,7,15,23,8,16,24,32,31,39,40
9,59,28,33,52,49,57,17,18,20,34
24,61,62,54,63,64,53,56,59,60,55
25,59,60,52,20,36,49,57,51,19,27
28,36,22,44,28,21,6,14,5,13,30
55,51,49,57,60,59,50,58,43,52,36
58,33,17,18,34,1,2,9,10,19,25
69,1,2,9,10,28,11,17,18,20,36
83,51,60,59,52,44,61,53,43,28,49
87,59,52,60,51,50,58,44,43,36,35
92,11,3,4,12,1,2,9,10,19,28
94,47,48,7,15,23,8,16,24,31,32
104,11,20,3,4,12,1,2,9,10,19
106,28,3,4,12,17,18,20,36,21,1
110,49,57,50,58,41,51,42,59,33,43
113,33,28,41,17,18,20,35,36,34,1
149,28,20,35,36,51,27,19,44,59,11
152,40,8,16,24,32,48,7,15,23,31
157,17,18,1,2,9,10,19,25,26,28
161,33,34,17,18,25,26,19,1,2,9
187,3,4,12,1,2,9,10,11,17,18
217,51,59,52,50,58,44,60,42,43,34
255,43,52,28,20,35,36,44,19,27,41
261,47,48,7,15,23,8,16,24,31,32
269,28,33,34,17,18,20,35,36,1,2
283,51,49,57,59,43,50,58,35,27,41
298,41,42,44,43,28,33,52,3,4,12
305,25,26,27,28,33,41,17,18,20,36
306,28,33,41,17,18,20,34,35,36,27
336,52,60,62,59,61,54,53,51,55,44
340,50,58,42,43,49,57,34,35,36,51
352,5,13,6,14,7,15,23,21,31,8
358,1,2,9,10,11,33,3,4,12,17
375,28,29,21,20,36,17,18,30,19,1
390,47,48,7,15,23,8,16,24,31,32
396,1,2,9,10,11,3,4,12,28,33
397,41,53,42,54,33,43,28,52,56,20
401,51,61,44,59,60,43,52,62,54,36
419,44,52,43,51,36,35,42,59,60,28
424,63,50,58,64,61,56,59,62,55,54
429,33,17,18,34,1,2,9,10,19,25
450,28,17,18,20,36,29,30,21,19,25
454,63,55,64,56,47,48,62,39,40,46
467,35,27,28,33,43,41,34,20,36,49
474,36,34,35,37,42,50,58,38,29,33
478,41,49,57,42,33,43,52,50,58,35
483,49,57,50,58,41,51,42,59,28,33
488,17,18,36,34,1,2,9,10,19,25
493,5,13,21,6,14,7,15,23,8,16
528,59,52,51,60,50,58,44,43,61,49
534,20,28,19,27,3,4,12,17,18,35
552,5,13,20,3,4,12,27,19,28,21
560,49,57,59,50,58,41,62,51,60,54
562,5,13,21,22,28,6,14,29,3,4
563,21,30,22,43,6,14,37,45,35,36
586,25,26,27,33,41,17,18,20,49,57
598,43,35,42,59,49,57,41,51,50,58
599,51,59,49,57,33,52,28,17,18,20
600,3,4,12,1,2,9,10,11,28,33
604,33,17,18,1,2,9,10,19,25,26
607,28,17,18,20,36,3,4,12,41,1
621,3,4,12,1,2,9,10,11,17,18
663,7,15,23,8,16,24,31,32,39,40
665,47,48,39,40,7,15,23,8,16,24
673,31,7,15,23,8,16,24,32,39,22
680,5,13,17,18,20,36,3,4,12,44
694,28,3,4,12,20,11,19,27,1,2
707,11,3,4,12,27,1,2,9,10,19
712,7,15,23,8,16,24,32,31,40,39
723,27,20,19,25,26,28,33,11,17,18
754,5,13,21,6,14,29,30,22,7,15
760,56,64,63,55,54,62,34,35,3,4
766,62,61,54,63,46,50,58,59,64,38
795,62,55,54,63,64,56,61,52,53,47
797,5,13,6,14,3,4,12,22,28,21
799,33,17,18,1,2,9,10,19,25,26
801,20,3,4,12,5,13,19,27,28,11
809,45,31,22,46,6,14,38,7,15,23
813,60,52,59,49,57,51,44,50,58,43
834,28,17,18,20,36,44,1,2,9,10
837,28,43,52,36,20,35,44,19,27,41
845,28,20,3,4,12,19,27,21,11,17
846,1,2,9,10,11,28,3,4,12,17
851,41,42,33,43,34,35,30,49,57,25
