,OSR1,SOX3,VED,CHD,NOTO,BAMBIA,GATA5,SP5L,APLNRB,WNT8A
,ID3,ADMP,FGF8A,FOXD5,NOG1,MIXL1,GATA2A,EVE1,CST3,NDR1
,WNT11,FOXI1,HES6,GSC,SNAI1A,OTX1A,BMP7A,TA,LFT1,FOXD3
,CDX4,VOX,SEBOX,ISM1,VENT,OTX1B,FOXB1A,NDR2,LHX1A,SZL
11,35,27,43,28,33,41,34,20,36,49
17,3,4,12,11,28,1,2,9,10,19
19,33,17,18,34,19,1,2,9,10,25
22,17,18,20,19,27,1,2,9,10,25
27,30,22,6,14,21,7,8,15,16,23
29,1,2,9,10,11,17,18,3,4,12
46,34,35,36,49,57,42,50,58,43,28
52,50,58,59,49,57,51,34,35,42,43
59,28,33,17,18,20,35,36,34,19,27
60,28,20,36,17,18,19,25,26,27,44
65,59,52,41,44,51,60,54,61,42,53
71,41,42,28,43,33,17,18,20,34,35
93,50,58,34,35,36,51,60,3,4,12
96,7,8,15,16,23,24,32,31,40,22
100,41,42,28,33,43,17,18,20,34,35
116,41,33,49,57,34,35,51,25,26,27
134,34,35,36,49,57,42,50,58,52,28
135,22,6,14,30,7,8,15,16,23,24
148,21,41,30,33,29,22,35,34,5,13
151,63,64,56,48,55,47,62,7,8,15
176,41,33,34,35,1,2,9,10,25,26
177,42,43,41,34,35,36,49,57,44,50
191,21,28,29,20,17,18,41,3,4,12
193,63,64,56,55,62,54,48,47,7,8
195,33,20,17,18,19,27,25,26,1,2
221,7,8,15,16,23,24,32,22,31,6
223,28,17,18,20,36,1,2,9,10,19
231,60,51,59,28,43,52,49,57,20,35
234,52,60,44,59,53,49,57,51,61,54
238,36,3,4,12,21,6,14,28,30,5
264,50,58,59,51,49,57,42,43,52,34
272,34,35,41,42,33,43,36,49,57,1
278,34,35,36,42,43,28,33,41,17,18
287,36,44,28,17,18,20,34,35,41,42
292,49,57,60,50,58,41,51,61,42,59
317,7,8,15,16,23,24,32,31,40,39
330,36,28,3,4,12,21,17,18,34,35
335,59,53,54,51,61,60,45,62,46,52
343,59,52,36,44,60,51,37,45,28,43
348,52,51,44,59,28,43,45,20,35,36
349,28,20,19,27,11,60,3,4,12,51
380,33,17,18,34,19,25,26,1,2,9
399,1,2,9,10,28,11,20,17,18,3
408,28,33,17,18,20,34,35,36,41,1
434,49,57,50,58,41,51,61,42,59,53
468,3,4,12,11,1,2,9,10,19,28
473,41,28,33,21,3,4,12,17,18,20
491,21,30,22,29,6,14,28,7,8,15
499,33,17,18,20,34,35,36,19,25,26
525,50,58,60,52,49,57,51,44,59,42
530,63,64,55,56,40,48,39,62,47,54
532,3,4,12,11,28,19,1,2,9,10
535,31,39,7,8,15,16,23,24,32,40
539,35,36,21,28,43,52,29,37,20,34
550,31,39,7,8,15,16,23,24,32,40
564,7,8,15,16,23,24,32,31,40,22
575,33,17,18,34,1,2,9,10,19,25
588,63,64,56,62,55,54,61,53,48,50
591,7,8,15,16,23,24,32,40,31,39
635,43,41,35,27,51,49,57,42,59,50
636,50,58,35,34,51,61,42,59,63,64
645,7,8,15,16,23,24,32,31,40,48
671,6,14,22,7,8,15,16,23,24,32
672,28,20,3,4,12,21,19,27,11,29
685,52,28,33,17,18,20,34,35,36,41
696,62,61,51,54,60,53,45,55,59,63
708,40,7,8,15,16,23,24,32,48,31
720,49,57,51,59,50,58,43,35,42,52
721,33,17,18,19,1,2,9,10,25,26
737,43,20,35,36,19,27,44,51,49,57
738,21,29,36,37,30,5,13,28,22,6
747,63,64,56,55,62,48,61,47,54,7
768,40,39,7,8,15,16,23,24,32,48
777,7,8,15,16,23,24,32,31,40,39
785,28,17,18,20,36,21,3,4,12,1
803,33,41,34,25,26,49,57,42,3,4
804,21,5,13,29,22,37,6,14,30,7
806,63,64,56,48,47,55,7,8,15,16
807,21,5,13,28,29,36,20,3,4,12
808,5,13,49,57,21,22,6,14,37,45
817,62,61,60,59,52,51,55,63,64,54
826,41,28,20,17,18,48,25,26,19,27
836,7,8,15,16,23,24,32,5,13,1
840,21,5,13,29,37,22,35,36,6,14
844,28,11,3,4,12,20,36,1,2,9
847,7,8,15,16,23,24,32,40,48,39
