,SOX3,OSR1,CHD,VED,BAMBIA,GATA5,NOTO,APLNRB,EVE1,GSC
,SP5L,ID3,WNT8A,ADMP,CST3,OTX1A,GATA2A,MIXL1,NDR1,WNT11
,FGF8A,FOXI1,FOXD5,OTX1B,SNAI1A,VOX,TA,NOG1,HES6,LFT2
,FOXD3,CDX4,BMP7A,SEBOX,VENT,NDR2,LHX1A,FOXB1A,SZL,BMP4
3,60,59,43,52,35,36,44,61,53,51
4,40,8,16,24,32,7,15,23,39,48
16,36,34,35,28,17,18,20,44,42,1
23,51,59,52,33,49,57,28,34,35,36
34,1,2,9,10,25,26,27,41,33,11
38,21,29,5,13,30,22,37,6,14,7
44,30,46,22,38,51,6,14,62,54,59
56,1,2,9,10,25,26,27,11,28,3
64,3,4,12,36,11,20,1,2,9,10
82,34,35,36,42,41,33,43,30,21,28
108,33,36,35,34,21,42,5,13,41,17
111,52,28,35,36,44,20,59,19,27,60
114,42,49,57,41,33,43,51,34,35,50
126,33,34,35,36,28,41,17,18,20,1
131,51,59,43,52,49,57,28,35,36,61
138,33,17,18,20,1,2,9,10,19,25
163,28,17,18,20,1,2,9,10,19,25
164,39,40,47,48,7,15,23,8,16,24
165,44,43,41,35,28,36,51,20,42,59
174,17,18,25,26,1,2,9,10,19,11
201,17,18,33,1,2,9,10,19,25,26
204,5,13,21,22,6,14,29,30,28,36
205,3,4,12,11,19,1,2,9,10,20
213,33,41,28,34,35,36,17,18,20,42
222,59,31,55,61,47,60,52,63,62,51
232,51,59,60,52,44,49,57,50,58,43
252,6,14,5,13,7,15,23,21,22,8
265,52,60,37,45,50,58,44,42,59,61
275,41,49,57,42,59,50,58,53,33,43
282,25,26,27,33,28,34,35,41,17,18
286,17,18,20,19,25,26,1,2,9,10
288,1,2,9,10,11,3,4,12,33,36
293,28,17,18,20,1,2,9,10,19,25
294,60,52,54,62,61,59,49,57,55,50
297,36,28,17,18,20,3,4,12,27,1
329,36,28,21,17,18,20,44,30,41,3
341,40,8,16,24,32,7,15,23,39,48
342,50,58,51,42,59,43,52,36,34,35
345,60,51,59,43,52,49,57,28,35,36
356,7,15,23,39,40,47,48,8,16,24
373,34,36,3,4,12,17,18,1,2,9
384,28,20,17,18,44,41,1,2,9,10
389,8,16,24,32,40,7,15,23,48,31
398,28,36,20,19,27,59,11,3,4,12
418,43,41,3,4,12,35,49,57,51,42
420,36,28,34,35,21,42,17,18,20,44
426,51,50,58,59,43,49,57,35,42,27
432,1,2,9,10,11,33,3,4,12,28
433,42,41,33,43,34,35,1,2,9,10
441,60,52,59,51,50,58,44,61,53,55
449,49,57,43,51,50,58,35,42,59,44
451,49,57,50,58,33,36,34,35,17,18
463,33,25,26,27,41,34,35,49,57,20
464,60,59,54,62,61,52,53,63,56,64
482,52,60,59,51,50,58,61,44,53,43
505,41,42,33,43,52,49,57,28,34,35
519,59,61,52,53,60,51,50,58,54,62
529,60,59,52,49,57,61,53,50,58,54
547,7,15,23,8,16,24,31,32,39,40
548,49,57,50,58,34,35,36,51,42,59
569,33,34,35,41,19,25,26,27,43,49
579,28,34,35,36,42,17,18,20,41,1
592,43,35,36,49,57,51,44,42,59,50
603,60,52,59,49,57,61,62,51,53,44
632,28,44,17,18,20,1,2,9,10,19
638,53,5,13,21,45,37,22,6,14,29
653,41,49,57,42,33,43,50,58,34,35
659,50,58,42,43,41,34,35,49,57,51
661,21,5,13,29,22,7,15,23,6,14
669,28,17,18,20,3,4,12,22,1,2
702,36,28,17,18,20,44,41,1,2,9
703,7,15,23,8,16,24,31,32,39,40
719,40,48,8,16,24,32,7,15,23,39
727,28,17,18,20,1,2,9,10,19,25
732,21,30,37,45,22,29,6,14,5,13
746,17,18,1,2,9,10,19,25,26,11
750,20,17,18,1,2,9,10,19,25,26
751,3,4,12,11,5,13,19,1,2,9
764,3,4,12,36,35,11,20,43,33,5
765,59,52,43,30,46,49,57,22,38,35
784,49,57,50,58,61,53,41,51,27,25
820,22,6,14,17,18,3,4,12,30,33
822,36,44,59,52,34,35,28,49,57,51
827,59,52,49,57,28,63,17,18,20,50
848,8,16,24,32,7,15,23,40,48,31
850,28,17,18,20,1,2,9,10,19,25
