,EVE1,LHX1A,SZL,VED,TA,ADMP,BMP4,LFT2,AXIN2,GSC
,BAMBIA,CHD,SOX3,BMP7A,FOXI1,NOTO,WNT11,VOX,FOXD5,SEBOX
33,20,28,27,41,17,18,19,25,26,33
54,33,41,27,35,17,18,19,20,25,26
75,20,28,21,22,30,27,6,7,14,15
84,41,33,42,43,27,35,17,18,19,20
86,20,28,21,22,30,27,35,52,41,6
90,22,30,27,6,7,14,15,23,31,17
91,33,17,18,19,25,26,1,2,9,10
95,27,17,18,19,20,25,26,28,33,41
119,44,41,42,43,36,45,35,52,49,57
122,36,38,44,22,30,37,39,46,35,52
133,3,27,4,12,1,2,9,10,11,41
143,4,12,1,2,9,10,11,3,33,17
155,39,7,15,23,31,40,8,16,24,32
162,4,12,20,28,27,3,1,2,9,10
179,36,27,35,41,3,33,42,43,17,18
200,1,2,9,10,11,3,27,4,12,17
206,22,30,39,21,6,7,14,15,23,31
209,35,52,42,43,59,41,50,51,58,6
216,27,17,18,19,20,25,26,28,1,2
236,37,27,35,41,1,2,6,9,10,11
246,33,41,27,35,17,18,19,20,25,26
251,7,15,23,31,21,8,16,24,32,22
254,17,18,19,25,26,27,3,33,1,2
259,27,17,18,19,20,25,26,28,41,33
267,27,22,30,17,18,19,20,25,26,28
284,42,43,35,41,50,51,58,34,44,36
295,20,28,36,4,12,33,27,35,52,49
302,59,50,51,58,49,57,34,62,35,52
310,49,57,50,51,58,59,42,43,35,52
318,44,49,57,36,42,43,27,35,41,50
325,22,30,21,6,7,14,15,23,31,5
346,35,60,59,34,33,42,43,41,50,51
363,41,42,43,35,52,60,59,53,34,44
367,54,46,55,38,53,45,61,56,22,30
377,7,15,23,31,8,16,24,32,22,30
385,7,15,23,31,21,8,16,24,32,22
391,35,49,57,59,34,36,33,42,43,41
392,33,17,18,19,25,26,34,1,2,9
402,22,30,39,21,6,7,14,15,23,31
407,56,64,62,55,63,60,48,50,51,58
412,22,30,6,7,14,15,23,31,46,47
413,49,57,59,44,36,42,43,41,50,51
430,6,14,5,13,22,30,3,21,7,15
461,17,18,19,25,26,1,2,9,10,11
462,3,27,1,2,6,9,10,11,14,4
476,27,17,18,19,20,25,26,28,1,2
477,59,52,60,49,57,41,50,51,58,62
489,27,17,18,19,20,25,26,28,33,41
490,49,57,41,50,51,58,59,33,42,43
496,27,17,18,19,20,25,26,28,3,35
513,49,57,41,50,51,58,59,33,42,43
518,3,1,2,9,10,11,17,18,19,25
533,4,12,20,28,3,6,14,27,35,5
541,33,3,17,18,19,25,26,4,12,1
545,60,49,57,59,50,51,58,52,44,36
546,22,30,39,46,47,6,7,14,15,23
553,36,27,35,49,57,17,18,19,20,25
580,62,56,64,61,55,63,54,53,60,48
587,52,20,28,44,29,36,45,61,21,37
590,36,27,35,49,57,3,4,12,17,18
602,17,18,19,25,26,33,1,2,9,10
617,27,17,18,19,20,25,26,28,1,2
630,3,27,1,2,9,10,11,4,5,12
642,59,52,60,50,51,58,49,57,56,64
646,60,49,57,59,50,51,58,27,52,17
648,22,30,17,18,19,20,25,26,28,4
677,27,22,30,3,21,17,18,19,20,25
692,64,62,63,56,61,60,55,53,54,59
693,60,49,57,59,50,51,58,52,61,42
697,56,64,62,55,63,61,60,54,59,40
698,56,64,62,55,63,61,54,48,53,59
701,6,14,38,22,30,39,37,46,47,7
704,61,49,57,62,52,60,59,63,64,53
710,62,63,64,61,55,54,56,60,53,59
726,27,41,17,18,19,20,25,26,28,44
730,27,17,18,19,20,25,26,28,1,2
734,22,30,54,42,43,46,6,7,14,15
736,22,30,39,46,47,6,7,14,15,23
739,27,3,17,18,19,20,25,26,28,4
741,22,30,21,6,7,14,15,23,31,5
756,42,43,41,35,34,44,36,33,27,52
761,61,60,54,62,55,63,53,56,64,59
770,38,48,40,37,46,47,39,8,16,24
835,1,2,9,10,11,27,3,17,18,19
839,17,18,19,25,26,33,1,2,9,10
