,EVE1,VED,SOX3,FOXI1,NOTO,SZL,VOX,LHX1A,OSR1,NDR2
,BAMBIA,CHD,BMP7A,TA,BMP4,WNT11,ADMP,CDX4,GATA5,SEBOX
12,50,51,58,35,60,34,36,59,49,57
26,36,35,44,37,38,42,43,20,27,28
45,33,35,20,27,28,34,36,41,17,18
51,63,64,20,27,28,52,17,18,19,25
67,1,2,9,10,11,20,27,28,3,4
73,41,42,43,52,33,35,44,49,57,59
77,20,27,28,17,18,19,25,26,1,2
85,50,51,58,59,49,57,42,43,52,35
101,63,64,62,60,59,55,56,61,52,54
103,20,27,28,41,3,4,12,33,35,17
105,44,20,27,28,36,45,17,18,19,25
107,49,57,50,51,58,41,59,42,43,52
132,20,27,28,17,18,19,25,26,3,4
136,20,27,28,3,4,12,41,17,18,19
141,59,49,57,52,44,60,20,27,28,36
166,20,27,28,17,18,19,25,26,1,2
168,33,34,17,18,19,25,26,35,41,1
170,5,13,3,4,12,6,14,20,27,28
180,22,6,14,30,7,8,15,16,20,23
182,60,49,57,59,52,50,51,58,44,55
197,41,49,57,42,43,33,35,44,20,27
211,49,57,60,50,51,58,41,59,42,43
214,35,42,43,20,27,28,34,36,41,17
219,49,57,62,60,50,51,54,58,61,55
235,20,27,28,3,4,12,17,18,19,25
239,1,2,9,10,11,3,4,12,17,18
245,55,56,54,53,61,62,63,64,46,45
247,1,2,9,10,11,20,27,28,3,4
257,17,18,19,25,26,33,1,2,9,10
260,22,6,14,21,5,13,30,29,7,8
268,59,52,33,35,60,20,27,28,34,36
270,49,57,50,51,58,41,59,42,43,52
279,33,35,20,27,28,34,36,41,49,57
315,30,54,22,6,14,21,39,40,46,53
322,49,57,60,50,51,58,41,59,42,43
331,1,2,9,10,11,20,27,28,3,4
338,41,33,35,20,27,28,34,36,42,43
350,30,22,21,29,6,14,39,40,7,8
403,39,40,55,56,63,64,47,48,52,46
405,20,27,28,17,18,19,25,26,41,33
411,50,51,58,60,59,49,57,42,43,52
415,17,18,19,25,26,33,1,2,9,10
421,30,21,22,29,6,14,5,13,20,27
427,22,21,5,13,30,29,37,6,14,39
447,7,8,15,16,23,24,31,32,39,40
465,61,55,56,63,64,60,59,53,45,62
475,21,20,27,28,52,3,4,12,17,18
480,3,4,12,17,18,19,25,26,1,2
481,61,62,54,46,53,45,38,55,56,63
486,41,20,27,28,42,43,17,18,19,25
531,3,4,12,20,27,28,1,2,9,10
543,7,8,15,16,23,24,31,32,39,40
551,30,21,20,27,28,22,41,3,4,12
554,20,27,28,41,44,17,18,19,25,26
561,1,2,9,10,11,17,18,19,25,26
572,3,4,12,20,27,28,36,1,2,9
584,21,20,27,28,36,3,4,12,17,18
593,20,27,28,17,18,19,25,26,1,2
601,50,51,58,60,59,49,57,42,43,52
612,22,6,14,5,13,30,21,29,7,8
614,22,7,8,15,16,23,24,31,32,6
615,22,7,8,15,16,23,24,31,32,6
623,30,29,22,6,14,21,38,7,8,15
628,21,5,13,30,29,6,14,39,40,7
640,1,2,9,10,11,3,4,12,17,18
641,46,38,45,54,62,37,55,56,63,64
650,20,27,28,3,4,12,17,18,19,25
656,50,51,58,59,49,57,42,43,52,35
664,60,52,59,20,27,28,36,50,51,58
675,5,13,33,35,41,21,7,8,15,16
684,30,7,8,15,16,23,24,31,32,21
691,53,61,35,60,42,43,52,37,5,13
695,21,7,8,15,16,23,24,31,32,3
709,33,3,4,12,34,41,1,2,9,10
716,17,18,19,25,26,3,4,12,20,27
722,20,27,28,30,21,22,17,18,19,25
733,7,8,15,16,23,24,31,32,39,40
748,52,59,50,51,58,42,43,49,57,35
769,30,38,39,40,21,46,7,8,15,16
772,20,27,28,36,35,44,17,18,19,25
779,20,27,28,41,17,18,19,25,26,49
829,33,34,17,18,19,25,26,41,35,1
832,39,40,47,48,7,8,15,16,23,24
842,62,61,63,64,54,60,59,53,55,56
