,BAMBIA,EVE1,SZL,SOX3,BMP4,ADMP,NOTO,WNT11,GATA2A,CDX4
,VED,CHD,LHX1A,TA,BMP7A,FOXD5,FOXI1,OSR1,AXIN2,NDR1
2,17,18,19,25,26,1,2,9,10,11
8,3,1,2,9,10,11,33,4,12,17
31,41,33,35,27,28,34,17,18,19,20
32,27,28,17,18,19,20,25,26,36,41
43,27,28,41,17,18,19,20,25,26,1
48,30,22,28,29,44,45,52,6,14,20
74,22,7,8,15,16,23,24,31,32,6
76,27,28,49,57,17,18,19,20,25,26
78,7,8,15,16,23,24,31,32,22,21
88,35,27,28,34,41,42,43,49,57,17
98,36,44,52,60,54,35,38,53,42,43
112,35,27,28,34,41,42,43,17,18,19
117,59,60,50,51,58,54,62,61,49,57
118,30,38,22,21,36,37,46,54,6,14
124,44,42,43,36,41,49,57,35,27,28
127,27,28,41,22,17,18,19,20,25,26
150,36,35,27,28,34,44,41,42,43,17
153,59,60,61,50,51,58,53,52,49,57
181,7,8,15,16,23,24,31,32,39,40
198,30,22,6,14,21,7,8,15,16,23
208,22,21,6,14,30,29,38,5,13,7
215,62,50,51,58,44,45,60,36,37,46
218,28,20,4,12,27,29,44,52,41,49
224,17,18,19,25,26,27,3,33,1,2
276,22,7,8,15,16,23,24,31,32,6
280,60,49,57,59,62,50,51,58,52,61
290,28,30,20,21,36,4,12,22,27,29
296,60,50,51,58,42,43,59,35,34,44
313,4,12,1,2,9,10,11,17,18,19
327,27,28,17,18,19,20,25,26,36,41
328,33,27,17,18,19,20,25,26,41,1
354,27,28,41,17,18,19,20,25,26,1
369,5,13,6,14,1,2,9,10,11,3
374,49,57,59,35,38,50,51,58,34,52
378,60,59,50,51,58,52,42,43,49,57
381,50,51,58,60,42,43,49,57,59,35
386,54,62,61,55,56,53,63,64,60,59
416,50,51,58,60,42,43,59,49,57,35
423,22,6,14,30,21,5,13,7,8,15
425,54,62,61,55,56,53,63,64,60,46
437,21,3,30,27,28,29,4,5,12,13
440,27,17,18,19,20,25,26,33,35,1
442,59,52,60,41,49,57,50,51,58,42
443,33,34,41,17,18,19,25,26,35,1
453,3,33,17,18,19,25,26,4,12,41
470,7,8,15,16,23,24,31,32,39,40
494,27,28,29,44,45,17,18,19,20,21
507,42,43,59,53,52,60,50,51,58,54
509,41,49,57,50,51,58,42,43,59,33
514,22,6,14,30,7,8,15,16,23,24
524,35,27,28,34,41,42,43,49,57,17
526,35,41,1,2,9,10,11,42,43,59
544,6,14,5,13,22,7,8,15,16,23
559,61,53,52,60,49,57,54,62,59,55
565,41,33,35,27,28,34,52,17,18,19
570,1,2,9,10,11,3,27,28,4,12
571,39,40,7,8,15,16,23,24,31,32
573,41,30,21,46,22,38,6,14,39,40
574,21,41,27,28,29,39,40,3,30,17
577,27,3,17,18,19,20,25,26,4,12
578,35,36,42,43,38,34,44,50,51,58
582,22,21,6,14,30,27,28,29,5,13
595,63,64,47,48,39,40,55,56,7,8
620,1,2,9,10,11,27,28,41,3,4
624,52,42,43,59,41,35,34,44,60,50
625,1,2,9,10,11,27,3,33,35,17
629,21,30,39,40,54,29,38,53,22,7
637,49,57,59,50,51,58,52,60,30,62
643,7,8,15,16,23,24,31,32,63,64
644,39,40,47,48,7,8,15,16,23,24
651,62,54,63,64,61,53,55,56,60,59
652,30,21,22,27,28,29,7,8,15,16
660,30,22,21,6,14,29,38,5,13,7
668,7,8,15,16,23,24,31,32,47,48
713,41,49,57,50,51,58,42,43,59,33
743,35,42,43,38,34,50,51,58,30,36
767,39,40,21,37,7,8,15,16,23,24
771,22,7,8,15,16,23,24,31,32,38
780,27,28,17,18,19,20,25,26,36,41
789,5,13,27,3,17,18,19,20,21,25
790,7,8,15,16,23,24,31,32,39,40
791,41,27,28,52,60,17,18,19,20,25
811,27,28,17,18,19,20,25,26,36,41
824,61,53,59,52,60,54,62,50,51,58
838,21,30,29,22,6,14,28,5,13,38
