,BAMBIA,VED,SZL,SOX3,GATA2A,BMP7A,FOXI1,NOTO,CDX4,SEBOX
,EVE1,VOX,CHD,TA,BMP4,LHX1A,ADMP,WNT11,GATA5,LFT2
14,39,40,47,30,7,15,23,31,38,48
15,53,54,55,60,56,61,41,59,62,63
21,41,49,57,42,43,35,44,60,28,33
39,60,59,61,50,51,52,58,53,62,49
42,1,2,9,10,11,33,17,18,19,25
57,28,20,27,3,4,12,17,18,19,21
62,28,36,41,20,27,35,44,17,18,19
66,44,36,50,51,58,42,43,20,27,35
68,28,36,20,27,17,18,19,25,26,35
99,20,27,17,18,19,25,26,28,33,36
109,28,20,27,17,18,19,25,26,36,1
129,21,5,13,22,28,6,7,14,15,23
140,41,49,57,42,43,35,44,60,28,33
142,33,34,35,41,17,18,19,25,26,1
147,59,60,61,50,51,58,52,35,53,49
171,28,36,20,27,29,37,17,18,19,21
175,35,41,28,33,34,36,42,43,20,27
188,60,59,49,57,52,35,50,51,58,28
189,49,57,60,50,51,58,41,59,42,43
192,28,20,27,36,3,4,12,30,17,18
228,36,50,51,58,35,44,60,59,49,57
237,38,36,46,35,44,30,39,37,42,43
243,5,13,6,14,22,21,3,4,12,30
249,20,27,60,17,18,19,25,26,49,57
250,6,7,14,15,23,31,39,8,16,24
253,41,42,43,35,44,28,33,34,36,20
256,53,61,59,60,54,55,50,51,58,56
281,35,41,28,33,34,36,42,43,20,27
300,60,62,63,61,59,64,52,53,50,51
307,21,30,29,22,45,6,7,14,15,23
311,28,17,18,19,25,26,1,2,9,10
312,30,22,6,7,14,15,21,23,31,39
324,28,20,27,17,18,19,25,26,1,2
332,28,21,20,27,29,5,13,22,36,41
353,22,6,7,14,15,21,23,31,30,8
355,35,42,43,52,20,27,41,59,28,33
364,49,57,60,50,51,58,41,59,42,43
379,40,39,38,48,56,8,16,24,32,46
387,28,36,20,27,49,57,17,18,19,25
428,30,28,34,36,50,51,58,38,35,44
431,21,28,36,41,20,27,29,37,35,44
436,36,35,44,20,27,37,42,43,52,38
439,49,57,44,28,36,20,27,50,51,58
448,30,6,14,28,22,21,3,4,12,39
457,36,35,44,38,42,43,28,34,41,46
487,28,36,52,20,27,17,18,19,25,26
492,35,34,36,42,43,50,51,58,44,28
502,35,42,43,28,34,36,1,2,9,10
503,28,36,35,44,20,27,3,4,12,30
512,1,2,9,10,11,3,4,12,33,17
517,60,49,57,59,52,50,51,58,44,62
542,21,5,13,22,29,37,6,7,14,15
557,41,59,49,57,42,43,52,35,44,60
567,20,27,17,18,19,25,26,28,1,2
568,6,14,28,5,13,22,21,3,4,12
581,39,47,40,38,48,7,15,23,31,30
585,62,7,15,23,31,54,55,63,8,16
589,44,28,36,41,20,27,49,57,17,18
597,1,2,9,10,11,3,4,12,17,18
606,50,51,58,59,49,57,42,43,52,35
609,1,2,9,10,11,28,34,36,17,18
611,28,41,35,20,27,3,4,12,30,17
634,28,41,20,27,44,17,18,19,25,26
655,64,62,61,63,56,54,55,53,60,48
670,35,38,41,28,33,34,36,30,39,54
674,30,39,6,7,14,15,23,31,22,40
676,7,15,21,23,31,30,39,8,16,24
678,63,64,62,7,15,23,31,30,39,54
688,30,39,54,55,22,40,56,21,46,47
714,41,59,49,57,42,43,52,35,44,60
725,60,49,57,59,28,61,62,52,63,20
728,21,30,8,16,24,29,32,22,40,28
729,28,20,27,17,18,19,25,26,36,1
731,3,4,12,1,2,9,10,11,33,17
763,28,41,35,20,27,3,4,12,30,17
774,62,61,54,55,63,56,64,53,60,59
778,21,29,3,4,12,28,1,2,9,10
783,28,20,27,17,18,19,25,26,1,2
796,45,41,29,37,44,21,46,47,53,28
800,28,49,57,20,27,17,18,19,25,26
802,22,21,30,6,7,14,15,23,31,29
815,5,13,22,6,7,14,15,23,31,30
819,22,30,6,7,14,15,23,31,8,16
821,7,15,23,31,22,8,16,24,32,30
833,28,36,41,20,27,35,44,3,4,12
