,EVE1,SZL,BMP7A,VOX,TA,NOTO,LHX1A,WNT11,LFT2,CDX4
,BAMBIA,CHD,SOX3,VED,FOXI1,ADMP,FOXD5,BMP4,AXIN2,GATA2A
6,40,39,38,48,56,64,8,16,24,32
13,6,7,14,15,23,31,8,16,24,32
18,52,49,57,28,44,20,36,42,43,41
61,30,39,20,21,33,4,5,12,13,22
70,35,41,27,28,34,42,43,30,17,18
80,22,6,7,14,15,23,31,30,39,8
81,60,61,59,53,62,54,55,63,56,64
144,60,49,57,27,28,44,17,18,19,20
154,59,34,42,43,53,50,51,58,35,52
169,33,17,18,19,20,25,26,4,12,1
178,59,60,50,51,58,52,49,57,44,61
185,41,27,28,17,18,19,20,25,26,42
186,35,41,27,28,34,42,43,3,30,17
190,35,41,22,42,43,34,49,57,6,7
196,30,39,6,7,14,15,23,31,22,40
207,4,12,28,3,30,6,14,1,2,9
212,17,18,19,25,26,27,28,29,34,1
220,60,61,59,53,62,54,55,63,56,64
240,49,57,52,60,59,53,62,28,44,61
241,30,8,16,24,32,21,22,40,29,6
244,49,57,42,43,35,60,41,50,51,58
266,17,18,19,25,26,1,2,9,10,11
273,3,36,35,4,12,41,1,2,9,10
274,27,28,29,41,17,18,19,20,21,25
285,21,3,30,27,28,29,4,5,12,13
299,36,35,41,42,43,27,28,34,44,49
303,33,41,27,3,17,18,19,20,25,26
304,60,59,50,51,58,52,49,57,61,42
309,22,30,6,7,14,15,23,31,8,16
314,4,12,3,28,41,1,2,9,10,11
316,8,16,24,32,40,7,15,23,31,39
323,17,18,19,25,26,1,2,9,10,11
339,27,28,17,18,19,20,25,26,1,2
351,27,28,17,18,19,20,25,26,36,1
357,44,49,57,36,42,43,35,41,50,51
359,27,28,17,18,19,20,25,26,36,1
362,30,21,22,29,6,7,14,15,23,31
365,27,28,17,18,19,20,25,26,36,1
370,59,50,51,58,62,49,57,63,46,52
382,36,35,41,42,43,27,28,34,44,17
393,27,28,41,17,18,19,20,25,26,36
404,27,49,57,59,63,17,18,19,20,25
455,34,33,35,41,42,43,17,18,19,25
466,59,60,50,51,58,61,49,57,52,53
472,62,46,47,30,54,55,63,49,57,28
479,17,18,19,25,26,3,27,28,34,1
485,62,63,64,61,54,55,56,60,59,53
500,42,43,41,50,51,58,33,35,60,27
511,48,8,16,24,32,47,40,56,64,29
516,49,57,44,36,42,43,53,41,50,51
521,27,3,17,18,19,20,21,25,26,4
523,59,60,50,51,58,52,49,57,61,42
527,41,42,43,34,49,57,33,35,53,44
536,59,52,50,51,58,62,44,45,61,49
537,7,15,23,31,5,13,22,21,8,16
558,41,33,35,27,28,34,17,18,19,20
566,6,14,5,13,22,21,30,7,15,23
583,22,30,6,7,14,15,23,31,8,16
596,59,60,53,50,51,58,61,42,43,54
608,17,18,19,25,26,27,28,34,1,2
613,49,57,41,50,51,58,59,42,43,33
631,27,5,13,22,41,33,35,17,18,19
647,47,48,7,15,23,31,29,8,16,24
654,34,1,2,9,10,11,33,35,41,17
682,60,41,59,53,42,43,49,54,55,57
687,4,12,33,3,34,1,2,5,9,10
690,39,7,15,23,31,22,40,8,16,24
705,60,59,52,50,51,58,61,53,62,42
718,30,39,22,40,38,6,7,14,15,23
735,17,18,19,25,26,27,1,2,9,10
740,6,7,14,15,23,31,5,13,22,8
745,8,16,24,32,21,5,13,22,27,28
752,4,12,3,1,2,9,10,11,17,18
753,44,52,36,41,42,43,53,28,45,49
755,54,55,56,53,63,47,64,48,62,61
757,49,57,60,50,51,58,34,59,42,43
758,33,35,27,28,34,49,57,17,18,19
759,49,54,55,57,47,59,60,56,48,53
782,54,55,63,53,62,56,64,61,21,46
788,41,21,3,30,39,27,28,29,44,45
798,35,42,43,34,59,52,60,41,50,51
805,38,37,46,30,39,45,22,40,21,36
812,53,21,30,39,54,55,63,28,29,61
828,27,28,17,18,19,20,25,26,36,1
841,8,16,24,32,7,15,23,31,22,40
