,BAMBIA,VED,SZL,SOX3,TA,BMP4,FOXD5,FOXI1,GSC,SEBOX
,EVE1,CHD,BMP7A,LHX1A,NOTO,NDR2,WNT11,ADMP,GATA2A,AXIN2
3,60,59,61,33,35,49,57,53,27,34
4,39,40,7,8,15,16,23,24,31,32
16,36,35,27,28,34,44,41,42,43,17
23,36,37,28,44,38,20,29,45,35,21
34,1,2,9,10,11,3,27,28,4,12
38,22,30,7,8,15,16,23,24,31,32
44,1,2,3,4,5,6,7,8,9,10
56,1,2,9,10,11,27,28,6,14,3
64,3,27,1,2,9,10,11,4,12,17
82,35,34,41,42,43,49,57,36,33,3
108,7,8,15,16,23,24,31,32,27,39
111,59,49,57,35,34,52,60,50,51,58
114,33,35,41,49,57,42,43,59,27,34
126,27,28,41,17,18,19,20,25,26,36
131,60,59,49,57,52,50,51,58,42,43
138,33,27,17,18,19,20,25,26,1,2
163,41,33,35,27,28,34,17,18,19,20
164,39,40,47,48,7,8,15,16,23,24
165,36,49,57,35,27,28,34,44,50,51
174,28,4,12,17,18,19,20,25,26,36
201,33,17,18,19,25,26,1,2,9,10
204,22,30,21,6,14,7,8,15,16,23
205,3,1,2,9,10,11,4,12,17,18
213,41,33,35,27,28,34,17,18,19,20
222,55,56,47,48,63,64,39,40,62,7
232,44,49,57,36,50,51,58,28,52,60
252,6,14,22,30,21,5,13,29,7,8
265,59,60,50,51,58,46,55,56,61,54
275,60,49,57,59,61,53,50,51,58,52
282,29,21,5,13,22,30,27,28,6,14
286,27,17,18,19,20,25,26,33,1,2
288,36,35,1,2,9,10,11,41,49,57
293,27,28,41,17,18,19,20,25,26,29
294,60,49,57,59,50,51,58,52,54,62
297,27,28,7,8,15,16,21,23,24,31
329,27,28,22,30,21,6,14,3,17,18
341,22,30,7,8,15,16,23,24,31,32
342,50,51,58,42,43,59,35,34,44,52
345,60,41,49,57,50,51,58,42,43,59
356,7,8,15,16,23,24,31,32,39,40
373,17,18,19,25,26,3,27,28,34,4
384,28,44,41,20,36,27,52,4,12,17
389,7,8,15,16,23,24,31,32,39,40
398,27,17,18,19,20,25,26,33,1,2
418,3,4,12,41,1,2,9,10,11,27
420,49,57,59,36,22,30,35,50,51,58
426,29,45,50,51,58,21,37,46,62,27
432,1,2,9,10,11,3,27,28,4,12
433,35,42,43,34,50,51,58,36,33,1
441,60,59,61,44,52,53,50,51,58,20
449,49,57,46,50,51,58,27,44,38,47
451,49,57,33,35,27,34,50,51,58,17
463,33,35,27,34,41,42,43,49,57,17
464,60,54,62,59,55,56,61,41,49,57
482,59,60,50,51,58,49,57,62,52,42
505,41,42,43,33,35,27,28,34,44,52
519,59,60,50,51,58,61,49,57,62,52
529,60,59,33,35,41,49,57,27,28,34
547,7,8,15,16,21,23,24,31,32,22
548,49,57,35,34,60,50,51,58,36,42
569,17,18,19,25,26,27,28,34,1,2
579,28,20,29,36,35,22,30,21,37,41
592,49,57,60,50,51,58,42,43,59,35
603,60,49,57,59,35,50,51,58,27,28
632,27,28,44,60,41,49,57,17,18,19
638,7,8,15,16,23,24,31,32,22,30
653,60,41,49,57,50,51,58,42,43,59
659,41,42,43,63,64,54,35,50,51,58
661,22,30,6,14,7,8,15,16,23,24
669,27,28,3,35,17,18,19,20,25,26
702,27,28,17,18,19,20,25,26,36,1
703,7,8,15,16,23,24,31,32,39,40
719,22,30,21,46,6,14,39,40,38,47
727,41,27,28,17,18,19,20,25,26,29
732,22,30,6,14,7,8,15,16,21,23
746,17,18,19,25,26,1,2,9,10,11
750,27,17,18,19,20,25,26,1,2,9
751,3,4,12,1,2,9,10,11,17,18
764,4,5,12,13,20,3,6,14,27,28
765,62,59,63,64,22,30,49,54,57,52
784,60,41,49,57,50,51,58,42,43,59
820,34,3,33,35,17,18,19,25,26,4
822,36,28,44,52,49,57,59,20,35,37
827,27,17,18,19,20,25,26,33,1,2
848,39,40,7,8,15,16,23,24,31,32
850,41,33,35,27,28,34,17,18,19,20
