,ADMP,BMP4,CDX4,EVE1,FOXD5,NOTO,OTX1B,SP5L,TBX16,VOX
,BAMBIA,BMP7A,CHD,FOXD3,HES6,OTX1A,SOX3,SZL,VED,WNT11
10,45,47,46,29,38,39,21,37,48,52
30,1,2,9,10,33,11,29,5,13,17
37,29,21,19,20,28,11,27,5,13,17
40,37,60,29,35,36,40,53,56,21,45
41,19,20,28,3,4,12,21,40,17,18
47,40,30,35,36,39,33,7,8,15,16
50,21,30,7,8,15,16,22,23,24,32
79,17,18,3,4,12,1,2,9,10,19
97,3,4,12,1,2,9,10,11,5,13
123,37,48,40,17,18,29,36,47,33,30
137,38,39,31,37,45,61,47,51,40,46
156,3,4,12,21,19,20,28,43,5,13
160,60,50,58,52,59,36,44,46,56,62
167,7,8,15,16,22,23,24,32,5,13
173,5,13,6,14,21,7,8,15,16,22
183,7,8,15,16,22,23,24,32,21,30
184,33,17,18,41,1,2,9,10,19,20
199,40,21,30,39,7,8,15,16,22,23
202,48,49,57,51,47,43,52,59,60,40
203,40,21,33,30,39,7,8,15,16,22
210,37,40,34,30,38,39,7,8,15,16
225,43,52,59,50,58,42,51,35,36,44
229,1,2,9,10,17,18,11,3,4,12
230,19,20,28,17,18,11,27,29,1,2
233,7,8,15,16,22,23,24,32,6,14
248,29,40,17,18,21,37,48,30,38,39
262,33,27,35,41,19,20,25,26,28,34
263,1,2,9,10,3,4,5,12,13,21
271,52,59,60,49,57,41,50,58,33,17
289,40,48,30,38,39,47,7,8,15,16
308,56,48,54,55,47,40,46,53,63,64
320,36,37,35,44,19,20,28,34,43,3
321,17,18,1,2,9,10,19,20,25,26
326,21,29,19,20,28,30,17,18,3,4
334,7,8,15,16,22,23,24,32,5,13
347,49,57,42,37,45,48,41,47,50,58
361,56,48,54,55,47,7,8,15,16,22
388,21,30,29,7,8,15,16,22,23,24
406,60,52,59,51,35,36,44,34,43,37
410,36,17,18,37,33,1,2,9,10,19
417,48,47,49,57,40,46,30,38,39,50
422,37,45,38,39,47,29,31,40,46,21
444,30,21,40,7,8,15,16,22,23,24
445,36,37,19,20,28,40,11,27,29,35
446,21,30,29,7,8,15,16,22,23,24
458,19,20,28,7,8,15,16,22,23,24
460,51,52,59,60,49,57,35,36,44,37
469,40,29,30,38,39,17,18,21,37,48
498,19,20,28,11,27,29,36,17,18,3
501,3,4,12,11,1,2,9,10,19,20
508,33,49,57,25,26,34,27,35,41,50
515,19,20,28,17,18,11,27,3,4,12
520,29,17,18,21,1,2,9,10,19,20
522,37,40,29,36,30,38,39,17,18,21
538,5,13,6,14,31,7,8,15,16,22
540,35,36,51,49,57,19,20,28,34,43
555,62,63,64,59,50,58,51,49,57,56
556,60,52,59,61,51,49,57,19,20,28
576,51,49,57,59,27,44,50,58,19,20
605,40,37,30,38,39,7,8,15,16,22
616,5,13,6,14,3,4,12,21,7,8
619,60,40,48,56,30,39,54,55,47,49
622,7,8,15,16,22,23,24,32,6,14
626,5,13,6,14,7,8,15,16,22,23
639,19,20,28,7,8,15,16,22,23,24
657,17,18,30,21,40,29,7,8,15,16
658,51,44,45,43,52,59,60,50,58,35
662,33,17,18,41,1,2,9,10,19,20
666,17,18,29,30,1,2,9,10,19,20
686,29,30,21,48,7,8,15,16,22,23
699,37,40,7,8,15,16,22,23,24,32
706,61,62,54,55,59,60,46,53,56,63
711,6,14,5,13,7,8,15,16,22,23
717,33,41,25,26,34,27,35,49,57,17
762,61,50,58,51,49,57,43,59,60,53
773,56,62,63,64,61,59,54,55,50,58
775,6,14,30,21,7,8,15,16,22,23
776,41,19,20,28,43,11,27,29,35,36
786,30,7,8,15,16,22,23,24,32,21
787,17,18,1,2,9,10,19,20,25,26
792,50,58,49,57,59,60,61,62,63,64
794,33,27,35,41,19,20,25,26,28,34
810,37,5,13,21,45,6,14,40,29,36
816,11,1,2,9,10,19,20,28,3,4
825,21,40,29,30,39,7,8,15,16,22
830,5,13,3,4,12,21,11,29,6,14
