,AXIN2,BMP4,CDX4,EVE1,FOXD5,HES6,OTX1A,SP5L,TA,VOX
,BAMBIA,BMP7A,CHD,FOXD3,GATA5,NOTO,SOX3,SZL,VED,WNT11
5,56,40,7,8,15,16,22,23,24,32
7,21,29,30,5,13,7,8,15,16,22
20,21,19,3,29,17,18,11,20,27,28
35,17,18,37,40,48,33,29,36,1,2
36,33,25,26,4,12,41,20,27,28,17
49,20,28,19,4,12,11,27,17,18,3
53,33,27,35,41,19,25,26,34,43,30
63,56,62,63,64,54,55,38,60,34,59
72,50,58,42,46,48,56,62,63,64,49
89,33,17,18,41,1,2,9,10,19,25
102,48,29,30,47,7,8,15,16,22,23
115,7,8,15,16,22,23,24,32,6,14
120,33,17,18,41,1,2,9,10,19,25
121,30,7,8,15,16,22,23,24,32,6
125,34,35,50,58,36,33,17,18,42,51
128,3,19,4,12,21,11,20,27,28,35
130,62,63,64,60,50,58,59,56,52,54
139,30,21,7,8,15,16,22,23,24,32
145,34,33,49,57,40,35,17,18,42,60
146,1,2,9,10,11,17,18,3,36,19
158,46,38,48,47,40,30,39,56,62,63
159,21,45,5,13,29,62,61,31,46,37
172,60,59,52,51,36,44,50,58,43,35
194,17,18,1,2,9,10,19,25,26,11
226,19,3,17,18,11,20,27,28,4,12
227,40,30,39,7,8,15,16,22,23,24
242,29,17,18,60,21,37,45,49,57,1
258,7,8,15,16,22,23,24,32,6,14
277,36,34,20,28,35,33,44,17,18,42
291,60,59,52,62,51,50,58,49,57,61
301,17,18,1,2,9,10,19,25,26,11
319,54,55,53,52,61,56,62,63,64,60
333,27,33,19,25,26,11,20,28,35,41
337,46,37,45,38,48,56,63,64,47,54
344,21,5,13,7,8,15,16,22,23,24
360,17,18,1,2,9,10,19,25,26,11
366,52,36,44,34,38,54,55,37,45,50
368,56,60,54,55,43,59,46,37,45,53
371,50,58,42,51,60,34,43,59,35,52
372,36,44,17,18,42,60,1,2,9,10
376,17,18,1,2,9,10,19,25,26,11
383,20,28,41,36,44,4,12,33,17,18
394,17,18,1,2,9,10,19,25,26,11
395,25,26,33,27,41,17,18,1,2,9
400,43,59,49,57,35,42,51,60,41,50
409,7,8,15,16,22,23,24,32,21,5
414,30,7,8,15,16,22,23,24,32,40
435,34,36,44,17,18,42,60,35,52,33
438,19,11,20,27,28,17,18,3,36,1
452,37,40,48,30,38,39,29,36,19,47
456,29,30,38,21,37,7,8,15,16,22
459,49,57,25,26,34,33,27,35,17,18
471,21,5,13,7,8,15,16,22,23,24
484,48,56,47,54,55,37,45,53,40,46
495,42,49,57,34,43,35,41,50,58,36
497,3,33,4,12,17,18,60,1,2,9
504,60,36,44,19,43,59,11,20,27,28
506,59,50,58,61,51,60,62,63,64,49
510,7,8,15,16,22,23,24,32,6,14
549,5,13,4,12,21,3,29,11,20,28
594,17,18,29,1,2,9,10,19,25,26
610,7,8,15,16,22,23,24,32,6,14
618,4,12,5,13,3,33,11,20,27,28
627,20,28,17,18,1,2,9,10,19,25
633,7,8,15,16,22,23,24,32,6,14
649,43,49,57,35,42,51,41,50,58,53
667,21,5,13,7,8,15,16,22,23,24
679,17,18,1,2,9,10,19,25,26,3
681,3,11,1,2,9,10,19,4,12,21
683,17,18,20,28,1,2,9,10,19,25
689,7,8,15,16,22,23,24,32,21,5
700,30,7,8,15,16,22,23,24,32,40
715,21,31,29,30,39,5,13,7,8,15
724,35,40,33,3,36,19,34,43,30,39
742,3,4,12,21,17,18,1,2,9,10
744,61,62,54,55,60,45,53,52,46,56
749,4,12,3,11,20,28,21,5,13,1
781,40,4,12,21,37,5,13,3,29,36
793,20,28,36,19,4,12,11,27,35,52
814,20,27,28,19,25,26,4,12,21,17
818,7,8,15,16,22,23,24,32,6,14
823,17,18,33,3,1,2,9,10,19,25
831,17,18,20,28,1,2,9,10,19,25
843,40,48,30,38,39,47,7,8,15,16
849,35,34,43,33,27,42,51,36,41,50
