,AXIN2,BMP4,CDX4,EVE1,FOXD3,HES6,NOTO,SOX3,SZL,VED
,BAMBIA,BMP7A,CHD,FOXB1A,FOXD5,NDR2,OTX1A,SP5L,TBX16,VOX
12,35,36,51,19,34,43,59,60,37,50
26,34,36,17,18,42,35,33,1,2,9
45,33,27,35,41,19,25,26,34,43,11
51,63,64,30,17,18,29,22,21,56,62
67,11,1,2,9,10,19,3,17,18,4
73,41,53,54,3,52,19,43,59,60,55
77,17,18,1,2,9,10,19,25,26,11
85,50,58,42,51,49,57,34,43,59,60
101,63,64,56,62,61,55,50,58,59,60
103,17,18,3,33,1,2,9,10,19,25
105,17,18,1,2,9,10,19,25,26,11
107,49,57,51,43,59,48,41,50,58,27
132,27,19,25,26,22,17,18,33,3,30
136,19,3,30,17,18,4,12,21,11,20
141,59,60,52,51,44,19,11,20,27,28
166,17,18,1,2,9,10,19,25,26,11
168,19,33,11,20,27,28,35,3,36,17
170,4,12,1,2,9,10,3,5,13,17
180,5,13,21,22,29,6,7,8,14,15
182,19,59,60,48,11,20,27,28,47,3
197,20,28,37,29,36,19,38,40,4,12
211,49,57,50,58,42,51,34,43,59,60
214,19,11,20,27,28,35,17,18,3,29
219,49,57,50,58,42,51,34,43,59,60
235,17,18,1,2,9,10,19,25,26,3
239,1,2,9,10,17,18,4,12,11,20
245,55,45,53,54,61,60,46,47,56,62
247,1,2,9,10,11,17,18,3,19,25
257,19,11,20,27,28,17,18,3,36,1
260,22,6,7,8,14,15,16,23,24,32
268,61,59,60,38,62,39,37,45,53,54
270,51,49,57,43,59,60,50,58,35,36
279,20,28,36,4,12,19,11,27,35,33
315,30,21,56,22,40,37,45,48,53,54
322,51,59,50,58,49,57,61,43,60,46
331,33,1,2,9,10,25,26,34,41,17
338,19,33,11,20,27,28,35,17,18,41
350,21,29,5,13,30,22,6,7,8,14
403,56,63,64,48,40,30,46,47,55,7
405,17,18,1,2,9,10,19,25,26,33
411,50,58,59,61,49,57,42,51,56,62
415,19,11,20,27,28,17,18,3,36,1
421,21,29,5,13,30,22,17,18,6,7
427,5,13,21,22,29,6,7,8,14,15
447,7,8,15,16,23,24,32,31,29,5
465,45,61,60,46,47,55,62,38,37,48
475,33,25,26,27,41,17,18,3,1,2
480,21,19,3,29,7,8,15,16,17,18
481,61,59,62,53,54,51,50,58,46,55
486,17,18,41,1,2,9,10,19,25,26
531,5,13,6,14,4,12,21,22,3,29
543,7,8,15,16,23,24,32,31,22,21
551,4,12,21,20,28,19,3,29,5,13
554,19,21,22,17,18,31,3,29,5,13
561,1,2,9,10,11,17,18,3,19,25
572,4,12,3,11,20,28,1,2,9,10
584,21,30,29,22,37,6,7,8,14,15
593,17,18,1,2,9,10,19,25,26,11
601,59,50,58,51,61,49,57,60,62,53
612,31,22,6,7,8,14,15,16,23,24
614,7,8,15,16,23,24,32,22,31,21
615,22,6,7,8,14,15,16,23,24,32
623,29,21,5,13,30,22,6,7,8,14
628,6,14,21,5,13,30,3,29,22,11
640,1,2,9,10,11,17,18,3,29,5
641,56,63,64,37,45,53,54,46,55,38
650,30,21,19,22,3,29,6,7,8,14
656,51,43,59,60,35,50,58,36,52,44
664,19,17,18,11,20,27,28,3,36,1
675,22,6,7,8,14,15,16,23,24,32
684,31,7,8,15,16,23,24,32,22,21
691,33,34,41,42,35,1,2,9,10,25
695,7,8,15,16,23,24,32,31,30,22
709,3,6,14,5,11,13,35,4,12,33
716,17,18,21,5,13,1,2,9,10,19
722,21,19,30,7,8,15,16,23,24,32
733,7,8,15,16,23,24,32,22,31,33
748,63,64,52,22,21,56,62,43,59,60
769,21,30,7,8,15,16,23,24,32,29
772,17,18,1,2,9,10,19,25,26,11
779,19,43,11,20,27,28,35,49,57,30
829,33,17,18,29,41,21,1,2,9,10
832,21,19,3,29,17,18,11,20,27,28
842,59,60,62,63,64,51,52,61,50,58
