,AXIN2,BMP4,CDX4,EVE1,FOXD3,HES6,NOTO,SOX3,TBX16,VOX
,BAMBIA,BMP7A,CHD,FOXB1A,GATA5,NDR2,OTX1A,SP5L,VED,WNT11
14,30,6,14,22,40,21,7,8,15,16
15,53,56,54,41,55,33,42,1,2,9
21,41,33,42,1,2,9,10,17,18,34
39,50,58,59,49,57,42,51,52,61,34
42,20,28,1,2,9,10,17,18,4,12
57,5,13,1,2,9,10,17,18,3,21
62,1,2,9,10,17,18,11,19,25,26
66,44,45,36,51,37,20,28,52,43,59
68,1,2,9,10,17,18,40,29,11,19
99,20,28,36,11,19,4,12,29,1,2
109,1,2,9,10,17,18,20,28,4,12
129,5,13,21,3,1,2,9,10,17,18
140,60,44,45,53,51,52,61,54,43,59
142,33,1,2,9,10,17,18,34,41,11
147,59,60,51,52,35,36,61,50,58,34
171,1,2,9,10,17,18,11,19,25,26
175,11,19,35,33,3,20,27,28,36,4
188,60,52,61,59,37,53,11,19,35,62
189,51,59,60,52,44,45,49,57,43,11
192,1,2,9,10,17,18,3,21,11,19
228,29,1,2,9,10,17,18,21,37,11
237,30,3,21,11,19,6,14,22,40,4
243,5,13,21,6,14,22,29,7,8,15
249,1,2,9,10,17,18,29,21,41,11
250,5,13,6,14,22,7,8,15,16,23
253,29,21,37,45,5,13,20,28,36,48
256,59,51,43,60,50,58,42,35,49,53
281,33,41,34,25,26,35,42,27,1,2
300,59,60,62,52,61,51,53,63,64,54
307,21,29,30,5,13,6,14,22,4,12
311,1,2,9,10,17,18,11,19,25,26
312,7,8,15,16,23,24,32,30,31,1
324,11,19,3,20,27,28,1,2,9,10
332,5,13,21,1,2,9,10,17,18,4
353,5,13,6,14,22,21,29,7,8,15
355,34,33,42,25,26,35,41,50,58,1
364,49,57,50,58,41,33,42,51,1,2
379,46,38,45,39,30,47,31,44,6,14
387,1,2,9,10,17,18,11,19,25,26
428,3,11,19,1,2,9,10,17,18,4
431,3,4,12,11,19,21,20,27,28,36
436,35,34,43,33,42,56,41,59,50,58
439,11,19,3,20,27,28,36,4,12,29
448,30,21,4,12,29,3,20,28,6,14
457,36,1,2,9,10,17,18,34,11,19
487,20,28,36,4,12,11,19,3,27,52
492,35,36,34,43,37,11,19,33,42,51
502,34,25,26,35,27,33,42,50,58,1
503,21,30,4,5,12,13,29,1,2,6
512,1,2,9,10,17,18,29,11,19,25
517,59,60,29,48,11,19,21,37,45,49
542,5,13,21,4,12,29,6,14,22,3
557,43,59,49,57,41,35,33,42,51,27
567,29,21,30,1,2,9,10,17,18,6
568,1,2,9,10,17,18,4,12,5,13
581,40,48,7,8,15,16,23,24,32,39
585,7,8,15,16,23,24,32,5,13,29
589,41,33,42,1,2,9,10,17,18,34
597,20,28,1,2,9,10,17,18,4,12
606,51,50,58,43,59,35,49,57,42,34
609,1,2,9,10,17,18,11,19,25,26
611,4,12,3,20,28,21,11,19,30,5
634,11,19,29,1,2,9,10,17,18,3
655,63,64,56,62,50,58,59,55,49,57
670,33,56,54,1,2,9,10,17,18,34
674,7,8,15,16,23,24,32,30,21,31
676,21,29,5,13,7,8,15,16,23,24
678,63,64,31,56,62,30,46,47,55,61
688,30,21,6,14,22,40,5,13,56,7
714,43,59,60,11,19,35,41,3,20,27
725,59,60,11,19,51,3,20,27,28,52
728,3,21,11,19,4,12,29,7,8,15
729,11,19,1,2,9,10,17,18,3,20
731,3,1,2,9,10,17,18,4,12,11
763,21,30,5,13,29,6,14,22,7,8
774,56,62,63,64,61,54,55,53,52,59
778,21,4,12,29,5,13,3,20,28,11
783,11,19,3,20,27,28,1,2,9,10
796,29,21,37,45,20,28,36,5,13,4
800,1,2,9,10,17,18,11,19,25,26
802,5,13,7,8,15,16,23,24,32,21
815,5,13,6,14,22,21,7,8,15,16
819,7,8,15,16,23,24,32,6,14,22
821,6,14,22,7,8,15,16,23,24,32
833,3,4,12,11,19,21,20,27,28,36
