,AXIN2,BMP4,CDX4,EVE1,FOXD3,GATA2A,NOTO,SOX3,SZL,VOX
,BAMBIA,BMP7A,CHD,FOXB1A,FOXD5,HES6,OTX1A,SP5L,VED,WNT11
11,35,27,33,41,34,43,19,25,26,28
17,3,30,6,14,11,21,27,4,12,7
19,17,18,1,2,9,10,19,25,26,28
22,17,18,1,2,9,10,19,25,26,11
27,30,7,8,15,16,22,23,24,32,21
29,1,2,9,10,17,18,11,3,19,25
46,34,35,36,49,57,33,42,17,18,43
52,50,58,49,57,34,59,35,33,42,51
59,19,28,11,20,27,36,17,18,3,4
60,17,18,1,2,9,10,19,25,26,28
65,33,41,17,18,34,1,2,9,10,19
71,30,3,19,28,35,7,8,15,16,22
93,36,52,59,60,28,35,61,4,12,51
96,21,7,8,15,16,22,23,24,32,29
100,17,18,1,2,9,10,19,25,26,28
116,34,41,33,42,35,49,57,54,55,56
134,36,17,18,34,1,2,9,10,19,25
135,7,8,15,16,22,23,24,32,21,6
148,30,40,7,8,15,16,22,23,24,32
151,28,29,61,20,21,36,52,56,63,64
176,35,41,33,27,34,43,3,19,25,26
177,30,21,7,8,15,16,22,23,24,32
191,30,7,8,15,16,22,23,24,32,21
193,48,47,30,40,46,7,8,15,16,22
195,33,3,17,18,4,12,1,2,9,10
221,7,8,15,16,22,23,24,32,6,14
223,17,18,1,2,9,10,19,25,26,28
231,19,28,29,35,11,20,21,27,36,33
234,52,53,60,54,55,61,44,45,62,59
238,30,40,6,14,21,36,4,12,7,8
264,34,42,35,43,36,56,41,50,58,33
272,35,30,34,43,41,27,56,63,64,7
278,17,18,34,1,2,9,10,19,25,26
287,34,31,36,42,7,8,15,16,22,23
292,41,33,42,17,18,34,43,1,2,9
317,7,8,15,16,22,23,24,32,21,6
330,30,21,7,8,15,16,22,23,24,32
335,54,55,59,56,46,51,53,62,61,38
343,63,64,62,56,59,60,54,55,19,28
348,19,28,29,41,47,31,11,20,21,27
349,19,28,35,11,20,27,36,3,4,12
380,17,18,1,2,9,10,19,25,26,28
399,3,1,2,9,10,4,12,17,18,11
408,17,18,1,2,9,10,19,25,26,28
434,41,28,20,36,52,56,44,53,33,42
468,3,11,21,4,12,1,2,9,10,19
473,33,41,21,17,18,34,3,1,2,9
491,21,30,7,8,15,16,22,23,24,32
499,36,19,35,17,18,34,43,3,37,30
525,46,37,44,45,48,38,36,47,40,39
530,40,37,48,38,39,29,47,21,30,46
532,3,5,13,11,21,6,14,4,12,1
535,39,31,40,47,7,8,15,16,22,23
539,21,19,28,29,3,30,17,18,11,20
550,31,7,8,15,16,22,23,24,32,39
564,7,8,15,16,22,23,24,32,21,6
575,17,18,1,2,9,10,19,25,26,28
588,63,64,56,34,30,62,7,8,15,16
591,21,29,30,7,8,15,16,22,23,24
635,27,49,57,33,51,43,59,41,50,58
636,56,63,64,38,62,54,55,35,61,30
645,7,8,15,16,22,23,24,32,6,14
671,7,8,15,16,22,23,24,32,6,14
672,21,3,19,28,29,4,12,11,20,27
685,33,41,17,18,34,1,2,9,10,19
696,51,52,59,60,44,62,61,54,55,50
708,30,7,8,15,16,22,23,24,32,6
720,49,57,51,50,58,43,59,35,61,36
721,17,18,1,2,9,10,19,25,26,11
737,19,11,20,27,3,17,18,43,4,12
738,30,21,7,8,15,16,22,23,24,32
747,50,58,63,64,62,42,51,34,43,59
768,21,29,37,30,40,7,8,15,16,22
777,7,8,15,16,22,23,24,32,21,6
785,21,28,29,17,18,4,12,20,36,1
803,28,4,12,41,20,21,27,63,64,30
804,7,8,15,16,22,23,24,32,6,14
806,30,7,8,15,16,22,23,24,32,21
807,21,7,8,15,16,22,23,24,32,29
808,7,8,15,16,22,23,24,32,30,21
817,59,60,62,61,51,54,55,52,56,63
826,21,3,19,28,29,4,12,11,20,27
836,3,5,13,11,4,12,1,2,9,10
840,7,8,15,16,22,23,24,32,21,6
844,11,20,4,12,1,2,9,10,19,28
847,30,21,7,8,15,16,22,23,24,32
