,AXIN2,BMP4,CDX4,CST3,FOXD3,HES6,OTX1A,SP5L,TBX16,VOX
,BAMBIA,BMP7A,CHD,EVE1,FOXD5,NOTO,SOX3,SZL,VED,WNT11
3,37,29,40,30,38,39,21,45,48,35
4,7,8,15,16,22,23,24,32,5,13
16,17,18,36,1,2,9,10,19,25,26
23,36,44,37,45,38,20,28,52,17,18
34,1,2,9,10,25,26,33,11,27,17
38,30,21,40,7,8,15,16,22,23,24
44,29,61,21,37,45,48,47,53,56,62
56,1,2,9,10,25,26,49,57,17,18
64,3,11,4,12,1,2,9,10,19,17
82,40,21,37,35,30,39,33,3,29,36
108,17,18,33,30,39,21,41,1,2,9
111,60,59,35,52,49,57,51,36,61,50
114,54,55,33,53,56,35,41,39,34,43
126,17,18,1,2,9,10,19,25,26,33
131,60,61,59,49,57,52,53,56,62,63
138,33,29,17,18,21,37,1,2,9,10
163,33,17,18,41,1,2,9,10,19,25
164,40,21,48,30,39,47,29,7,8,15
165,36,44,19,11,20,27,28,35,17,18
174,20,28,17,18,36,1,2,9,10,19
201,17,18,1,2,9,10,19,25,26,33
204,21,5,13,7,8,15,16,22,23,24
205,3,11,4,12,1,2,9,10,19,17
213,17,18,1,2,9,10,19,25,26,11
222,47,62,61,46,54,55,45,48,60,31
232,44,45,47,36,46,37,48,38,39,20
252,6,14,5,13,7,8,15,16,22,23
265,37,34,36,50,58,56,38,17,18,42
275,49,57,34,33,35,42,41,50,58,25
282,27,19,25,26,33,63,64,11,20,28
286,17,18,1,2,9,10,19,25,26,33
288,1,2,9,10,11,17,18,3,36,33
293,17,18,29,1,2,9,10,19,25,26
294,49,57,60,59,50,58,52,42,51,48
297,17,18,1,2,9,10,19,25,26,3
329,17,18,1,2,9,10,19,25,26,21
341,30,21,40,7,8,15,16,22,23,24
342,42,34,43,35,41,50,58,36,44,33
345,51,49,57,43,59,41,50,58,27,35
356,21,5,13,7,8,15,16,22,23,24
373,19,3,17,18,11,20,27,28,4,12
384,44,45,20,28,47,17,18,41,29,36
389,29,21,30,7,8,15,16,22,23,24
398,19,11,20,27,28,17,18,3,29,36
418,3,11,27,30,1,2,9,10,19,25
420,40,30,39,17,18,21,37,48,49,57
426,27,50,58,51,19,25,26,43,59,49
432,1,2,9,10,11,17,18,3,19,25
433,35,34,43,42,33,41,50,58,36,49
441,52,60,44,61,59,45,51,53,62,36
449,48,47,40,46,49,57,30,38,39,43
451,49,57,34,50,58,35,33,36,17,18
463,33,34,41,35,42,49,57,25,26,43
464,60,59,56,62,63,64,52,54,55,61
482,62,63,64,60,59,56,61,50,58,51
505,19,33,11,20,27,28,35,3,36,17
519,60,59,61,62,51,52,53,63,64,50
529,33,17,18,1,2,9,10,19,25,26
547,25,26,7,8,15,16,22,23,24,32
548,49,57,34,50,58,35,36,33,37,17
569,27,19,25,26,17,18,33,11,20,28
579,20,28,17,18,36,1,2,9,10,19
592,43,37,45,48,49,57,35,47,53,56
603,60,59,49,57,52,62,17,18,51,61
632,44,17,18,45,1,2,9,10,19,25
638,21,5,13,7,8,15,16,22,23,24
653,49,57,41,50,58,33,42,51,25,26
659,63,64,43,27,35,41,50,58,42,51
661,7,8,15,16,22,23,24,32,30,6
669,17,18,21,5,13,7,8,15,16,22
702,17,18,1,2,9,10,19,25,26,11
703,7,8,15,16,22,23,24,32,30,21
719,40,21,48,30,39,47,56,29,7,8
727,19,17,18,11,20,27,28,33,3,29
732,30,7,8,15,16,22,23,24,32,21
746,17,18,1,2,9,10,19,25,26,29
750,17,18,1,2,9,10,19,25,26,11
751,3,5,11,13,4,12,1,2,9,10
764,4,12,5,13,3,11,20,28,1,2
765,56,62,63,64,54,55,48,30,47,53
784,49,57,51,43,59,41,50,58,27,35
820,7,8,15,16,17,18,22,23,24,32
822,36,44,20,28,52,17,18,60,1,2
827,17,18,29,1,2,9,10,19,25,26
848,7,8,15,16,22,23,24,32,40,6
850,33,17,18,1,2,9,10,19,25,26
