,TA,SOX3,CST3,BAMBIA,FOXD5,NDR1,AXIN2,OTX1A,EVE1,HER1
,FOXI1,CHD,BMP4,FOXB1A,VENT,SP5L,GATA5,HES6,VOX,LFT2
33,33,41,25,49,17,57,9,1,34,42
54,33,41,25,49,17,57,9,1,34,42
75,11,12,3,19,10,13,18,2,4,20
84,34,26,42,35,33,43,27,41,25,50
86,6,5,7,8,4,14,13,15,16,12
90,7,8,6,5,4,15,14,16,13,12
91,1,9,17,25,33,41,49,57,2,10
95,34,26,42,35,33,43,27,41,25,50
119,41,49,33,57,25,17,9,1,42,34
122,29,30,28,31,32,21,37,27,20,36
133,20,21,19,22,28,12,23,27,11,29
143,11,12,3,19,10,13,18,2,4,20
155,8,7,6,5,16,15,14,4,13,12
162,35,36,43,27,34,37,26,42,44,28
179,38,37,39,40,36,30,46,29,45,31
200,33,41,25,49,17,57,9,1,34,42
206,7,8,6,5,4,15,14,16,13,12
209,8,7,6,5,16,15,14,4,13,12
216,34,26,42,35,33,43,27,41,25,50
236,11,12,3,19,10,13,18,2,4,20
246,1,9,17,25,33,41,49,57,2,10
251,7,8,6,5,4,15,14,16,13,12
254,8,7,6,5,16,15,14,4,13,12
259,36,37,35,38,44,28,39,43,27,45
267,27,28,19,35,26,29,18,34,20,36
284,35,36,43,27,34,37,26,42,44,28
295,35,36,43,27,34,37,26,42,44,28
302,45,46,44,47,48,37,53,43,36,52
310,51,52,59,43,50,53,42,58,60,44
318,41,49,33,57,25,17,9,1,42,34
325,5,6,4,7,8,13,3,12,14,15
346,35,36,43,27,34,37,26,42,44,28
363,51,52,59,43,50,53,42,58,60,44
367,5,6,4,7,8,13,3,12,14,15
377,8,7,6,5,16,15,14,4,13,12
385,7,8,6,5,4,15,14,16,13,12
391,44,45,43,46,36,52,47,35,51,37
392,34,26,42,35,33,43,27,41,25,50
402,36,37,35,38,44,28,39,43,27,45
407,64,63,62,61,56,55,54,60,53,52
412,43,44,35,51,42,45,50,34,36,52
413,49,41,57,33,25,17,9,1,50,42
430,6,5,7,8,4,14,13,15,16,12
461,11,12,3,19,10,13,18,2,4,20
462,8,7,6,5,16,15,14,4,13,12
476,33,41,25,49,17,57,9,1,34,42
477,11,12,3,19,10,13,18,2,4,20
489,11,12,3,19,10,13,18,2,4,20
490,33,41,25,49,17,57,9,1,34,42
496,1,9,17,25,33,41,49,57,2,10
513,51,52,59,43,50,53,42,58,60,44
518,35,36,43,27,34,37,26,42,44,28
533,6,5,7,8,4,14,13,15,16,12
541,29,30,28,31,32,21,37,27,20,36
545,51,52,59,43,50,53,42,58,60,44
546,47,48,46,45,44,39,55,54,38,56
553,51,52,59,43,50,53,42,58,60,44
580,64,63,62,61,56,55,54,60,53,52
587,52,53,51,54,60,44,55,59,43,61
590,43,44,35,51,42,45,50,34,36,52
602,11,12,3,19,10,13,18,2,4,20
617,1,9,17,25,33,41,49,57,2,10
630,4,5,3,6,12,7,11,13,14,8
642,46,45,47,48,44,38,54,37,53,39
646,52,53,51,54,60,44,55,59,43,61
648,5,6,4,7,8,13,3,12,14,15
677,11,12,3,19,10,13,18,2,4,20
692,64,63,62,61,56,55,54,60,53,52
693,44,45,43,46,36,52,47,35,51,37
697,64,63,62,61,56,55,54,60,53,52
698,8,7,6,5,16,15,14,4,13,12
701,11,12,3,19,10,13,18,2,4,20
704,44,45,43,46,36,52,47,35,51,37
710,48,47,46,45,40,56,39,55,38,54
726,43,44,35,51,42,45,50,34,36,52
730,34,26,42,35,33,43,27,41,25,50
734,5,6,4,7,8,13,3,12,14,15
736,7,8,6,5,4,15,14,16,13,12
739,20,21,19,22,28,12,23,27,11,29
741,7,8,6,5,4,15,14,16,13,12
756,33,41,25,49,17,57,9,1,34,42
761,46,45,47,48,44,38,54,37,53,39
770,8,7,6,5,16,15,14,4,13,12
835,1,9,17,25,33,41,49,57,2,10
839,11,12,3,19,10,13,18,2,4,20
