,TA,SOX3,WNT8A,BAMBIA,FOXD5,OTX1A,AXIN2,NDR1,BMP4,HER1
,SP5L,CHD,HES6,CST3,GATA2A,EVE1,VOX,LFT2,FOXB1A,GATA5
12,34,26,42,35,33,43,27,41,25,50
26,6,5,7,8,4,14,13,15,16,12
45,51,52,59,43,50,53,42,58,60,44
51,34,26,42,35,33,43,27,41,25,50
67,33,41,25,49,17,57,9,1,34,42
73,43,44,35,51,42,45,50,34,36,52
77,27,28,19,35,26,29,18,34,20,36
85,51,52,59,43,50,53,42,58,60,44
101,55,56,54,53,52,47,63,46,62,64
103,6,5,7,8,4,14,13,15,16,12
105,33,41,25,49,17,57,9,1,34,42
107,27,28,19,35,26,29,18,34,20,36
132,28,29,27,30,20,36,31,19,35,21
136,28,29,27,30,20,36,31,19,35,21
141,35,36,43,27,34,37,26,42,44,28
166,1,9,17,25,33,41,49,57,2,10
168,1,9,17,25,33,41,49,57,2,10
170,28,29,27,30,20,36,31,19,35,21
180,6,5,7,8,4,14,13,15,16,12
182,38,37,39,40,36,30,46,29,45,31
197,44,45,43,46,36,52,47,35,51,37
211,50,42,58,51,49,43,59,41,57,34
214,27,28,19,35,26,29,18,34,20,36
219,51,52,59,43,50,53,42,58,60,44
235,11,12,3,19,10,13,18,2,4,20
239,33,41,25,49,17,57,9,1,34,42
245,55,56,54,53,52,47,63,46,62,64
247,36,37,35,38,44,28,39,43,27,45
257,1,9,17,25,33,41,49,57,2,10
260,21,22,20,23,24,29,13,19,28,12
268,38,37,39,40,36,30,46,29,45,31
270,42,50,34,43,41,51,35,49,33,58
279,20,21,19,22,28,12,23,27,11,29
315,36,37,35,38,44,28,39,43,27,45
322,51,52,59,43,50,53,42,58,60,44
331,35,36,43,27,34,37,26,42,44,28
338,1,9,17,25,33,41,49,57,2,10
350,8,7,6,5,16,15,14,4,13,12
403,8,7,6,5,16,15,14,4,13,12
405,35,36,43,27,34,37,26,42,44,28
411,35,36,43,27,34,37,26,42,44,28
415,1,9,17,25,33,41,49,57,2,10
421,28,29,27,30,20,36,31,19,35,21
427,46,45,47,48,44,38,54,37,53,39
447,48,47,46,45,40,56,39,55,38,54
465,61,62,60,63,64,53,59,52,54,55
475,35,36,43,27,34,37,26,42,44,28
480,1,9,17,25,33,41,49,57,2,10
481,55,56,54,53,52,47,63,46,62,64
486,27,28,19,35,26,29,18,34,20,36
531,21,22,20,23,24,29,13,19,28,12
543,8,7,6,5,16,15,14,4,13,12
551,28,29,27,30,20,36,31,19,35,21
554,6,5,7,8,4,14,13,15,16,12
561,20,21,19,22,28,12,23,27,11,29
572,20,21,19,22,28,12,23,27,11,29
584,5,6,4,7,8,13,3,12,14,15
593,20,21,19,22,28,12,23,27,11,29
601,51,52,59,43,50,53,42,58,60,44
612,7,8,6,5,4,15,14,16,13,12
614,6,5,7,8,4,14,13,15,16,12
615,8,7,6,5,16,15,14,4,13,12
623,20,21,19,22,28,12,23,27,11,29
628,8,7,6,5,16,15,14,4,13,12
640,20,21,19,22,28,12,23,27,11,29
641,11,12,3,19,10,13,18,2,4,20
650,28,29,27,30,20,36,31,19,35,21
656,20,21,19,22,28,12,23,27,11,29
664,6,5,7,8,4,14,13,15,16,12
675,21,22,20,23,24,29,13,19,28,12
684,21,22,20,23,24,29,13,19,28,12
691,6,5,7,8,4,14,13,15,16,12
695,20,21,19,22,28,12,23,27,11,29
709,20,21,19,22,28,12,23,27,11,29
716,20,21,19,22,28,12,23,27,11,29
722,7,8,6,5,4,15,14,16,13,12
733,6,5,7,8,4,14,13,15,16,12
748,6,5,7,8,4,14,13,15,16,12
769,8,7,6,5,16,15,14,4,13,12
772,11,12,3,19,10,13,18,2,4,20
779,41,49,33,57,25,17,9,1,42,34
829,20,21,19,22,28,12,23,27,11,29
832,6,5,7,8,4,14,13,15,16,12
842,45,46,44,47,48,37,53,43,36,52
