,WNT8A,SOX3,AXIN2,FOXD5,BAMBIA,TA,CHD,NDR1,OTX1A,EVE1
,GATA2A,LHX1A,CST3,BMP4,BMP7A,VOX,SP5L,HES6,HER1,VENT
2,27,28,19,35,26,29,18,34,20,36
8,1,9,17,25,33,41,49,57,2,10
31,1,9,17,25,33,41,49,57,2,10
32,35,36,43,27,34,37,26,42,44,28
43,43,44,35,51,42,45,50,34,36,52
48,44,45,43,46,36,52,47,35,51,37
74,6,5,7,8,4,14,13,15,16,12
76,27,28,19,35,26,29,18,34,20,36
78,7,8,6,5,4,15,14,16,13,12
88,34,26,42,35,33,43,27,41,25,50
98,6,5,7,8,4,14,13,15,16,12
112,27,28,19,35,26,29,18,34,20,36
117,35,36,43,27,34,37,26,42,44,28
118,6,5,7,8,4,14,13,15,16,12
124,1,9,17,25,33,41,49,57,2,10
127,11,12,3,19,10,13,18,2,4,20
150,51,52,59,43,50,53,42,58,60,44
153,54,53,55,56,52,62,46,61,45,63
181,7,8,6,5,4,15,14,16,13,12
198,6,5,7,8,4,14,13,15,16,12
208,6,5,7,8,4,14,13,15,16,12
215,51,52,59,43,50,53,42,58,60,44
218,51,52,59,43,50,53,42,58,60,44
224,6,5,7,8,4,14,13,15,16,12
276,47,48,46,45,44,39,55,54,38,56
280,51,52,59,43,50,53,42,58,60,44
290,20,21,19,22,28,12,23,27,11,29
296,41,49,33,57,25,17,9,1,42,34
313,20,21,19,22,28,12,23,27,11,29
327,44,45,43,46,36,52,47,35,51,37
328,33,41,25,49,17,57,9,1,34,42
354,27,28,19,35,26,29,18,34,20,36
369,1,9,17,25,33,41,49,57,2,10
374,44,45,43,46,36,52,47,35,51,37
378,51,52,59,43,50,53,42,58,60,44
381,51,52,59,43,50,53,42,58,60,44
386,54,53,55,56,52,62,46,61,45,63
416,42,50,34,43,41,51,35,49,33,58
423,6,5,7,8,4,14,13,15,16,12
425,61,62,60,63,64,53,59,52,54,55
437,20,21,19,22,28,12,23,27,11,29
440,33,41,25,49,17,57,9,1,34,42
442,35,36,43,27,34,37,26,42,44,28
443,35,36,43,27,34,37,26,42,44,28
453,28,29,27,30,20,36,31,19,35,21
470,7,8,6,5,4,15,14,16,13,12
494,41,49,33,57,25,17,9,1,42,34
507,51,52,59,43,50,53,42,58,60,44
509,41,49,33,57,25,17,9,1,42,34
514,7,8,6,5,4,15,14,16,13,12
524,41,49,33,57,25,17,9,1,42,34
526,36,37,35,38,44,28,39,43,27,45
544,7,8,6,5,4,15,14,16,13,12
559,51,52,59,43,50,53,42,58,60,44
565,27,28,19,35,26,29,18,34,20,36
570,20,21,19,22,28,12,23,27,11,29
571,7,8,6,5,4,15,14,16,13,12
573,28,29,27,30,20,36,31,19,35,21
574,7,8,6,5,4,15,14,16,13,12
577,1,9,17,25,33,41,49,57,2,10
578,20,21,19,22,28,12,23,27,11,29
582,6,5,7,8,4,14,13,15,16,12
595,7,8,6,5,4,15,14,16,13,12
620,1,9,17,25,33,41,49,57,2,10
624,51,52,59,43,50,53,42,58,60,44
625,43,44,35,51,42,45,50,34,36,52
629,7,8,6,5,4,15,14,16,13,12
637,6,5,7,8,4,14,13,15,16,12
643,6,5,7,8,4,14,13,15,16,12
644,7,8,6,5,4,15,14,16,13,12
651,62,61,63,64,60,54,53,55,56,52
652,21,22,20,23,24,29,13,19,28,12
660,20,21,19,22,28,12,23,27,11,29
668,7,8,6,5,4,15,14,16,13,12
713,51,52,59,43,50,53,42,58,60,44
743,28,29,27,30,20,36,31,19,35,21
767,7,8,6,5,4,15,14,16,13,12
771,33,41,25,49,17,57,9,1,34,42
780,36,37,35,38,44,28,39,43,27,45
789,6,5,7,8,4,14,13,15,16,12
790,7,8,6,5,4,15,14,16,13,12
791,43,44,35,51,42,45,50,34,36,52
811,27,28,19,35,26,29,18,34,20,36
824,43,44,35,51,42,45,50,34,36,52
838,7,8,6,5,4,15,14,16,13,12
