,WNT8A,SOX3,FOXD5,TA,BAMBIA,SP5L,AXIN2,CHD,HER1,LHX1A
,LFT2,EVE1,CST3,GATA2A,NDR1,BMP7A,OTX1A,BMP4,VOX,SEBOX
14,8,7,6,5,16,15,14,4,13,12
15,41,49,33,57,25,17,9,1,42,34
21,43,44,35,51,42,45,50,34,36,52
39,42,50,34,43,41,51,35,49,33,58
42,25,33,17,9,41,49,1,57,26,18
57,11,12,3,19,10,13,18,2,4,20
62,1,9,17,25,33,41,49,57,2,10
66,44,45,43,46,36,52,47,35,51,37
68,20,21,19,22,28,12,23,27,11,29
99,20,21,19,22,28,12,23,27,11,29
109,28,29,27,30,20,36,31,19,35,21
129,6,5,7,8,4,14,13,15,16,12
140,41,49,33,57,25,17,9,1,42,34
142,41,49,33,57,25,17,9,1,42,34
147,43,44,35,51,42,45,50,34,36,52
171,25,33,17,9,41,49,1,57,26,18
175,1,9,17,25,33,41,49,57,2,10
188,43,44,35,51,42,45,50,34,36,52
189,51,52,59,43,50,53,42,58,60,44
192,6,5,7,8,4,14,13,15,16,12
228,44,45,43,46,36,52,47,35,51,37
237,6,5,7,8,4,14,13,15,16,12
243,21,22,20,23,24,29,13,19,28,12
249,27,28,19,35,26,29,18,34,20,36
250,7,8,6,5,4,15,14,16,13,12
253,1,9,17,25,33,41,49,57,2,10
256,54,53,55,56,52,62,46,61,45,63
281,25,33,17,9,41,49,1,57,26,18
300,51,52,59,43,50,53,42,58,60,44
307,45,46,44,47,48,37,53,43,36,52
311,1,9,17,25,33,41,49,57,2,10
312,8,7,6,5,16,15,14,4,13,12
324,25,33,17,9,41,49,1,57,26,18
332,28,29,27,30,20,36,31,19,35,21
353,6,5,7,8,4,14,13,15,16,12
355,6,5,7,8,4,14,13,15,16,12
364,51,52,59,43,50,53,42,58,60,44
379,8,7,6,5,16,15,14,4,13,12
387,45,46,44,47,48,37,53,43,36,52
428,37,38,36,39,40,45,29,35,44,28
431,38,37,39,40,36,30,46,29,45,31
436,6,5,7,8,4,14,13,15,16,12
439,41,49,33,57,25,17,9,1,42,34
448,6,5,7,8,4,14,13,15,16,12
457,37,38,36,39,40,45,29,35,44,28
487,27,28,19,35,26,29,18,34,20,36
492,11,12,3,19,10,13,18,2,4,20
502,35,36,43,27,34,37,26,42,44,28
503,28,29,27,30,20,36,31,19,35,21
512,1,9,17,25,33,41,49,57,2,10
517,51,52,59,43,50,53,42,58,60,44
542,6,5,7,8,4,14,13,15,16,12
557,43,44,35,51,42,45,50,34,36,52
567,29,30,28,31,32,21,37,27,20,36
568,5,6,4,7,8,13,3,12,14,15
581,8,7,6,5,16,15,14,4,13,12
585,7,8,6,5,4,15,14,16,13,12
589,51,52,59,43,50,53,42,58,60,44
597,20,21,19,22,28,12,23,27,11,29
606,51,52,59,43,50,53,42,58,60,44
609,28,29,27,30,20,36,31,19,35,21
611,6,5,7,8,4,14,13,15,16,12
634,45,46,44,47,48,37,53,43,36,52
655,64,63,62,61,56,55,54,60,53,52
670,36,37,35,38,44,28,39,43,27,45
674,8,7,6,5,16,15,14,4,13,12
676,8,7,6,5,16,15,14,4,13,12
678,8,7,6,5,16,15,14,4,13,12
688,21,22,20,23,24,29,13,19,28,12
714,43,44,35,51,42,45,50,34,36,52
725,43,44,35,51,42,45,50,34,36,52
728,5,6,4,7,8,13,3,12,14,15
729,43,44,35,51,42,45,50,34,36,52
731,20,21,19,22,28,12,23,27,11,29
763,29,30,28,31,32,21,37,27,20,36
774,46,45,47,48,44,38,54,37,53,39
778,8,7,6,5,16,15,14,4,13,12
783,20,21,19,22,28,12,23,27,11,29
796,46,45,47,48,44,38,54,37,53,39
800,29,30,28,31,32,21,37,27,20,36
802,7,8,6,5,4,15,14,16,13,12
815,7,8,6,5,4,15,14,16,13,12
819,8,7,6,5,16,15,14,4,13,12
821,7,8,6,5,4,15,14,16,13,12
833,5,6,4,7,8,13,3,12,14,15
