,TA,SOX3,WNT8A,BAMBIA,FOXD5,AXIN2,NDR1,OTX1A,CHD,BMP4
,HER1,EVE1,VOX,GATA2A,CST3,SP5L,LHX1A,HES6,VED,NOTO
1,7,8,6,5,4,15,14,16,13,12
9,25,33,17,9,41,49,1,57,26,18
24,59,60,51,58,61,50,52,62,53,42
25,51,52,59,43,50,53,42,58,60,44
28,6,5,7,8,4,14,13,15,16,12
55,43,44,35,51,42,45,50,34,36,52
58,35,36,43,27,34,37,26,42,44,28
69,35,36,43,27,34,37,26,42,44,28
83,41,49,33,57,25,17,9,1,42,34
87,61,62,60,63,64,53,59,52,54,55
92,27,28,19,35,26,29,18,34,20,36
94,7,8,6,5,4,15,14,16,13,12
104,27,28,19,35,26,29,18,34,20,36
106,21,22,20,23,24,29,13,19,28,12
110,43,44,35,51,42,45,50,34,36,52
113,43,44,35,51,42,45,50,34,36,52
149,1,9,17,25,33,41,49,57,2,10
152,7,8,6,5,4,15,14,16,13,12
157,1,9,17,25,33,41,49,57,2,10
161,33,41,25,49,17,57,9,1,34,42
187,27,28,19,35,26,29,18,34,20,36
217,41,49,33,57,25,17,9,1,42,34
255,35,36,43,27,34,37,26,42,44,28
261,7,8,6,5,4,15,14,16,13,12
269,33,41,25,49,17,57,9,1,34,42
283,27,28,19,35,26,29,18,34,20,36
298,43,44,35,51,42,45,50,34,36,52
305,33,41,25,49,17,57,9,1,34,42
306,20,21,19,22,28,12,23,27,11,29
336,59,60,51,58,61,50,52,62,53,42
340,50,42,58,51,49,43,59,41,57,34
352,7,8,6,5,4,15,14,16,13,12
358,6,5,7,8,4,14,13,15,16,12
375,34,26,42,35,33,43,27,41,25,50
390,7,8,6,5,4,15,14,16,13,12
396,33,41,25,49,17,57,9,1,34,42
397,42,50,34,43,41,51,35,49,33,58
401,43,44,35,51,42,45,50,34,36,52
419,43,44,35,51,42,45,50,34,36,52
424,6,5,7,8,4,14,13,15,16,12
429,1,9,17,25,33,41,49,57,2,10
450,11,12,3,19,10,13,18,2,4,20
454,7,8,6,5,4,15,14,16,13,12
467,33,41,25,49,17,57,9,1,34,42
474,38,37,39,40,36,30,46,29,45,31
478,25,33,17,9,41,49,1,57,26,18
483,41,49,33,57,25,17,9,1,42,34
488,25,33,17,9,41,49,1,57,26,18
493,7,8,6,5,4,15,14,16,13,12
528,43,44,35,51,42,45,50,34,36,52
534,7,8,6,5,4,15,14,16,13,12
552,4,5,3,6,12,7,11,13,14,8
560,33,41,25,49,17,57,9,1,34,42
562,6,5,7,8,4,14,13,15,16,12
563,6,5,7,8,4,14,13,15,16,12
586,27,28,19,35,26,29,18,34,20,36
598,43,44,35,51,42,45,50,34,36,52
599,20,21,19,22,28,12,23,27,11,29
600,20,21,19,22,28,12,23,27,11,29
604,27,28,19,35,26,29,18,34,20,36
607,4,5,3,6,12,7,11,13,14,8
621,4,5,3,6,12,7,11,13,14,8
663,7,8,6,5,4,15,14,16,13,12
665,7,8,6,5,4,15,14,16,13,12
673,7,8,6,5,4,15,14,16,13,12
680,63,64,62,61,60,55,54,56,53,52
694,7,8,6,5,4,15,14,16,13,12
707,20,21,19,22,28,12,23,27,11,29
712,7,8,6,5,4,15,14,16,13,12
723,20,21,19,22,28,12,23,27,11,29
754,6,5,7,8,4,14,13,15,16,12
760,6,5,7,8,4,14,13,15,16,12
766,61,62,60,63,64,53,59,52,54,55
795,45,46,44,47,48,37,53,43,36,52
797,4,5,3,6,12,7,11,13,14,8
799,33,41,25,49,17,57,9,1,34,42
801,5,6,4,7,8,13,3,12,14,15
809,7,8,6,5,4,15,14,16,13,12
813,43,44,35,51,42,45,50,34,36,52
834,63,64,62,61,60,55,54,56,53,52
837,43,44,35,51,42,45,50,34,36,52
845,6,5,7,8,4,14,13,15,16,12
846,20,21,19,22,28,12,23,27,11,29
851,20,21,19,22,28,12,23,27,11,29
