,WNT8A,SOX3,FOXD5,BAMBIA,TA,AXIN2,SP5L,CHD,LHX1A,VENT
,OTX1A,EVE1,HER1,VOX,CST3,FOXI1,GATA5,BMP4,LFT2,FOXB1A
11,51,52,59,43,50,53,42,58,60,44
17,6,5,7,8,4,14,13,15,16,12
19,1,9,17,25,33,41,49,57,2,10
22,20,21,19,22,28,12,23,27,11,29
27,6,5,7,8,4,14,13,15,16,12
29,33,41,25,49,17,57,9,1,34,42
46,43,44,35,51,42,45,50,34,36,52
52,51,52,59,43,50,53,42,58,60,44
59,6,5,7,8,4,14,13,15,16,12
60,1,9,17,25,33,41,49,57,2,10
65,34,26,42,35,33,43,27,41,25,50
71,6,5,7,8,4,14,13,15,16,12
93,43,44,35,51,42,45,50,34,36,52
96,7,8,6,5,4,15,14,16,13,12
100,42,50,34,43,41,51,35,49,33,58
116,6,5,7,8,4,14,13,15,16,12
134,35,36,43,27,34,37,26,42,44,28
135,6,5,7,8,4,14,13,15,16,12
148,6,5,7,8,4,14,13,15,16,12
151,46,45,47,48,44,38,54,37,53,39
176,11,12,3,19,10,13,18,2,4,20
177,38,37,39,40,36,30,46,29,45,31
191,5,6,4,7,8,13,3,12,14,15
193,56,55,54,53,64,48,47,63,46,62
195,43,44,35,51,42,45,50,34,36,52
221,7,8,6,5,4,15,14,16,13,12
223,1,9,17,25,33,41,49,57,2,10
231,51,52,59,43,50,53,42,58,60,44
234,37,38,36,39,40,45,29,35,44,28
238,6,5,7,8,4,14,13,15,16,12
264,35,36,43,27,34,37,26,42,44,28
272,6,5,7,8,4,14,13,15,16,12
278,11,12,3,19,10,13,18,2,4,20
287,36,37,35,38,44,28,39,43,27,45
292,41,49,33,57,25,17,9,1,42,34
317,8,7,6,5,16,15,14,4,13,12
330,36,37,35,38,44,28,39,43,27,45
335,46,45,47,48,44,38,54,37,53,39
343,51,52,59,43,50,53,42,58,60,44
348,43,44,35,51,42,45,50,34,36,52
349,35,36,43,27,34,37,26,42,44,28
380,11,12,3,19,10,13,18,2,4,20
399,34,26,42,35,33,43,27,41,25,50
408,42,50,34,43,41,51,35,49,33,58
434,35,36,43,27,34,37,26,42,44,28
468,11,12,3,19,10,13,18,2,4,20
473,33,41,25,49,17,57,9,1,34,42
491,5,6,4,7,8,13,3,12,14,15
499,6,5,7,8,4,14,13,15,16,12
525,38,37,39,40,36,30,46,29,45,31
530,8,7,6,5,16,15,14,4,13,12
532,4,5,3,6,12,7,11,13,14,8
535,7,8,6,5,4,15,14,16,13,12
539,11,12,3,19,10,13,18,2,4,20
550,7,8,6,5,4,15,14,16,13,12
564,7,8,6,5,4,15,14,16,13,12
575,1,9,17,25,33,41,49,57,2,10
588,8,7,6,5,16,15,14,4,13,12
591,8,7,6,5,16,15,14,4,13,12
635,44,45,43,46,36,52,47,35,51,37
636,38,37,39,40,36,30,46,29,45,31
645,8,7,6,5,16,15,14,4,13,12
671,7,8,6,5,4,15,14,16,13,12
672,11,12,3,19,10,13,18,2,4,20
685,11,12,3,19,10,13,18,2,4,20
696,44,45,43,46,36,52,47,35,51,37
708,8,7,6,5,16,15,14,4,13,12
720,51,52,59,43,50,53,42,58,60,44
721,11,12,3,19,10,13,18,2,4,20
737,43,44,35,51,42,45,50,34,36,52
738,5,6,4,7,8,13,3,12,14,15
747,64,63,62,61,56,55,54,60,53,52
768,8,7,6,5,16,15,14,4,13,12
777,8,7,6,5,16,15,14,4,13,12
785,4,5,3,6,12,7,11,13,14,8
803,51,52,59,43,50,53,42,58,60,44
804,5,6,4,7,8,13,3,12,14,15
806,56,55,54,53,64,48,47,63,46,62
807,5,6,4,7,8,13,3,12,14,15
808,37,38,36,39,40,45,29,35,44,28
817,61,62,60,63,64,53,59,52,54,55
826,6,5,7,8,4,14,13,15,16,12
836,8,7,6,5,16,15,14,4,13,12
840,5,6,4,7,8,13,3,12,14,15
844,11,12,3,19,10,13,18,2,4,20
847,8,7,6,5,16,15,14,4,13,12
