,TA,SOX3,WNT8A,BAMBIA,FOXD5,AXIN2,OTX1A,HER1,CHD,EVE1
,GATA2A,LHX1A,BMP4,SP5L,CST3,VOX,HES6,GATA5,BMP7A,LFT2
,FOXI1,NDR2,NOTO,SEBOX,OTX1B,NDR1,GSC,SZL,FOXB1A,TBX16
,SNAI1A,FGF8A,ADMP,OSR1,MIXL1,VENT,CDX4,ID3,WNT11,TPH1B
10,43,44,35,51,42,45,50,34,36,52
30,19,20,27,11,18,21,10,26,28,12
37,43,44,35,51,42,45,50,34,36,52
40,37,38,36,39,40,45,29,35,44,28
41,30,29,31,32,28,38,22,21,37,39
47,22,21,23,24,20,30,14,29,13,31
50,48,47,46,45,40,56,39,55,38,54
79,21,22,20,23,24,29,13,19,28,12
97,25,33,17,9,41,49,1,57,26,18
123,36,37,35,38,44,28,39,43,27,45
137,45,46,44,47,48,37,53,43,36,52
156,43,44,35,51,42,45,50,34,36,52
160,53,54,52,55,56,61,45,51,60,44
167,21,22,20,23,24,29,13,19,28,12
173,7,8,6,5,4,15,14,16,13,12
183,7,8,6,5,4,15,14,16,13,12
184,41,49,33,57,25,17,9,1,42,34
199,47,48,46,45,44,39,55,54,38,56
202,43,44,35,51,42,45,50,34,36,52
203,7,8,6,5,4,15,14,16,13,12
210,28,29,27,30,20,36,31,19,35,21
225,36,37,35,38,44,28,39,43,27,45
229,11,12,3,19,10,13,18,2,4,20
230,20,21,19,22,28,12,23,27,11,29
233,22,21,23,24,20,30,14,29,13,31
248,30,29,31,32,28,38,22,21,37,39
262,20,21,19,22,28,12,23,27,11,29
263,38,37,39,40,36,30,46,29,45,31
271,41,49,33,57,25,17,9,1,42,34
289,27,28,19,35,26,29,18,34,20,36
308,46,45,47,48,44,38,54,37,53,39
320,28,29,27,30,20,36,31,19,35,21
321,36,37,35,38,44,28,39,43,27,45
326,37,38,36,39,40,45,29,35,44,28
334,8,7,6,5,16,15,14,4,13,12
347,43,44,35,51,42,45,50,34,36,52
361,8,7,6,5,16,15,14,4,13,12
388,28,29,27,30,20,36,31,19,35,21
406,42,50,34,43,41,51,35,49,33,58
410,36,37,35,38,44,28,39,43,27,45
417,51,52,59,43,50,53,42,58,60,44
422,46,45,47,48,44,38,54,37,53,39
444,7,8,6,5,4,15,14,16,13,12
445,19,20,27,11,18,21,10,26,28,12
446,8,7,6,5,16,15,14,4,13,12
458,51,52,59,43,50,53,42,58,60,44
460,43,44,35,51,42,45,50,34,36,52
469,37,38,36,39,40,45,29,35,44,28
498,35,36,43,27,34,37,26,42,44,28
501,35,36,43,27,34,37,26,42,44,28
508,41,49,33,57,25,17,9,1,42,34
515,27,28,19,35,26,29,18,34,20,36
520,17,9,25,1,33,41,49,57,18,10
522,25,33,17,9,41,49,1,57,26,18
538,7,8,6,5,4,15,14,16,13,12
540,51,52,59,43,50,53,42,58,60,44
555,8,7,6,5,16,15,14,4,13,12
556,20,21,19,22,28,12,23,27,11,29
576,28,29,27,30,20,36,31,19,35,21
605,8,7,6,5,16,15,14,4,13,12
616,8,7,6,5,16,15,14,4,13,12
619,45,46,44,47,48,37,53,43,36,52
622,8,7,6,5,16,15,14,4,13,12
626,7,8,6,5,4,15,14,16,13,12
639,33,41,25,49,17,57,9,1,34,42
657,51,52,59,43,50,53,42,58,60,44
658,53,54,52,55,56,61,45,51,60,44
662,51,52,59,43,50,53,42,58,60,44
666,28,29,27,30,20,36,31,19,35,21
686,8,7,6,5,16,15,14,4,13,12
699,8,7,6,5,16,15,14,4,13,12
706,64,63,62,61,56,55,54,60,53,52
711,8,7,6,5,16,15,14,4,13,12
717,33,41,25,49,17,57,9,1,34,42
762,45,46,44,47,48,37,53,43,36,52
773,7,8,6,5,4,15,14,16,13,12
775,8,7,6,5,16,15,14,4,13,12
776,29,30,28,31,32,21,37,27,20,36
786,21,22,20,23,24,29,13,19,28,12
787,28,29,27,30,20,36,31,19,35,21
792,45,46,44,47,48,37,53,43,36,52
794,33,41,25,49,17,57,9,1,34,42
810,7,8,6,5,4,15,14,16,13,12
816,4,5,3,6,12,7,11,13,14,8
825,8,7,6,5,16,15,14,4,13,12
830,5,6,4,7,8,13,3,12,14,15
