,TA,SOX3,CST3,BAMBIA,FOXD5,NDR1,AXIN2,EVE1,CHD,GATA2A
,HER1,SP5L,WNT8A,VENT,BMP4,VOX,OTX1A,HES6,LFT2,GATA5
,FOXB1A,SEBOX,SZL,NOTO,OTX1B,LHX1A,MIXL1,BMP7A,WNT11,ADMP
,FOXI1,GSC,OSR1,NDR2,SNAI1A,CDX4,NOG1,TPH1B,FGF8A,FOXD3
6,8,7,6,5,16,15,14,4,13,12
13,6,5,7,8,4,14,13,15,16,12
18,35,36,43,27,34,37,26,42,44,28
61,8,7,6,5,16,15,14,4,13,12
70,36,37,35,38,44,28,39,43,27,45
80,7,8,6,5,4,15,14,16,13,12
81,64,63,62,61,56,55,54,60,53,52
144,36,37,35,38,44,28,39,43,27,45
154,42,50,34,43,41,51,35,49,33,58
169,17,9,25,1,33,41,49,57,18,10
178,61,62,60,63,64,53,59,52,54,55
185,19,20,27,11,18,21,10,26,28,12
186,27,28,19,35,26,29,18,34,20,36
190,22,21,23,24,20,30,14,29,13,31
196,7,8,6,5,4,15,14,16,13,12
207,20,21,19,22,28,12,23,27,11,29
212,19,20,27,11,18,21,10,26,28,12
220,36,37,35,38,44,28,39,43,27,45
240,36,37,35,38,44,28,39,43,27,45
241,8,7,6,5,16,15,14,4,13,12
244,36,37,35,38,44,28,39,43,27,45
266,19,20,27,11,18,21,10,26,28,12
273,17,9,25,1,33,41,49,57,18,10
274,17,9,25,1,33,41,49,57,18,10
285,35,36,43,27,34,37,26,42,44,28
299,36,37,35,38,44,28,39,43,27,45
303,35,36,43,27,34,37,26,42,44,28
304,59,60,51,58,61,50,52,62,53,42
309,30,29,31,32,28,38,22,21,37,39
314,28,29,27,30,20,36,31,19,35,21
316,8,7,6,5,16,15,14,4,13,12
323,27,28,19,35,26,29,18,34,20,36
339,19,20,27,11,18,21,10,26,28,12
351,41,49,33,57,25,17,9,1,42,34
357,41,49,33,57,25,17,9,1,42,34
359,36,37,35,38,44,28,39,43,27,45
362,7,8,6,5,4,15,14,16,13,12
365,51,52,59,43,50,53,42,58,60,44
370,35,36,43,27,34,37,26,42,44,28
382,36,37,35,38,44,28,39,43,27,45
393,36,37,35,38,44,28,39,43,27,45
404,30,29,31,32,28,38,22,21,37,39
455,25,33,17,9,41,49,1,57,26,18
466,53,54,52,55,56,61,45,51,60,44
472,38,37,39,40,36,30,46,29,45,31
479,17,9,25,1,33,41,49,57,18,10
485,64,63,62,61,56,55,54,60,53,52
500,35,36,43,27,34,37,26,42,44,28
511,48,47,46,45,40,56,39,55,38,54
516,51,52,59,43,50,53,42,58,60,44
521,19,20,27,11,18,21,10,26,28,12
523,53,54,52,55,56,61,45,51,60,44
527,20,21,19,22,28,12,23,27,11,29
536,46,45,47,48,44,38,54,37,53,39
537,7,8,6,5,4,15,14,16,13,12
558,27,28,19,35,26,29,18,34,20,36
566,7,8,6,5,4,15,14,16,13,12
583,7,8,6,5,4,15,14,16,13,12
596,43,44,35,51,42,45,50,34,36,52
608,11,12,3,19,10,13,18,2,4,20
613,4,5,3,6,12,7,11,13,14,8
631,22,21,23,24,20,30,14,29,13,31
647,8,7,6,5,16,15,14,4,13,12
654,43,44,35,51,42,45,50,34,36,52
682,51,52,59,43,50,53,42,58,60,44
687,7,8,6,5,4,15,14,16,13,12
690,8,7,6,5,16,15,14,4,13,12
705,59,60,51,58,61,50,52,62,53,42
718,21,22,20,23,24,29,13,19,28,12
735,11,12,3,19,10,13,18,2,4,20
740,8,7,6,5,16,15,14,4,13,12
745,21,22,20,23,24,29,13,19,28,12
752,11,12,3,19,10,13,18,2,4,20
753,43,44,35,51,42,45,50,34,36,52
755,31,32,30,29,28,23,39,22,38,24
757,49,41,57,33,25,17,9,1,50,42
758,33,41,25,49,17,57,9,1,34,42
759,31,32,30,29,28,23,39,22,38,24
782,8,7,6,5,16,15,14,4,13,12
788,6,5,7,8,4,14,13,15,16,12
798,8,7,6,5,16,15,14,4,13,12
805,31,32,30,29,28,23,39,22,38,24
812,31,32,30,29,28,23,39,22,38,24
828,33,41,25,49,17,57,9,1,34,42
841,8,7,6,5,16,15,14,4,13,12
