0,WNT8A,FGF8A,SOX3,GATA2A,CDX4,NDR2,BAMBIA,HER1,LFT1,ADMP
0,LHX1A,OSR1,GATA5,VOX,FOXI1,NDR1,BMP2B,FOXD3,VED,SEBOX
2,9,17,1,10,18,2,25,33,41,49
8,10,18,2,9,17,1,11,25,26,33
31,41,1,42,34,33,49,25,57,17,9
32,1,25,17,33,9,41,49,57,26,18
43,42,34,41,43,50,33,49,26,58,25
48,34,27,35,42,28,26,18,19,10,25
74,20,21,12,13,19,11,22,14,23,15
76,41,1,34,33,25,17,49,9,57,26
78,7,8,6,15,16,5,4,14,13,12
88,41,1,25,17,33,9,49,57,26,18
98,35,27,36,43,28,42,44,34,26,37
112,34,41,33,49,25,57,17,42,9,50
117,43,42,44,35,51,50,52,59,58,53
118,29,28,21,30,31,32,22,20,23,27
124,1,34,33,41,25,49,17,57,9,42
127,34,27,18,26,10,17,25,9,33,19
150,41,34,42,33,25,49,17,26,57,9
153,52,42,43,53,51,59,50,58,60,61
181,8,7,16,15,6,5,4,14,13,12
198,28,29,20,21,30,27,31,22,19,23
208,29,28,21,30,31,32,22,23,24,20
215,51,59,52,43,60,53,61,50,58,54
218,42,34,43,41,35,50,51,58,49,33
224,34,42,41,35,43,26,50,33,25,49
276,21,20,22,12,13,23,19,14,24,11
280,42,43,51,50,58,59,52,60,53,49
290,20,27,28,19,11,18,21,12,26,10
296,42,43,50,58,51,59,52,60,49,57
313,10,2,18,11,3,9,1,17,19,25
327,34,27,26,18,19,10,25,17,33,9
328,9,1,33,25,41,17,49,57,34,26
354,28,27,35,36,20,29,19,30,37,21
369,2,3,4,1,10,11,18,12,19,9
374,41,42,49,57,33,25,17,9,1,50
378,41,42,43,28,35,36,44,60,59,61
381,59,60,51,50,52,42,58,61,53,62
386,59,60,51,52,53,58,61,50,62,63
416,43,42,44,34,35,51,50,52,58,59
423,20,21,12,11,19,13,14,22,10,3
425,60,53,52,59,61,62,63,54,64,55
437,27,20,28,34,35,19,18,26,10,11
440,9,1,41,33,49,25,57,17,42,34
442,41,42,49,57,33,25,50,17,58,9
443,42,41,34,50,49,57,33,58,25,17
453,34,10,9,26,18,27,19,25,17,33
470,8,7,16,15,6,5,4,14,13,12
494,41,42,49,57,33,50,58,25,17,9
507,52,43,42,59,51,58,50,60,61,53
509,41,42,34,49,57,33,50,25,58,17
514,36,35,44,43,34,27,37,45,38,46
524,43,44,35,42,36,51,45,52,46,50
526,41,34,42,33,25,49,17,57,9,1
544,5,13,7,6,8,14,15,4,16,12
559,59,51,52,43,60,58,50,61,53,62
565,41,1,34,25,33,17,9,49,57,26
570,41,17,9,25,1,33,18,10,26,49
571,15,7,16,8,14,13,6,5,12,4
573,29,28,37,36,35,30,38,31,39,27
574,35,28,36,42,43,27,26,34,18,19
577,20,27,2,19,18,10,11,26,12,3
578,43,42,35,34,36,27,50,44,26,51
582,13,5,11,12,3,4,14,10,19,2
595,7,8,15,16,6,5,14,4,13,12
620,1,41,17,25,9,33,49,57,18,26
624,41,42,49,57,33,25,50,17,58,9
625,9,1,33,41,25,49,17,57,34,42
629,21,22,20,13,23,14,12,15,24,16
637,35,36,43,34,27,42,28,44,37,26
643,35,36,27,28,34,43,37,26,29,44
644,32,40,39,24,31,30,38,29,37,28
651,53,60,61,52,62,59,54,63,51,55
652,27,20,28,34,19,18,26,11,10,21
660,28,27,20,36,35,29,30,19,31,21
668,7,8,15,16,6,14,5,13,4,12
713,42,41,34,50,58,51,49,57,59,33
743,28,27,20,21,36,29,30,31,37,22
767,15,16,12,13,14,4,11,5,6,3
771,42,34,41,43,50,33,49,26,58,25
780,34,42,35,43,27,36,41,26,50,33
789,20,27,28,19,21,12,11,22,13,14
790,7,8,6,15,16,5,4,14,13,12
791,42,41,43,50,58,51,49,57,34,33
811,42,34,43,41,35,50,33,26,49,25
824,52,59,51,60,61,53,62,54,63,55
838,22,21,14,30,29,23,24,20,13,15
