0,WNT8A,SOX3,CDX4,BAMBIA,LFT1,FOXB1A,OTX1A,EVE1,TA,SP5L
0,LHX1A,GATA5,FOXI1,BMP2B,VED,FOXD5,LFT2,BMP7A,CST3,ID3
0,FGF8A,GATA2A,NDR2,HER1,ADMP,SNAI1A,SZL,APLNRB,WNT11,CHD
0,OSR1,VOX,NDR1,FOXD3,SEBOX,AXIN2,MIXL1,OTX1B,VENT,BMP4
14,31,32,23,29,30,28,21,22,20,27
15,42,57,49,41,43,58,50,59,51,60
21,41,33,25,17,42,49,57,9,1,50
39,50,43,58,42,51,52,59,60,53,44
42,17,9,1,18,10,25,33,41,49,57
57,19,18,27,20,12,28,10,11,26,2
62,41,17,1,33,25,49,9,57,34,26
66,35,44,42,50,43,51,34,58,52,59
68,20,19,28,21,22,23,12,13,29,11
99,12,20,19,13,21,14,11,22,15,23
109,25,17,18,41,34,33,9,26,1,10
129,18,3,17,10,2,11,19,9,26,1
140,52,53,60,54,61,51,62,55,59,63
142,33,25,41,17,34,26,42,49,9,57
147,51,59,42,52,60,43,50,58,49,57
171,33,17,41,34,1,25,9,49,26,57
175,35,36,43,27,28,34,42,26,44,37
188,35,43,36,41,28,42,44,52,51,60
189,51,52,59,43,60,53,50,58,61,54
192,19,27,20,12,18,10,11,26,2,34
228,42,34,50,58,51,43,49,59,41,57
237,35,34,43,27,36,28,42,26,50,44
243,5,4,13,12,6,7,14,8,15,16
249,42,43,51,50,59,58,52,60,53,44
250,7,8,15,16,6,5,14,4,13,12
253,35,36,27,43,28,44,42,34,37,26
256,58,50,59,51,42,43,57,49,60,52
281,41,33,25,42,49,57,17,9,1,50
300,60,59,52,51,61,62,53,63,58,54
307,30,29,28,37,36,31,32,38,39,40
311,17,25,9,1,18,26,33,41,49,57
312,15,16,23,24,14,13,22,12,21,20
324,17,18,25,33,26,34,41,9,49,42
332,21,20,13,12,22,23,14,24,15,19
353,21,29,22,20,30,28,23,31,24,32
355,26,34,25,17,33,41,18,9,10,1
364,49,57,33,50,42,58,34,41,25,17
379,32,31,40,39,30,38,29,37,28,36
387,25,17,50,42,49,41,57,33,58,34
428,19,20,27,28,18,11,21,26,29,12
431,27,35,28,34,36,19,26,18,29,37
436,42,43,34,35,44,50,51,58,26,52
439,43,35,36,44,42,51,34,45,50,52
448,21,20,12,14,22,23,13,19,24,15
457,41,33,42,34,49,25,57,17,9,1
487,28,36,27,29,35,37,30,38,31,39
492,36,35,28,27,43,44,37,38,29,34
502,25,33,9,1,26,34,17,41,49,57
503,12,20,21,3,4,11,13,19,14,10
512,1,9,17,25,2,10,33,41,49,57
517,52,61,60,62,63,59,53,64,54,51
542,21,22,20,29,28,23,24,30,19,31
557,50,42,43,34,44,35,51,58,52,59
567,20,29,30,28,31,21,22,32,23,24
568,12,21,13,14,20,19,11,22,23,15
581,7,8,15,16,6,5,14,4,13,12
585,7,8,15,16,6,5,14,4,13,12
589,41,17,34,33,42,25,26,49,57,9
597,2,10,3,18,1,9,11,17,25,33
606,42,41,34,50,49,33,57,25,58,17
609,17,25,9,1,18,26,33,41,49,57
611,35,36,27,28,34,43,42,26,44,37
634,44,43,35,36,42,45,46,37,51,52
655,63,64,62,61,55,56,54,60,53,52
670,18,17,34,33,41,26,25,9,10,1
674,7,8,15,16,6,5,14,13,4,12
676,7,8,15,16,6,5,4,14,13,12
678,30,35,28,27,19,29,20,21,26,36
688,22,21,29,30,28,23,20,24,31,32
714,52,43,44,51,59,60,50,53,58,61
725,42,43,44,51,50,59,58,52,60,53
728,21,20,28,29,19,30,27,22,23,24
729,41,17,34,33,25,26,42,49,9,18
731,3,4,11,12,2,10,5,6,13,14
763,18,28,35,34,27,19,26,20,29,10
774,52,53,50,43,58,51,59,60,61,54
778,11,12,19,3,13,4,10,20,18,2
783,27,18,19,35,28,26,34,10,42,25
796,44,45,36,37,43,35,46,38,47,39
800,42,43,51,59,50,58,52,60,53,61
802,15,16,21,22,7,14,13,12,5,6
815,7,5,13,15,6,8,4,14,16,12
819,7,8,15,16,6,5,4,14,13,12
821,21,22,13,14,23,15,20,12,24,16
833,27,28,19,36,20,26,35,34,18,29
