1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,CST3,EVE1,FOXI1,GATA5
2,HES6,NDR1,NOTO,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
zf2_dis_S214_umi,20,28,27,29,44,41,19,36,21,43
zf1_p8_S58_umi,27,35,19,20,28,36,33,41,11,29
zf1_p8_S80_umi,6,14,45,22,30,44,52,5,13,38
zf1_p5_S54_umi,17,18,25,26,27,33,1,2,9,10
zf1_p8_S61_umi,7,8,15,16,23,24,31,32,21,29
zf1_p8_S43_umi,22,30,41,27,21,6,7,8,14,15
zf1_p8_S84_umi,42,41,50,58,1,2,9,10,49,57
zf1_p5_S78_umi,27,19,20,28,17,18,25,26,35,11
zf2_dis_S1330_umi,20,28,36,44,4,12,41,43,27,35
zf1_p5_S92_umi,22,30,42,38,41,45,21,46,50,58
zf2_dis_S1183_umi,1,2,9,10,3,17,18,25,26,41
zf1_p7_S27_umi,4,12,3,11,1,2,9,10,19,20
zf1_p6_S38_umi,7,8,15,16,23,24,31,32,22,30
zf1_p5_S31_umi,5,13,21,29,37,6,14,20,28,36
zf1_p6_S19_umi,42,41,44,52,36,50,58,43,34,35
zf1_p8_S19_umi,1,2,9,10,3,17,18,25,26,4
zf1_p7_S67_umi,39,40,21,47,48,7,8,15,16,23
zf1_p8_S36_umi,1,2,3,4,5,6,7,8,9,10
zf1_p6_S21_umi,27,35,19,20,28,36,43,17,18,25
zf2_dis_S1211_umi,41,5,13,42,49,57,33,1,2,9
zf2_dis_S1322_umi,17,18,25,26,27,1,2,9,10,19
zf2_dis_S1224_umi,6,14,22,30,5,13,41,21,7,8
zf1_p7_S44_umi,4,5,12,13,3,21,11,29,37,1
zf2_dis_S1206_umi,27,35,43,19,20,28,36,42,3,21
zf1_p8_S47_umi,21,27,29,5,13,19,20,28,3,22
zf1_p6_S59_umi,43,27,35,42,44,41,51,19,20,28
zf2_dis_S1208_umi,33,20,28,36,41,29,37,17,18,25
zf2_dis_S1225_umi,43,42,59,19,41,51,17,18,25,26
zf1_p8_S2_umi,27,19,20,28,17,18,25,26,35,11
zf2_dis_S1262_umi,41,3,43,27,35,4,5,11,12,13
zf1_p6_S64_umi,21,22,30,29,5,13,20,28,6,7
zf2_dis_S1185_umi,42,41,43,50,58,34,35,53,59,49
zf1_p5_S36_umi,35,43,60,36,42,59,27,34,54,41
zf1_p7_S87_umi,53,45,61,44,52,21,43,60,29,37
zf1_p8_S5_umi,7,8,15,16,23,24,31,32,22,30
zf1_p6_S71_umi,7,8,15,16,23,24,31,32,21,29
zf2_dis_S1250_umi,41,43,27,35,42,59,19,20,28,36
zf1_p6_S90_umi,17,18,25,26,41,33,1,2,9,10
zf1_p5_S45_umi,5,13,21,6,7,8,14,15,16,23
zf2_dis_S1344_umi,44,22,30,43,38,20,28,36,42,6
zf1_p7_S50_umi,22,30,20,28,6,7,8,14,15,16
zf1_p5_S39_umi,34,35,42,41,33,36,50,58,43,60
zf2_dis_S1160_umi,1,2,9,10,42,17,18,25,26,27
zf2_dis_S235_umi,19,17,18,25,26,27,33,11,29,1
zf1_p6_S84_umi,3,11,1,2,9,10,19,17,18,25
zf2_dis_S1297_umi,17,18,25,26,27,34,35,42,33,1
zf1_p7_S74_umi,41,21,43,22,30,39,40,27,35,45
zf2_dis_S1276_umi,41,27,35,43,19,20,28,36,33,44
zf2_dis_S1288_umi,41,43,27,35,39,40,42,47,48,19
zf2_dis_S1259_umi,41,21,17,18,25,26,27,5,13,29
