1,ADMP,APLNRB,BAMBIA,BMP2B,BMP4,BMP7A,CHD,CST3,EVE1,FOXD5
2,FOXI1,GATA5,HES6,SOX3,SP5L,SZL,TA,TBX16,VOX,WNT11
zf1_p5_S69_umi,29,21,20,27,28,5,13,19,45,37
zf1_p5_S58_umi,41,1,2,9,10,5,13,11,29,17
zf1_p6_S14_umi,21,43,41,49,57,20,27,28,35,5
zf2_dis_S1202_umi,21,29,45,53,7,8,15,16,22,23
zf1_p5_S10_umi,7,8,15,16,22,23,24,30,31,32
zf1_p7_S23_umi,21,7,8,15,16,22,23,24,30,31
zf2_dis_S285_umi,41,21,7,8,15,16,22,23,24,30
zf1_p8_S37_umi,21,41,5,13,29,17,18,20,25,26
zf2_dis_S1291_umi,3,4,12,11,33,5,13,1,2,9
zf2_dis_S1166_umi,20,27,28,29,44,41,49,57,19,36
zf2_dis_S296_umi,36,44,43,20,27,28,35,37,41,49
zf1_p8_S88_umi,44,36,45,21,37,43,41,49,57,20
zf2_dis_S1167_umi,36,37,41,33,17,18,20,25,26,27
zf1_p7_S15_umi,21,41,49,57,7,8,15,16,22,23
zf1_p7_S42_umi,6,14,7,8,15,16,22,23,24,30
zf1_p8_S66_umi,21,29,7,8,15,16,22,23,24,30
zf2_dis_S1378_umi,41,17,18,20,25,26,27,28,33,1
zf2_dis_S318_umi,7,8,15,16,22,23,24,30,31,32
zf1_p7_S34_umi,39,40,7,8,15,16,22,23,24,30
zf2_dis_S1329_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S311_umi,43,35,41,49,57,37,42,51,52,59
zf1_p6_S51_umi,37,38,39,40,36,45,53,35,61,46
zf2_dis_S1234_umi,20,27,28,11,1,2,9,10,19,3
zf2_dis_S1195_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1258_umi,21,7,8,15,16,22,23,24,30,31
zf2_dis_S232_umi,47,48,7,8,15,16,22,23,24,30
zf2_dis_S1157_umi,20,27,28,41,19,11,29,17,18,25
zf2_dis_S217_umi,6,14,7,8,15,16,22,23,24,30
zf2_dis_S1283_umi,33,41,38,39,40,47,48,29,17,18
zf1_p5_S81_umi,20,27,28,29,19,21,41,17,18,25
zf2_dis_S238_umi,37,35,38,39,40,29,47,48,7,8
zf2_dis_S1155_umi,44,43,60,36,45,53,42,51,52,59
zf1_p5_S50_umi,33,19,17,18,20,25,26,27,28,34
zf2_dis_S287_umi,21,29,5,13,20,27,28,37,19,36
zf1_p5_S18_umi,7,8,15,16,22,23,24,30,31,32
zf1_p7_S45_umi,41,49,57,42,53,50,58,34,35,61
zf2_dis_S298_umi,41,49,57,39,40,53,61,54,55,56
zf2_dis_S252_umi,19,3,4,12,21,17,18,20,25,26
zf2_dis_S341_umi,44,36,43,60,35,42,51,52,59,50
zf1_p5_S64_umi,21,29,45,53,7,8,15,16,22,23
zf1_p6_S73_umi,36,20,27,28,35,44,37,19,33,43
zf2_dis_S247_umi,21,41,49,57,43,7,8,15,16,22
zf1_p6_S92_umi,21,41,49,57,29,7,8,15,16,22
zf2_dis_S1220_umi,19,17,18,20,25,26,27,28,11,29
zf2_dis_S1334_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S302_umi,20,27,28,19,36,44,11,29,43,17
zf1_p7_S26_umi,35,36,43,37,34,42,51,52,59,38
zf2_dis_S208_umi,39,40,7,8,15,16,22,23,24,30
zf1_p6_S9_umi,45,53,21,37,61,29,44,5,13,41
zf1_p7_S58_umi,3,4,12,44,43,11,42,51,52,59
zf2_dis_S1306_umi,20,27,28,19,36,44,41,11,3,4
zf1_p7_S51_umi,20,27,28,19,17,18,25,26,11,29
zf2_dis_S1257_umi,17,18,25,26,1,2,9,10,19,33
zf2_dis_S1295_umi,20,27,28,29,19,36,21,37,17,18
zf3_dis_S1620_umi,5,13,21,6,14,29,7,8,15,16
zf3_dis_S1744_umi,43,35,42,51,52,59,44,50,58,36
zf3_dis_S1549_umi,45,53,15,16,22,23,24,30,31,32
zf3_dis_S1686_umi,43,60,53,42,51,52,59,35,61,50
zf3_dis_S1639_umi,20,27,28,44,19,36,53,3,4,12
zf3_dis_S1788_umi,45,7,8,15,16,22,23,24,30,31
zf3_dis_S1546_umi,5,13,3,4,12,21,6,14,11,29
zf3_dis_S1756_umi,45,37,44,43,60,36,53,42,51,52
zf3_dis_S1659_umi,53,61,43,60,54,55,56,62,63,64
zf3_dis_S1637_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1561_umi,19,33,41,17,18,20,25,26,27,28
zf3_dis_S1713_umi,17,18,20,25,26,27,28,21,41,49
zf3_dis_S1716_umi,43,53,42,51,52,59,35,61,50,58
zf3_dis_S1761_umi,41,29,20,27,28,35,21,37,33,43
zf3_dis_S1512_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S343_umi,17,18,25,26,41,29,7,8,15,16
zf3_dis_S1606_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1676_umi,53,35,61,54,55,56,62,63,64,43
zf3_dis_S1739_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1768_umi,33,17,18,25,26,34,41,49,57,37
zf3_dis_S1593_umi,53,61,44,43,60,36,45,42,51,52
zf3_dis_S1578_umi,45,53,61,44,43,60,21,37,42,51
zf3_dis_S1626_umi,6,14,5,13,21,7,8,15,16,22
zf3_dis_S1522_umi,53,43,60,41,20,27,28,35,61,29
zf3_dis_S1483_umi,20,27,28,21,29,7,8,15,16,22
zf3_dis_S1634_umi,20,27,28,19,11,17,18,25,26,3
zf3_dis_S1670_umi,21,37,29,36,45,53,20,27,28,35
zf3_dis_S1565_umi,21,5,13,29,45,37,41,20,27,28
zf3_dis_S1714_umi,5,13,3,4,12,21,37,11,29,1
zf3_dis_S1584_umi,3,4,12,11,5,13,1,2,9,10
zf3_dis_S1674_umi,39,40,7,8,15,16,22,23,24,30
zf3_dis_S1573_umi,6,14,5,13,21,7,8,15,16,22
