1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,BMP7A,CHD,EVE1,FOXB1A,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
zf2_dis_S306_umi,35,43,42,34,36,53,41,51,59,60
zf1_p6_S55_umi,21,7,8,15,16,22,23,24,30,31
zf2_dis_S301_umi,27,19,20,11,17,18,25,26,28,36
zf1_p5_S53_umi,27,28,19,20,29,7,8,15,16,22
zf2_dis_S1193_umi,20,27,28,11,4,5,12,13,1,2
zf2_dis_S1341_umi,27,28,36,35,3,41,19,20,43,4
zf1_p7_S47_umi,17,18,25,26,27,28,1,2,9,10
zf1_p8_S17_umi,35,43,42,7,8,15,16,22,23,24
zf2_dis_S1239_umi,42,56,63,64,41,34,35,54,55,50
zf1_p8_S50_umi,17,18,25,26,21,1,2,9,10,19
zf2_dis_S1251_umi,41,17,18,25,26,27,28,36,1,2
zf1_p8_S35_umi,28,36,35,20,29,41,43,21,37,27
zf1_p8_S69_umi,27,19,20,3,17,18,25,26,28,11
zf1_p8_S49_umi,35,21,27,28,41,7,8,15,16,22
zf1_p7_S77_umi,27,28,36,35,19,20,11,41,43,3
zf2_dis_S1398_umi,1,2,3,9,10,4,12,17,18,25
zf2_dis_S1320_umi,33,11,3,1,2,9,10,19,4,12
zf1_p7_S8_umi,21,5,13,6,14,29,7,8,15,16
zf2_dis_S1222_umi,7,8,15,16,22,23,24,30,31,32
zf1_p6_S68_umi,27,28,21,19,20,29,3,7,8,15
zf2_dis_S280_umi,37,28,36,44,35,52,41,20,29,45
zf2_dis_S205_umi,33,34,35,41,49,57,42,17,18,25
zf1_p6_S53_umi,35,27,28,36,21,43,3,19,20,29
zf1_p5_S80_umi,7,8,15,16,22,23,24,30,31,32
zf1_p6_S22_umi,17,18,25,26,27,3,1,2,9,10
zf2_dis_S1318_umi,4,12,1,2,9,10,3,17,18,25
zf2_dis_S317_umi,42,41,34,35,53,37,50,58,43,60
zf1_p5_S75_umi,6,14,28,7,8,15,16,22,23,24
zf2_dis_S1266_umi,19,33,34,35,11,17,18,25,26,27
zf2_dis_S1338_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S286_umi,29,35,21,37,27,28,36,41,43,19
zf2_dis_S299_umi,35,43,27,28,36,42,34,19,20,41
zf2_dis_S1158_umi,20,27,28,19,17,18,25,26,36,11
zf1_p7_S82_umi,21,29,7,8,15,16,22,23,24,30
zf2_dis_S1215_umi,35,43,42,34,36,41,51,59,60,50
zf1_p7_S81_umi,11,1,2,3,9,10,19,33,34,35
zf2_dis_S1336_umi,21,29,5,13,27,28,7,8,15,16
zf2_dis_S216_umi,7,8,15,16,22,23,24,30,31,32
zf1_p8_S33_umi,35,43,7,8,15,16,22,23,24,30
zf1_p7_S10_umi,27,19,20,33,35,11,17,18,25,26
zf2_dis_S1285_umi,35,43,42,27,28,36,34,41,51,59
zf1_p7_S83_umi,19,33,34,35,11,17,18,25,26,27
zf2_dis_S1165_umi,21,41,7,8,15,16,22,23,24,30
zf2_dis_S248_umi,42,41,34,35,36,21,37,50,58,43
zf2_dis_S239_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1255_umi,37,35,29,45,43,60,27,28,36,44
zf1_p5_S60_umi,21,29,7,8,15,16,22,23,24,30
zf2_dis_S261_umi,19,3,17,18,25,26,27,11,4,12
zf2_dis_S316_umi,42,34,35,41,36,56,43,50,58,38
zf2_dis_S1229_umi,17,18,25,26,27,33,41,1,2,9
zf3_dis_S1633_umi,5,13,6,14,21,7,8,15,16,22
zf3_dis_S1781_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1688_umi,21,29,7,8,15,16,22,23,24,30
zf3_dis_S1598_umi,21,29,5,13,28,36,6,14,35,37
zf3_dis_S1566_umi,3,11,1,2,9,10,19,4,5,12
zf3_dis_S1557_umi,20,4,5,12,13,27,28,36,3,35
zf3_dis_S1678_umi,19,20,4,12,17,18,25,26,27,28
zf3_dis_S1502_umi,20,27,28,21,4,5,12,13,19,29
zf3_dis_S1446_umi,50,58,60,51,59,49,57,34,35,42
zf3_dis_S1776_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1622_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1651_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1490_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1568_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1495_umi,1,2,9,10,17,18,25,26,11,3
zf3_dis_S1533_umi,34,35,43,36,42,56,41,51,59,19
zf3_dis_S1480_umi,27,28,21,19,20,29,3,7,8,15
zf3_dis_S1551_umi,35,36,43,37,42,27,28,44,34,41
zf3_dis_S1550_umi,56,63,64,20,29,7,8,15,16,22
zf3_dis_S1655_umi,21,7,8,15,16,22,23,24,30,31
zf3_dis_S1455_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1675_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1695_umi,27,3,19,20,4,12,11,17,18,25
zf3_dis_S1554_umi,3,11,1,2,9,10,19,4,5,12
zf3_dis_S1527_umi,19,3,17,18,25,26,27,28,11,21
zf3_dis_S1475_umi,21,37,20,29,45,5,13,27,28,36
zf3_dis_S1769_umi,1,2,3,4,5,6,7,8,9,10
zf3_dis_S1658_umi,21,29,28,36,7,8,15,16,22,23
zf3_dis_S1540_umi,7,8,15,16,22,23,24,30,31,32
zf3_dis_S1460_umi,27,21,7,8,15,16,22,23,24,30
zf3_dis_S1482_umi,27,28,35,19,20,11,41,43,3,17
