1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,EVE1,FOXD5,FOXI1,GSC
2,HES6,NDR2,NOTO,OTX1A,SOX3,SP5L,TA,TBX16,VOX,WNT11
zf2_dis_S1238_umi,11,19,20,25,26,27,28,4,12,1
zf1_p6_S56_umi,3,11,19,1,2,9,10,17,18,4
zf2_dis_S1281_umi,1,2,9,10,17,18,33,41,11,19
zf1_p8_S87_umi,27,35,33,41,29,11,19,20,25,26
zf1_p6_S77_umi,29,11,19,20,27,28,38,5,13,21
zf2_dis_S230_umi,20,28,36,1,2,9,10,17,18,44
zf1_p8_S26_umi,7,8,15,16,23,24,31,32,5,13
zf2_dis_S1342_umi,41,49,57,42,20,25,26,27,28,50
zf2_dis_S1304_umi,5,13,21,29,7,8,15,16,23,24
zf1_p7_S20_umi,29,11,19,20,27,28,5,13,21,37
zf1_p6_S11_umi,45,44,52,60,5,13,21,37,53,7
zf1_p8_S15_umi,20,27,28,5,13,21,4,12,29,3
zf2_dis_S1205_umi,35,38,54,43,59,60,46,42,51,37
zf2_dis_S1316_umi,5,13,21,6,14,22,30,29,45,7
zf1_p5_S52_umi,25,26,27,1,2,9,10,17,18,33
zf2_dis_S1235_umi,5,13,21,3,6,14,22,30,4,12
zf1_p8_S54_umi,3,11,19,4,12,1,2,9,10,17
zf2_dis_S1368_umi,53,43,59,60,61,42,51,35,45,50
zf2_dis_S1340_umi,7,8,15,16,23,24,31,32,6,14
zf2_dis_S1156_umi,6,14,22,30,5,13,21,7,8,15
zf1_p6_S34_umi,5,13,21,29,6,14,22,30,45,37
zf2_dis_S330_umi,43,59,60,42,51,35,50,58,53,27
zf2_dis_S1324_umi,6,14,20,22,27,28,30,29,7,8
zf1_p6_S79_umi,53,61,45,43,44,52,59,60,42,51
zf2_dis_S244_umi,6,14,22,30,39,40,45,5,13,21
zf2_dis_S1335_umi,60,45,42,37,53,50,58,29,61,1
zf1_p8_S64_umi,5,13,21,6,14,22,30,29,20,28
zf2_dis_S1230_umi,43,44,3,35,36,45,5,13,21,37
zf1_p8_S41_umi,4,12,3,5,13,21,11,19,20,28
zf2_dis_S314_umi,29,20,28,5,13,21,1,2,9,10
zf2_dis_S1282_umi,1,2,9,10,17,18,33,41,11,19
zf2_dis_S1364_umi,11,19,20,27,28,3,1,2,9,10
zf2_dis_S1286_umi,3,5,13,21,11,19,20,27,28,4
zf1_p5_S40_umi,38,46,47,48,6,14,22,30,39,40
zf1_p7_S11_umi,60,45,37,53,42,61,50,58,43,44
zf1_p8_S86_umi,53,43,59,60,61,42,51,45,50,58
zf1_p5_S57_umi,42,53,54,50,58,61,62,41,49,57
zf2_dis_S210_umi,42,37,50,58,34,35,36,45,43,44
zf2_dis_S1277_umi,6,14,22,30,1,2,9,10,17,18
zf2_dis_S1203_umi,60,45,37,53,38,54,61,43,44,52
zf1_p7_S5_umi,6,14,22,30,5,13,21,7,8,15
zf2_dis_S1278_umi,1,2,9,10,17,18,11,19,25,26
zf1_p7_S80_umi,27,43,59,41,49,57,35,42,51,6
zf1_p6_S60_umi,3,6,14,22,30,11,19,25,26,27
zf1_p7_S12_umi,3,11,19,1,2,9,10,17,18,4
zf2_dis_S1181_umi,1,2,9,10,17,18,3,5,13,21
zf2_dis_S1308_umi,27,6,14,22,30,41,49,57,43,59
zf1_p8_S34_umi,53,43,59,60,61,42,51,35,45,50
zf2_dis_S1399_umi,29,11,19,20,27,28,5,13,21,37
zf1_p8_S83_umi,6,14,22,30,3,5,13,21,7,8
zf2_dis_S1313_umi,29,11,19,20,27,28,5,13,21,37
zf1_p5_S76_umi,45,37,42,29,50,58,1,2,9,10
zf3_dis_S1596_umi,6,14,22,30,5,13,21,27,7,8
zf3_dis_S1553_umi,53,61,45,37,38,54,41,49,57,29
zf3_dis_S1696_umi,25,26,27,1,2,9,10,17,18,33
zf3_dis_S1500_umi,5,13,21,29,6,14,22,30,3,37
zf3_dis_S1727_umi,7,8,15,16,23,24,31,32,6,14
zf3_dis_S1707_umi,6,14,22,30,39,40,45,5,13,21
zf3_dis_S1745_umi,5,13,21,7,8,15,16,23,24,31
zf3_dis_S1513_umi,5,13,21,6,14,22,30,3,1,2
zf3_dis_S1535_umi,34,35,36,42,50,58,1,2,9,10
zf3_dis_S1759_umi,5,13,21,29,6,14,22,30,3,37
zf3_dis_S1724_umi,7,8,15,16,23,24,31,32,5,13
zf3_dis_S1524_umi,20,28,11,19,27,4,12,29,1,2
zf3_dis_S1764_umi,27,43,59,35,41,42,51,11,19,20
zf3_dis_S355_umi,35,43,59,41,49,57,42,51,27,53
zf3_dis_S1523_umi,5,13,21,39,40,29,7,8,15,16
zf3_dis_S1657_umi,5,13,21,29,3,6,14,22,30,11
zf3_dis_S1773_umi,1,2,3,4,5,6,7,8,9,10
zf3_dis_S1794_umi,39,40,7,8,15,16,23,24,31,32
zf3_dis_S1614_umi,43,59,60,42,51,50,53,58,7,8
zf3_dis_S1780_umi,3,11,19,20,27,28,5,13,21,1
zf3_dis_S1488_umi,6,14,22,30,7,8,15,16,23,24
zf3_dis_S1751_umi,7,8,15,16,23,24,31,32,5,13
zf3_dis_S1689_umi,41,27,35,33,43,11,19,20,25,26
zf3_dis_S1519_umi,37,38,46,35,36,45,6,14,22,30
zf3_dis_S1631_umi,45,7,8,15,16,23,24,31,32,5
