1,ADMP,AXIN2,BAMBIA,BMP2B,BMP7A,CHD,EVE1,FGF8A,FOXD5,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,SZL,VED,VENT,VOX,WNT11
zf1_p8_S77_umi,7,8,15,16,22,23,24,30,31,32
zf2_dis_S1275_umi,33,19,49,57,3,43,17,18,25,26
zf1_p7_S54_umi,41,33,17,18,25,26,27,28,29,34
zf2_dis_S1315_umi,44,45,36,37,50,58,42,52,53,21
zf2_dis_S1159_umi,1,2,9,10,4,12,11,17,18,25
zf1_p6_S8_umi,21,27,28,29,3,5,13,19,20,4
zf2_dis_S1311_umi,41,21,17,18,25,26,27,28,29,7
zf1_p5_S2_umi,20,27,28,29,36,37,19,21,5,13
zf2_dis_S1186_umi,49,57,17,18,25,26,27,41,7,8
zf2_dis_S1201_umi,7,8,15,16,22,23,24,30,31,32
zf1_p8_S63_umi,21,28,29,36,37,7,8,15,16,22
zf2_dis_S291_umi,41,21,33,42,17,18,25,26,27,28
zf2_dis_S1319_umi,28,29,20,21,53,41,52,36,37,27
zf1_p7_S6_umi,34,33,41,42,17,18,25,26,35,43
zf2_dis_S1210_umi,35,43,51,59,34,36,37,50,58,42
zf2_dis_S1267_umi,1,2,9,10,11,17,18,25,26,27
zf2_dis_S1264_umi,27,19,20,43,41,17,18,25,26,28
zf1_p7_S40_umi,43,35,41,42,21,49,57,27,28,29
zf1_p8_S4_umi,35,43,49,57,21,41,51,59,53,42
zf2_dis_S1171_umi,21,7,8,15,16,22,23,24,30,31
zf1_p7_S62_umi,42,17,18,25,26,27,34,35,41,33
zf1_p7_S95_umi,4,12,3,5,13,11,36,37,1,2
zf1_p8_S16_umi,5,13,6,14,20,21,7,8,15,16
zf2_dis_S1164_umi,27,19,20,49,57,43,11,17,18,25
zf1_p7_S41_umi,6,14,7,8,15,16,22,23,24,30
zf2_dis_S1312_umi,28,29,36,37,44,45,20,21,43,27
zf1_p7_S3_umi,43,51,59,53,42,52,60,50,58,35
zf2_dis_S1326_umi,21,17,18,25,26,27,28,29,34,35
zf1_p7_S24_umi,43,35,51,59,42,52,60,50,58,53
zf2_dis_S268_umi,19,20,21,41,7,8,15,16,22,23
zf2_dis_S1180_umi,19,11,17,18,25,26,27,28,29,41
zf2_dis_S1254_umi,17,18,25,26,7,8,15,16,22,23
zf2_dis_S1287_umi,43,27,35,44,45,36,37,42,19,20
zf1_p7_S70_umi,6,14,21,5,13,7,8,15,16,22
zf1_p5_S93_umi,21,28,29,7,8,15,16,22,23,24
zf1_p8_S67_umi,52,51,59,50,58,44,45,49,57,53
zf1_p8_S65_umi,34,35,33,49,57,36,42,41,17,18
zf1_p6_S93_umi,41,7,8,15,16,22,23,24,30,31
zf2_dis_S251_umi,49,57,36,17,18,25,26,27,28,34
zf1_p6_S87_umi,19,17,18,25,26,27,3,33,11,1
zf1_p5_S46_umi,27,35,43,36,37,42,19,20,21,17
zf1_p5_S68_umi,44,45,43,36,37,42,52,20,21,27
zf2_dis_S1310_umi,27,28,29,19,20,21,41,11,36,37
zf1_p8_S38_umi,6,14,7,8,15,16,22,23,24,30
zf1_p7_S89_umi,43,42,41,51,59,50,58,27,35,44
zf1_p6_S89_umi,28,29,44,45,36,37,7,8,15,16
