1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,CST3,EVE1,FGF8A,FOXD3
2,FOXI1,GATA5,HES6,SOX3,SP5L,SZL,TA,TBX16,TPH1B,VOX
zf1_p6_S44_umi,40,7,8,15,16,22,23,24,30,32
zf2_dis_S1217_umi,5,13,21,29,6,14,31,45,4,12
zf1_p7_S59_umi,20,28,29,27,21,41,19,36,5,13
zf1_p8_S96_umi,7,8,15,16,22,23,24,30,32,40
zf1_p6_S91_umi,41,17,18,25,26,27,3,1,2,9
zf2_dis_S258_umi,7,8,15,16,22,23,24,30,32,21
zf2_dis_S1273_umi,55,62,45,53,61,38,54,56,63,64
zf1_p6_S50_umi,21,29,27,5,13,41,31,45,53,49
zf2_dis_S212_umi,17,18,25,26,34,42,33,1,2,9
zf2_dis_S1323_umi,33,41,17,18,25,26,34,29,37,49
zf1_p5_S7_umi,43,51,59,42,35,44,60,45,41,50
zf1_p8_S51_umi,19,17,18,25,26,27,11,33,1,2
zf1_p8_S21_umi,27,19,20,28,3,17,18,25,26,35
zf1_p8_S85_umi,21,5,13,29,41,7,8,15,16,22
zf1_p8_S14_umi,6,14,7,8,15,16,22,23,24,30
zf1_p6_S47_umi,5,13,4,12,21,3,29,37,6,14
zf2_dis_S1214_umi,43,19,42,29,37,17,18,25,26,27
zf2_dis_S1169_umi,19,17,18,25,26,27,34,35,33,11
zf2_dis_S338_umi,20,28,36,29,37,42,17,18,25,26
zf1_p8_S52_umi,7,8,15,16,22,23,24,30,32,21
zf1_p5_S87_umi,17,18,25,26,27,33,29,1,2,9
zf2_dis_S1301_umi,19,17,18,25,26,27,11,33,1,2
zf2_dis_S1309_umi,3,1,2,9,10,4,12,41,11,17
zf2_dis_S1263_umi,41,33,49,57,42,17,18,25,26,27
zf1_p6_S83_umi,27,21,41,19,20,28,31,3,5,13
zf1_p5_S30_umi,27,35,21,33,41,19,20,28,36,3
zf1_p7_S29_umi,21,5,13,40,33,29,37,20,28,36
zf1_p5_S29_umi,43,51,59,42,27,35,44,60,41,50
zf1_p8_S92_umi,19,17,18,25,26,27,21,33,31,3
zf1_p8_S57_umi,4,12,3,11,41,1,2,9,10,19
zf1_p5_S42_umi,40,43,53,42,7,8,15,16,22,23
zf1_p8_S74_umi,19,3,17,18,25,26,27,11,4,12
zf1_p8_S39_umi,21,20,28,5,13,29,17,18,25,26
zf2_dis_S1314_umi,20,28,41,17,18,25,26,27,29,1
zf1_p5_S82_umi,27,35,19,20,28,36,33,11,41,17
zf1_p5_S27_umi,41,17,18,25,26,27,1,2,9,10
zf2_dis_S266_umi,17,18,25,26,21,41,33,7,8,15
zf1_p5_S77_umi,27,35,19,20,28,36,33,11,41,17
zf1_p6_S52_umi,21,43,29,37,5,13,42,27,35,45
zf1_p6_S31_umi,43,42,27,35,41,50,58,21,49,57
zf2_dis_S228_umi,20,28,29,27,21,41,7,8,15,16
zf1_p8_S79_umi,3,11,1,2,9,10,19,17,18,25
zf2_dis_S1265_umi,19,17,18,25,26,27,11,41,33,1
zf2_dis_S1379_umi,42,41,50,58,43,53,45,49,57,29
zf1_p8_S8_umi,31,7,8,15,16,22,23,24,30,32
zf2_dis_S1233_umi,17,18,25,26,33,21,1,2,9,10
zf2_dis_S1182_umi,53,7,8,15,16,22,23,24,30,32
zf2_dis_S1198_umi,36,34,35,37,33,43,19,20,28,38
zf2_dis_S274_umi,7,8,15,16,22,23,24,30,32,6
zf1_p7_S28_umi,20,28,36,41,4,12,21,43,53,27
zf1_p6_S25_umi,21,27,35,29,37,5,13,43,19,20
zf1_p6_S62_umi,43,51,59,42,35,44,60,45,41,50
zf2_dis_S1199_umi,19,21,17,18,25,26,27,33,3,29
zf3_dis_S1735_umi,7,8,15,16,22,23,24,30,32,40
zf3_dis_S1612_umi,45,44,21,53,52,31,29,37,43,51
zf3_dis_S1457_umi,33,41,17,18,25,26,27,34,35,29
zf3_dis_S1796_umi,5,13,21,29,6,14,20,28,4,12
zf3_dis_S1798_umi,21,29,5,13,7,8,15,16,22,23
zf3_dis_S1660_umi,43,21,42,29,37,27,35,5,13,41
zf3_dis_S1447_umi,19,17,18,25,26,27,11,33,1,2
zf3_dis_S1580_umi,41,21,43,27,35,49,57,5,13,40
zf3_dis_S1734_umi,5,13,21,27,3,29,11,1,2,9
zf3_dis_S1789_umi,21,7,8,15,16,22,23,24,30,32
zf3_dis_S1613_umi,3,11,1,2,9,10,19,4,12,17
zf3_dis_S1791_umi,41,27,35,43,19,20,28,36,53,49
zf3_dis_S1581_umi,5,13,40,4,12,21,6,14,33,3
zf3_dis_S1720_umi,7,8,15,16,22,23,24,30,32,40
zf3_dis_S1471_umi,51,59,60,52,50,58,43,53,61,45
zf3_dis_S1597_umi,21,29,37,5,13,42,17,18,25,26
zf3_dis_S1534_umi,43,42,3,41,50,58,6,14,11,49
zf3_dis_S1469_umi,6,14,7,8,15,16,22,23,24,30
zf3_dis_S1504_umi,7,8,15,16,22,23,24,30,32,21
zf3_dis_S1508_umi,4,12,1,2,9,10,3,5,13,17
zf3_dis_S1611_umi,20,28,36,41,27,35,44,43,29,37
zf3_dis_S1615_umi,45,43,51,59,31,21,42,7,8,15
zf3_dis_S1700_umi,41,43,19,33,11,49,57,42,17,18
zf3_dis_S1489_umi,27,35,19,20,28,36,33,11,41,17
zf3_dis_S1729_umi,39,40,21,47,53,61,31,55,29,37
zf3_dis_S1737_umi,7,8,15,16,22,23,24,30,32,40
zf3_dis_S1725_umi,21,31,29,7,8,15,16,22,23,24
zf3_dis_S1742_umi,53,31,45,15,16,22,23,24,30,32
zf3_dis_S1726_umi,45,31,21,53,42,7,8,15,16,22
zf3_dis_S1731_umi,5,13,21,6,14,29,7,8,15,16
zf3_dis_S1765_umi,43,27,35,42,29,37,19,20,28,36
zf3_dis_S1521_umi,21,29,37,7,8,15,16,22,23,24
