1,ADMP,BAMBIA,BMP4,BMP7A,CHD,EVE1,FGF8A,FOXI1,HES6,ISM1
2,NDR1,NDR2,NOTO,SOX3,SP5L,TA,TBX16,VED,VOX,WNT11
zf1_p8_S11_umi,20,27,28,11,19,1,2,9,10,17
zf1_p8_S93_umi,3,4,12,11,19,1,2,9,10,17
zf2_dis_S1343_umi,1,2,9,10,17,18,25,26,11,19
zf1_p7_S48_umi,20,27,28,3,4,12,5,13,21,11
zf2_dis_S1162_umi,5,13,21,6,14,22,30,29,1,2
zf1_p7_S66_umi,11,19,1,2,9,10,17,18,20,25
zf2_dis_S289_umi,35,41,33,43,52,20,27,28,36,54
zf1_p6_S58_umi,36,59,35,44,60,51,61,37,53,43
zf1_p7_S46_umi,6,14,22,30,20,27,28,5,13,21
zf2_dis_S292_umi,41,33,1,2,9,10,17,18,20,25
zf1_p6_S69_umi,20,27,28,3,4,12,5,13,21,11
zf1_p5_S56_umi,20,27,28,36,5,13,21,35,44,29
zf1_p8_S29_umi,35,43,52,54,42,59,36,37,53,41
zf1_p6_S40_umi,6,14,22,30,7,8,15,16,23,24
zf2_dis_S339_umi,41,33,1,2,9,10,17,18,20,25
zf1_p7_S56_umi,39,40,47,48,7,8,15,16,23,24
zf1_p7_S18_umi,41,1,2,9,10,17,18,20,25,26
zf2_dis_S1168_umi,6,14,22,30,5,13,21,41,1,2
zf1_p6_S45_umi,5,13,21,6,14,22,30,1,2,9
zf2_dis_S233_umi,53,55,56,54,39,40,38,47,48,7
zf1_p8_S94_umi,20,27,28,3,4,12,5,13,21,41
zf1_p5_S6_umi,6,14,22,30,5,13,21,20,27,28
zf2_dis_S1221_umi,3,4,12,33,5,13,21,11,19,6
zf2_dis_S1197_umi,6,14,22,30,29,38,5,13,21,46
zf1_p6_S32_umi,36,53,35,44,60,43,52,54,61,42
zf2_dis_S1170_umi,6,14,22,30,7,8,15,16,23,24
zf2_dis_S1252_umi,1,2,9,10,17,18,25,26,11,19
zf1_p7_S76_umi,20,27,28,36,11,19,35,44,41,3
zf2_dis_S245_umi,41,33,29,37,49,57,1,2,9,10
zf1_p8_S95_umi,7,8,15,16,23,24,31,32,39,40
zf1_p8_S55_umi,36,35,44,43,52,42,59,20,27,28
zf1_p7_S32_umi,3,4,12,11,19,1,2,9,10,17
zf2_dis_S1293_umi,20,27,28,36,35,44,11,19,43,1
zf1_p5_S20_umi,20,27,28,36,35,44,5,13,21,43
zf2_dis_S1284_umi,41,33,1,2,9,10,17,18,20,25
zf1_p8_S62_umi,7,8,15,16,23,24,31,32,39,40
zf1_p6_S78_umi,42,1,2,9,10,17,18,20,25,26
zf2_dis_S256_umi,35,43,52,42,59,54,41,51,36,37
zf1_p5_S8_umi,20,27,28,36,35,44,43,52,11,19
zf1_p8_S40_umi,20,27,28,3,4,12,35,11,19,41
zf1_p7_S30_umi,20,27,28,36,39,40,41,3,4,12
zf1_p8_S59_umi,3,4,12,11,19,1,2,9,10,17
zf1_p6_S30_umi,1,2,9,10,17,18,20,25,26,27
zf2_dis_S325_umi,1,2,9,10,17,18,20,25,26,27
zf2_dis_S215_umi,20,27,28,35,41,11,19,29,33,43
zf1_p8_S81_umi,3,4,12,11,19,1,2,9,10,17
zf2_dis_S1333_umi,20,27,28,3,4,5,12,13,21,35
zf2_dis_S1350_umi,5,13,21,6,14,22,30,29,20,27
zf1_p8_S24_umi,7,8,15,16,23,24,31,32,39,40
zf1_p6_S6_umi,36,35,44,43,52,42,59,41,51,20
zf3_dis_S1486_umi,47,48,39,40,7,8,15,16,23,24
zf3_dis_S1677_umi,3,4,12,5,13,21,11,19,1,2
zf3_dis_S1690_umi,39,40,7,8,15,16,23,24,31,32
zf3_dis_S1518_umi,5,13,21,29,20,27,28,3,4,12
zf3_dis_S1717_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1787_umi,6,14,22,30,5,13,21,7,8,15
zf3_dis_S1515_umi,33,1,2,9,10,17,18,25,26,34
zf3_dis_S1741_umi,5,13,21,29,37,3,4,12,11,19
zf3_dis_S359_umi,7,8,15,16,23,24,31,32,39,40
zf3_dis_S1755_umi,35,41,5,13,21,33,43,3,4,12
zf3_dis_S1668_umi,38,37,46,35,45,36,6,14,22,30
zf3_dis_S1692_umi,5,13,21,29,6,14,22,30,7,8
zf3_dis_S1711_umi,6,14,22,30,7,8,15,16,23,24
zf3_dis_S1617_umi,20,27,28,3,4,5,12,13,21,11
