1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,CHD,CST3,EVE1,FOXI1,GATA2A
2,GATA5,HES6,NOTO,SOX3,SP5L,TA,TBX16,VED,VENT,VOX
zf1_p5_S91_umi,27,41,29,37,33,35,5,13,11,19
zf2_dis_S322_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S1268_umi,42,33,34,35,50,58,1,2,9,10
zf1_p5_S33_umi,37,36,35,44,45,38,43,52,29,53
zf1_p8_S32_umi,29,41,1,2,9,10,17,18,25,26
zf1_p7_S91_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S240_umi,35,38,39,40,29,37,47,48,6,7
zf1_p8_S22_umi,29,11,19,21,1,2,9,10,17,18
zf1_p6_S29_umi,3,11,19,1,2,9,10,17,18,25
zf2_dis_S1373_umi,21,27,28,41,6,7,8,14,15,16
zf1_p5_S19_umi,27,35,5,13,43,21,42,3,29,37
zf1_p8_S45_umi,35,43,42,21,27,28,36,41,59,34
zf1_p5_S32_umi,3,11,19,1,2,9,10,17,18,25
zf1_p8_S78_umi,41,33,34,35,29,37,49,57,42,1
zf1_p7_S19_umi,60,59,51,35,53,50,58,43,52,49
zf1_p5_S51_umi,42,33,34,35,41,43,1,2,9,10
zf2_dis_S1305_umi,33,34,41,49,57,1,2,9,10,17
zf2_dis_S1194_umi,6,7,8,14,15,16,22,23,24,30
zf1_p7_S61_umi,35,41,43,3,27,28,36,4,12,21
zf1_p5_S49_umi,33,4,12,1,2,9,10,17,18,25
zf1_p6_S13_umi,1,2,9,10,17,18,25,26,33,11
zf1_p6_S12_umi,21,3,29,6,7,8,14,15,16,22
zf1_p8_S10_umi,5,13,4,12,21,3,29,11,19,20
zf2_dis_S1261_umi,41,1,2,9,10,17,18,25,26,27
zf1_p5_S34_umi,29,37,47,48,53,38,39,40,54,55
zf1_p7_S71_umi,28,36,29,37,47,48,53,38,39,40
zf1_p7_S65_umi,21,29,37,53,42,45,41,5,13,28
zf1_p6_S43_umi,21,29,37,53,45,28,36,61,35,44
zf2_dis_S1175_umi,53,60,35,41,59,49,57,43,52,27
zf2_dis_S1299_umi,27,28,11,19,20,35,3,29,41,53
zf1_p6_S36_umi,33,3,11,19,41,1,2,5,9,10
zf2_dis_S1241_umi,41,1,2,9,10,17,18,25,26,27
zf1_p8_S53_umi,29,21,5,13,37,27,28,6,7,8
zf1_p5_S21_umi,53,61,37,50,58,42,60,54,55,56
zf1_p5_S15_umi,21,41,29,5,13,6,7,8,14,15
zf1_p7_S17_umi,21,41,29,5,13,6,7,8,14,15
zf2_dis_S323_umi,21,29,6,7,8,14,15,16,22,23
zf2_dis_S1184_umi,42,34,35,41,43,1,2,9,10,17
zf1_p8_S73_umi,27,28,29,35,11,19,20,21,41,49
zf1_p7_S52_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S1243_umi,3,11,19,4,12,1,2,9,10,17
zf2_dis_S275_umi,41,39,40,21,6,7,8,14,15,16
zf1_p6_S82_umi,6,7,8,14,15,16,22,23,24,30
zf1_p5_S22_umi,27,33,35,41,11,19,20,43,1,2
zf1_p7_S93_umi,6,7,8,14,15,16,22,23,24,30
zf2_dis_S278_umi,21,41,29,37,35,5,13,39,40,45
zf1_p6_S2_umi,29,37,53,35,51,45,43,21,50,58
zf2_dis_S1161_umi,41,42,33,34,35,29,37,1,2,9
zf2_dis_S1303_umi,27,35,43,3,42,60,11,19,20,41
zf1_p6_S76_umi,53,61,54,55,56,52,60,37,59,51
zf2_dis_S1209_umi,5,13,27,21,3,29,6,7,8,14
zf2_dis_S293_umi,33,1,2,9,10,17,18,25,26,27
zf2_dis_S290_umi,11,19,1,2,9,10,17,18,25,26
zf1_p6_S35_umi,35,41,43,27,28,36,42,60,33,34
zf2_dis_S271_umi,53,60,61,59,35,29,37,51,54,55
zf1_p7_S33_umi,27,11,19,20,3,1,2,9,10,17
zf2_dis_S297_umi,61,53,60,62,59,29,37,51,54,55
zf3_dis_S356_umi,42,34,35,41,43,1,2,9,10,17
zf3_dis_S1562_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S1632_umi,27,28,35,41,11,19,20,43,1,2
zf3_dis_S1740_umi,29,28,21,37,41,47,48,53,11,19
zf3_dis_S1449_umi,21,28,29,5,13,20,4,12,6,7
zf3_dis_S1618_umi,39,40,54,55,56,60,49,57,6,7
zf3_dis_S1709_umi,53,60,61,59,35,54,55,56,63,64
zf3_dis_S365_umi,41,49,57,54,55,56,53,42,60,33
zf3_dis_S1649_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S1669_umi,41,28,36,42,20,33,34,35,44,29
zf3_dis_S1530_umi,21,35,29,37,43,42,45,5,13,41
zf3_dis_S1451_umi,21,29,5,13,28,37,6,7,8,14
zf3_dis_S1774_umi,41,21,6,7,8,14,15,16,22,23
zf3_dis_S1577_umi,34,35,43,11,19,42,1,2,9,10
zf3_dis_S1738_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S1493_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S1529_umi,21,27,28,41,3,29,35,5,13,11
zf3_dis_S1492_umi,21,29,5,13,28,4,12,3,37,6
zf3_dis_S1474_umi,1,2,9,10,17,18,25,26,33,11
zf3_dis_S1498_umi,11,19,1,2,9,10,17,18,25,26
zf3_dis_S1683_umi,5,13,4,12,21,3,29,11,19,20
zf3_dis_S1610_umi,5,13,21,29,20,6,7,8,14,15
zf3_dis_S1567_umi,27,28,11,19,20,35,3,29,41,59
zf3_dis_S1564_umi,35,41,43,27,28,36,42,11,19,20
zf3_dis_S1616_umi,34,35,6,7,8,14,15,16,22,23
zf3_dis_S364_umi,28,20,52,27,36,29,53,35,44,4
zf3_dis_S1718_umi,1,2,9,10,17,18,25,26,27,41
zf3_dis_S1636_umi,6,7,8,14,15,16,22,23,24,30
zf3_dis_S354_umi,41,33,34,35,29,37,49,57,42,1
