1,VED,NOG1,SOX3,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
2,LFT2,WNT11,SZL,OTX1A,SNAI1A,FOXD3,FOXI1,FOXD5,OSR1,HES6
3,CHD,ISM1,SP5L,NOTO,GSC,TBX16,GATA2A,TA,BMP4,GATA5
4,BMP7A,MIXL1,OTX1B,VENT,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,LFT1
zf2_dis_S214_umi,28,29,20,21,19,27,36,44,4,12
zf1_p8_S58_umi,27,33,35,19,20,25,26,41,11,17
zf1_p8_S80_umi,30,6,14,22,43,21,36,42,38,29
zf1_p5_S54_umi,17,18,1,2,9,10,19,20,25,26
zf1_p8_S61_umi,28,21,22,6,14,20,36,5,13,29
zf1_p8_S43_umi,31,22,7,15,23,30,6,14,8,16
zf1_p8_S84_umi,34,42,1,2,9,10,43,3,41,17
zf1_p5_S78_umi,28,19,20,27,36,29,17,18,35,21
zf2_dis_S1330_umi,35,43,49,57,36,41,42,28,34,7
zf1_p5_S92_umi,21,22,7,15,23,36,29,30,28,6
zf2_dis_S1183_umi,1,2,9,10,25,26,3,17,18,11
zf1_p7_S27_umi,4,12,36,3,28,11,21,1,2,9
zf1_p6_S38_umi,8,16,24,32,7,15,23,31,40,22
zf1_p5_S31_umi,20,36,4,12,21,5,13,28,3,29
zf1_p6_S19_umi,36,42,44,37,43,28,34,35,21,45
zf1_p8_S19_umi,3,1,2,9,10,4,12,11,17,18
zf1_p7_S67_umi,21,22,7,15,23,29,28,30,8,16
zf1_p8_S36_umi,8,16,24,31,32,7,15,23,4,12
zf1_p6_S21_umi,36,28,35,19,20,27,43,11,17,18
zf2_dis_S1211_umi,1,2,9,10,5,13,3,17,18,11
zf2_dis_S1322_umi,17,18,1,2,9,10,19,20,25,26
zf2_dis_S1224_umi,5,13,4,12,21,1,2,9,10,20
zf1_p7_S44_umi,4,12,3,5,13,11,1,2,9,10
zf2_dis_S1206_umi,19,20,27,3,17,18,28,11,4,12
zf1_p8_S47_umi,21,28,3,29,19,20,27,36,30,4
zf1_p6_S59_umi,19,20,27,36,44,43,17,18,28,35
zf2_dis_S1208_umi,52,38,28,37,54,29,20,36,44,39
zf2_dis_S1225_umi,52,60,31,19,44,45,59,7,15,23
zf1_p8_S2_umi,28,35,29,19,20,27,36,21,30,11
zf2_dis_S1262_umi,3,36,4,12,21,11,5,13,28,35
zf1_p6_S64_umi,7,15,23,21,8,16,24,31,32,29
zf2_dis_S1185_umi,41,42,33,17,18,34,35,43,3,1
zf1_p5_S36_umi,35,59,52,60,36,51,43,34,42,44
zf1_p7_S87_umi,52,60,31,21,45,43,36,44,22,7
zf1_p8_S5_umi,7,15,23,8,16,24,31,32,30,39
zf1_p6_S71_umi,7,15,23,8,16,24,31,32,21,22
zf2_dis_S1250_umi,52,37,35,43,36,44,45,38,60,42
zf1_p6_S90_umi,17,18,3,1,2,9,10,19,25,26
zf1_p5_S45_umi,30,6,14,8,16,24,32,21,22,29
zf2_dis_S1344_umi,8,16,24,32,7,15,23,40,30,41
zf1_p7_S50_umi,44,28,21,45,52,30,20,36,29,37
zf1_p5_S39_umi,34,35,42,36,50,58,43,49,57,37
