1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,EVE1,TPH1B,FOXD3
2,CST3,WNT11,SZL,ISM1,OTX1A,SNAI1A,FOXI1,LFT2,OSR1,FOXD5
3,HES6,SP5L,NOTO,GSC,CHD,TBX16,TA,GATA2A,BMP7A,GATA5
4,BMP4,MIXL1,VENT,BMP2B,OTX1B,FOXB1A,CDX4,FGF8A,AXIN2,LFT1
zf2_dis_S306_umi,43,35,42,36,53,34,37,41,44,59
zf1_p6_S55_umi,36,21,28,35,30,29,43,37,22,20
zf2_dis_S301_umi,27,19,20,25,26,33,41,11,17,18
zf1_p5_S53_umi,30,28,7,15,23,22,8,16,24,31
zf2_dis_S1193_umi,20,28,11,4,12,1,2,9,10,19
zf2_dis_S1341_umi,36,44,52,59,28,35,43,51,3,19
zf1_p7_S47_umi,17,18,28,1,2,9,10,19,20,25
zf1_p8_S17_umi,43,35,63,54,53,42,59,52,60,36
zf2_dis_S1239_umi,63,56,64,55,54,42,50,58,62,43
zf1_p8_S50_umi,17,18,1,2,9,10,19,25,26,3
zf2_dis_S1251_umi,17,18,28,41,1,2,9,10,19,20
zf1_p8_S35_umi,35,43,36,49,57,42,37,30,41,28
zf1_p8_S69_umi,27,19,20,25,26,41,43,3,5,13
zf1_p8_S49_umi,28,35,43,3,30,19,20,27,36,4
zf1_p7_S77_umi,43,41,35,42,59,27,36,44,51,53
zf2_dis_S1398_umi,3,1,2,9,10,4,12,11,17,18
zf2_dis_S1320_umi,11,3,1,2,9,10,19,4,12,33
zf1_p7_S8_umi,5,13,21,6,14,29,28,22,4,12
zf2_dis_S1222_umi,21,29,7,15,23,5,13,22,17,18
zf1_p6_S68_umi,27,28,35,41,43,21,19,20,25,26
zf2_dis_S280_umi,37,28,29,20,36,44,21,45,41,35
zf2_dis_S205_umi,49,57,51,50,58,42,59,34,35,41
zf1_p6_S53_umi,21,28,3,29,19,20,27,36,4,12
zf1_p5_S80_umi,30,35,21,40,22,8,16,24,32,36
zf1_p6_S22_umi,17,18,3,1,2,9,10,19,20,25
zf2_dis_S1318_umi,4,12,1,2,9,10,3,17,18,11
zf2_dis_S317_umi,60,53,52,45,54,61,42,59,44,50
zf1_p5_S75_umi,28,6,14,30,1,2,9,10,20,36
zf2_dis_S1266_umi,19,11,17,18,28,3,29,1,2,9
zf2_dis_S1338_umi,21,22,7,15,23,29,28,30,8,16
zf2_dis_S286_umi,36,29,37,28,35,21,45,19,20,27
zf2_dis_S299_umi,35,43,36,42,28,34,19,20,27,44
zf2_dis_S1158_umi,20,28,19,27,36,4,12,11,17,18
zf1_p7_S82_umi,21,22,36,29,5,13,37,6,14,30
zf2_dis_S1215_umi,59,51,43,35,42,52,60,50,58,53
zf1_p7_S81_umi,43,11,34,35,49,57,41,3,1,2
zf2_dis_S1336_umi,21,28,3,29,19,20,27,4,12,11
zf2_dis_S216_umi,7,15,23,8,16,24,31,32,22,30
zf1_p8_S33_umi,39,31,38,47,7,15,23,40,43,30
zf1_p7_S10_umi,19,20,27,11,17,18,28,3,1,2
zf2_dis_S1285_umi,43,35,42,59,50,58,51,53,61,49
zf1_p7_S83_umi,19,11,17,18,28,3,29,1,2,9
zf2_dis_S1165_umi,21,30,29,22,6,14,17,18,28,34
zf2_dis_S248_umi,7,15,23,41,8,16,21,24,31,32
zf2_dis_S239_umi,8,16,24,32,7,15,23,31,22,40
zf2_dis_S1255_umi,52,60,45,44,53,37,59,51,36,61
zf1_p5_S60_umi,21,30,27,29,22,28,35,6,14,7
zf2_dis_S261_umi,19,3,17,18,4,12,11,1,2,9
zf2_dis_S316_umi,42,38,43,41,34,35,46,59,50,58
zf2_dis_S1229_umi,17,18,1,2,9,10,19,20,25,26
zf3_dis_S1633_umi,5,13,6,14,4,12,21,20,22,3
zf3_dis_S1781_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1688_umi,21,29,28,20,5,13,30,22,4,12
zf3_dis_S1598_umi,5,13,36,44,21,45,28,29,52,37
zf3_dis_S1566_umi,3,11,4,12,1,2,9,10,19,17
zf3_dis_S1557_umi,4,12,20,36,3,28,11,1,2,9
zf3_dis_S1678_umi,4,12,19,20,36,3,17,18,28,11
zf3_dis_S1502_umi,20,28,4,12,21,19,27,3,29,5
zf3_dis_S1446_umi,59,50,58,51,49,57,60,52,53,61
zf3_dis_S1776_umi,31,7,15,23,39,8,16,24,32,22
