1,VED,SOX3,APLNRB,BAMBIA,NOG1,VOX,ADMP,EVE1,ISM1,TPH1B
2,FOXD3,CST3,WNT11,SZL,SNAI1A,OTX1A,LFT2,FOXI1,OSR1,HES6
3,FOXD5,SP5L,NOTO,GSC,CHD,GATA2A,TBX16,TA,BMP7A,BMP4
4,MIXL1,GATA5,OTX1B,VENT,BMP2B,FOXB1A,CDX4,AXIN2,ID3,LFT1
zf1_p8_S77_umi,7,15,23,39,40,8,16,24,31,32
zf2_dis_S1275_umi,33,49,57,43,34,35,41,42,59,53
zf1_p7_S54_umi,41,33,34,35,25,26,27,42,17,18
zf2_dis_S1315_umi,53,37,61,45,50,58,42,54,52,60
zf2_dis_S1159_umi,1,2,9,10,4,12,17,18,11,3
zf1_p6_S8_umi,21,29,5,13,28,19,20,27,3,7
zf2_dis_S1311_umi,21,5,13,17,18,28,3,29,41,22
zf1_p5_S2_umi,36,20,28,44,37,29,19,27,35,4
zf2_dis_S1186_umi,17,18,21,30,1,2,9,10,19,20
zf2_dis_S1201_umi,22,5,13,8,16,24,32,6,14,30
zf1_p8_S63_umi,21,30,29,22,6,14,28,36,7,15
zf2_dis_S291_umi,41,21,5,13,17,18,28,3,29,22
zf2_dis_S1319_umi,52,53,28,44,60,61,29,54,20,21
zf1_p7_S6_umi,34,33,42,41,35,43,17,18,36,1
zf2_dis_S1210_umi,60,52,35,59,51,39,37,28,36,44
zf2_dis_S1267_umi,36,37,29,1,2,9,10,34,35,21
zf2_dis_S1264_umi,36,19,20,27,35,43,11,17,18,28
zf1_p7_S40_umi,43,35,41,21,42,52,28,36,44,37
zf1_p8_S4_umi,35,43,51,28,36,44,52,60,3,42
zf2_dis_S1171_umi,28,21,30,19,20,27,3,29,22,6
zf1_p7_S62_umi,36,34,35,42,33,17,18,37,38,43
zf1_p7_S95_umi,4,12,3,11,8,16,24,32,1,2
zf1_p8_S16_umi,5,13,6,14,22,4,7,12,15,21
zf2_dis_S1164_umi,19,20,27,11,17,18,28,36,3,29
zf1_p7_S41_umi,7,15,23,6,14,8,16,24,31,32
zf2_dis_S1312_umi,28,36,37,29,20,21,45,44,43,19
zf1_p7_S3_umi,59,53,60,51,43,54,42,50,58,61
zf2_dis_S1326_umi,34,35,25,26,27,41,42,21,33,17
zf1_p7_S24_umi,59,52,60,51,43,35,42,36,44,50
zf2_dis_S268_umi,44,52,4,12,21,45,19,20,3,29
zf2_dis_S1180_umi,19,29,17,18,28,11,21,1,2,9
zf2_dis_S1254_umi,8,16,24,32,17,18,7,15,23,40
zf2_dis_S1287_umi,36,43,19,20,27,35,11,42,17,18
zf1_p7_S70_umi,6,14,5,13,22,21,30,29,7,15
zf1_p5_S93_umi,21,7,15,23,22,29,28,36,5,13
zf1_p8_S67_umi,30,22,7,15,23,6,14,19,20,25
zf1_p8_S65_umi,34,35,36,33,42,41,54,43,49,57
zf1_p6_S93_umi,8,16,24,31,32,30,7,15,21,23
zf2_dis_S251_umi,49,57,17,18,28,36,1,2,9,10
zf1_p6_S87_umi,19,17,18,3,11,4,12,21,33,1
zf1_p5_S46_umi,36,35,21,19,20,27,3,29,43,17
zf1_p5_S68_umi,43,22,36,7,15,23,42,30,35,6
zf2_dis_S1310_umi,28,36,29,19,20,27,21,35,41,37
zf1_p8_S38_umi,6,14,30,21,7,15,23,22,29,28
zf1_p7_S89_umi,43,36,42,35,41,3,44,11,34,50
zf1_p6_S89_umi,36,28,44,20,35,43,41,52,42,37
zf2_dis_S1248_umi,28,36,44,19,20,27,35,43,11,17
zf1_p8_S30_umi,1,2,9,10,25,26,34,11,17,18
zf1_p6_S26_umi,21,28,36,29,30,20,7,15,23,4
zf2_dis_S1307_umi,1,2,9,10,17,18,11,19,25,26
zf1_p6_S17_umi,36,43,35,42,59,52,60,44,50,58
zf3_dis_S1797_umi,21,7,15,23,22,29,37,28,36,5
zf3_dis_S1667_umi,36,49,57,43,35,41,21,42,59,30
zf3_dis_S350_umi,41,25,26,27,33,17,18,21,30,1
zf3_dis_S1537_umi,31,28,36,44,7,15,23,5,13,4
zf3_dis_S1684_umi,7,15,23,39,40,8,16,24,31,32
zf3_dis_S1770_umi,7,15,23,22,8,16,24,31,32,21
zf3_dis_S1641_umi,28,36,29,19,20,27,21,35,30,11
zf3_dis_S1545_umi,4,12,1,2,9,10,3,17,18,11
zf3_dis_S1698_umi,43,35,42,50,58,51,27,30,34,49
zf3_dis_S1594_umi,1,2,9,10,17,18,11,19,25,26
zf3_dis_S1671_umi,28,21,20,29,36,30,4,12,19,27
zf3_dis_S1721_umi,43,36,44,37,42,35,21,45,30,52
zf3_dis_S1795_umi,64,63,56,50,58,49,57,62,55,59
zf3_dis_S346_umi,30,7,15,21,23,39,40,41,17,18
zf3_dis_S1605_umi,8,16,24,32,7,15,23,6,14,31
zf3_dis_S1468_umi,7,15,23,21,8,16,24,31,32,29
zf3_dis_S1510_umi,31,30,7,15,23,39,22,38,47,8
zf3_dis_S1509_umi,21,30,29,7,15,23,28,36,22,8
zf3_dis_S1654_umi,59,52,60,53,54,35,43,51,61,36
zf3_dis_S1743_umi,21,29,28,36,44,31,30,43,45,41
zf3_dis_S1517_umi,8,16,24,32,7,15,23,40,31,30
zf3_dis_S1694_umi,27,19,20,25,26,17,18,28,11,43
zf3_dis_S1496_umi,3,1,2,9,10,4,12,33,11,17
zf3_dis_S351_umi,30,7,15,21,23,41,17,18,28,36
zf3_dis_S1628_umi,63,53,61,56,64,52,36,55,43,54
zf3_dis_S1652_umi,21,29,8,16,24,32,30,4,7,12
zf3_dis_S1485_umi,28,19,20,27,11,17,18,36,3,29
zf3_dis_S1680_umi,36,21,30,37,7,15,23,39,40,29
zf3_dis_S1516_umi,27,28,43,41,35,19,20,25,26,42
zf3_dis_S1783_umi,7,15,23,8,16,24,31,32,22,21
zf3_dis_S1575_umi,7,15,23,5,13,8,16,24,31,32
zf3_dis_S1702_umi,7,15,23,8,16,24,31,32,21,22
zf3_dis_S1732_umi,1,2,9,10,17,18,4,12,3,11
zf3_dis_S1645_umi,19,20,4,12,21,17,18,28,3,29
