1,NOG1,VED,SOX3,BAMBIA,VOX,ADMP,APLNRB,EVE1,FOXD3,CST3
2,ISM1,OSR1,TPH1B,WNT11,FOXI1,SNAI1A,OTX1A,LFT2,SZL,FOXD5
3,HES6,SP5L,NOTO,CHD,TBX16,GATA2A,GSC,TA,BMP4,BMP7A
4,MIXL1,GATA5,OTX1B,VENT,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
zf1_p7_S31_umi,7,15,23,8,16,24,31,32,22,39
zf1_p5_S66_umi,21,5,13,35,27,3,29,41,33,4
zf2_dis_S1213_umi,42,34,35,43,36,41,37,53,50,58
zf2_dis_S1395_umi,36,19,20,27,35,43,11,17,18,28
zf2_dis_S1163_umi,31,21,29,22,7,15,23,28,36,5
zf1_p8_S25_umi,35,43,36,42,37,34,41,29,49,57
zf1_p7_S63_umi,3,19,4,12,21,11,17,18,28,29
zf1_p6_S57_umi,8,16,24,32,7,15,23,40,21,30
zf2_dis_S1381_umi,59,60,53,61,29,54,51,52,21,45
zf1_p5_S4_umi,59,52,51,43,35,60,36,44,42,53
zf1_p7_S16_umi,11,1,2,9,10,19,3,4,12,17
zf1_p7_S39_umi,7,15,23,39,40,8,16,24,31,32
zf1_p8_S70_umi,11,3,1,2,9,10,19,20,27,4
zf1_p7_S21_umi,6,14,5,13,7,15,23,22,21,8
zf1_p6_S96_umi,27,35,43,30,49,57,28,36,3,41
zf2_dis_S1188_umi,41,35,43,28,36,33,19,20,27,42
zf2_dis_S1176_umi,36,44,35,51,43,52,42,59,34,60
zf1_p7_S49_umi,8,16,24,32,7,15,23,40,28,30
zf2_dis_S1289_umi,17,18,1,2,9,10,19,25,26,29
zf2_dis_S1328_umi,17,18,1,2,9,10,19,25,26,34
zf1_p7_S13_umi,4,12,3,11,1,2,9,10,19,20
zf2_dis_S1280_umi,44,52,28,36,20,4,12,21,45,37
zf1_p8_S18_umi,35,43,28,36,41,42,29,30,19,20
zf2_dis_S237_umi,7,15,23,8,16,24,31,32,22,6
zf2_dis_S1325_umi,41,33,25,26,34,17,18,42,1,2
zf1_p8_S7_umi,27,21,28,3,29,19,20,25,26,30
zf1_p6_S46_umi,52,21,28,36,44,43,29,35,20,41
zf1_p7_S94_umi,20,27,28,4,12,19,25,26,3,17
zf1_p5_S37_umi,1,2,9,10,3,17,18,28,11,4
zf1_p7_S37_umi,52,44,43,45,35,60,42,59,37,51
zf1_p6_S80_umi,42,50,58,63,34,35,43,54,30,56
zf1_p7_S75_umi,7,15,23,6,14,8,16,24,31,32
zf1_p8_S60_umi,8,16,24,32,7,15,23,6,14,22
zf2_dis_S276_umi,41,17,18,28,36,3,33,1,2,9
zf2_dis_S1290_umi,7,15,23,30,8,16,24,31,32,22
zf2_dis_S1272_umi,1,2,9,10,11,17,18,28,3,19
zf1_p6_S33_umi,42,34,35,53,41,37,49,57,43,36
zf1_p8_S31_umi,35,43,36,44,41,52,42,59,53,34
zf1_p7_S22_umi,28,3,19,20,27,35,4,12,21,11
zf1_p6_S67_umi,31,59,51,35,7,15,23,39,30,27
zf2_dis_S1394_umi,33,34,17,18,41,1,2,9,10,19
zf1_p6_S86_umi,30,21,22,6,14,29,7,15,23,8
zf2_dis_S315_umi,63,55,56,64,62,54,37,38,47,48
zf2_dis_S1332_umi,19,25,26,27,11,17,18,28,3,1
zf1_p5_S41_umi,36,35,21,19,20,27,30,43,3,29
zf1_p8_S13_umi,41,25,26,27,17,18,28,29,33,1
zf2_dis_S1339_umi,41,28,36,20,33,34,35,42,29,30
zf2_dis_S1178_umi,17,18,28,4,12,1,2,9,10,19
zf1_p8_S76_umi,7,15,23,8,16,24,31,32,6,14
zf1_p8_S42_umi,43,35,42,59,52,51,44,41,34,38
zf3_dis_S1733_umi,8,16,24,32,7,15,23,40,19,20
zf3_dis_S1643_umi,20,5,13,28,22,4,12,21,6,14
zf3_dis_S366_umi,30,59,22,38,27,41,49,57,35,6
zf3_dis_S1782_umi,21,5,13,29,22,28,36,6,14,30
zf3_dis_S1589_umi,39,31,47,7,15,23,40,30,41,8
zf3_dis_S1775_umi,25,26,27,17,18,33,1,2,9,10
zf3_dis_S358_umi,43,35,41,42,27,34,49,57,28,36
zf3_dis_S1528_umi,29,21,35,39,37,28,36,31,38,47
zf3_dis_S1497_umi,1,2,9,10,3,17,18,28,11,4
zf3_dis_S1463_umi,19,17,18,11,3,1,2,9,10,20
zf3_dis_S1541_umi,7,15,23,30,19,20,25,26,27,4
zf3_dis_S1548_umi,5,13,3,4,12,11,1,2,9,10
zf3_dis_S1723_umi,7,15,23,30,21,29,8,16,24,31
zf3_dis_S1763_umi,21,7,15,23,39,40,29,28,8,16
zf3_dis_S349_umi,31,7,15,23,39,8,16,24,32,40
zf3_dis_S1730_umi,1,2,9,10,5,13,17,18,3,11
zf3_dis_S1779_umi,40,8,16,24,32,7,15,21,23,39
zf3_dis_S1570_umi,3,11,4,12,1,2,9,10,19,25
zf3_dis_S1477_umi,36,4,12,3,7,15,23,5,13,11
zf3_dis_S1556_umi,27,29,19,20,25,26,30,21,41,11
zf3_dis_S1491_umi,21,29,5,13,28,4,12,6,14,30
zf3_dis_S1771_umi,5,13,4,12,21,3,29,11,8,16
zf3_dis_S1465_umi,59,36,37,50,58,29,51,35,60,43
zf3_dis_S1647_umi,22,52,7,15,23,30,6,14,54,8
zf3_dis_S1476_umi,5,13,6,14,4,12,21,3,29,22
zf3_dis_S1563_umi,25,26,17,18,1,2,9,10,19,27
zf3_dis_S1630_umi,33,41,22,7,15,23,36,43,5,13
zf3_dis_S1619_umi,36,44,37,52,21,45,28,29,35,31
zf3_dis_S1748_umi,52,44,45,43,35,60,37,29,38,41
zf3_dis_S1708_umi,43,42,34,35,19,25,26,27,41,17
zf3_dis_S1624_umi,29,21,28,30,19,20,27,22,5,13
zf3_dis_S1646_umi,28,21,31,19,20,27,30,3,29,7
zf3_dis_S1503_umi,6,14,5,13,4,12,21,22,1,2
zf3_dis_S1569_umi,27,41,35,43,28,33,19,20,25,26
