1,VED,SOX3,NOG1,APLNRB,BAMBIA,ISM1,VOX,FOXD3,ADMP,EVE1
2,CST3,SZL,WNT11,OTX1A,SNAI1A,FOXI1,OSR1,TPH1B,SP5L,LFT2
3,NOTO,FOXD5,HES6,CHD,TBX16,GATA2A,GSC,TA,BMP7A,BMP4
4,VENT,MIXL1,GATA5,OTX1B,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
zf1_p8_S11_umi,27,41,28,19,20,25,26,35,43,11
zf1_p8_S93_umi,8,16,24,31,32,30,28,36,7,15
zf2_dis_S1343_umi,1,2,9,10,11,17,18,3,19,25
zf1_p7_S48_umi,20,7,15,23,28,36,30,4,12,21
zf2_dis_S1162_umi,21,30,22,29,6,14,28,36,7,15
zf1_p7_S66_umi,11,4,12,1,2,9,10,19,20,3
zf2_dis_S289_umi,35,43,36,41,42,34,30,37,28,44
zf1_p6_S58_umi,43,35,50,58,42,59,27,49,57,51
zf1_p7_S46_umi,30,21,28,6,14,3,29,8,16,24
zf2_dis_S292_umi,17,18,28,1,2,9,10,19,20,25
zf1_p6_S69_umi,59,8,16,24,31,32,52,21,28,36
zf1_p5_S56_umi,8,16,24,32,7,15,23,43,31,22
zf1_p8_S29_umi,36,21,43,35,29,41,37,42,52,28
zf1_p6_S40_umi,7,15,23,8,16,24,31,32,22,30
zf2_dis_S339_umi,36,42,41,49,57,34,35,43,37,30
zf1_p7_S56_umi,8,16,24,31,32,7,15,23,39,40
zf1_p7_S18_umi,49,57,36,41,42,34,35,43,50,58
zf2_dis_S1168_umi,31,22,7,15,21,23,30,29,28,6
zf1_p6_S45_umi,41,30,21,34,35,42,7,15,23,22
zf2_dis_S233_umi,56,55,63,64,54,7,15,23,39,40
zf1_p8_S94_umi,35,6,14,27,30,3,28,22,11,4
zf1_p5_S6_umi,30,31,21,29,22,7,15,23,39,28
zf2_dis_S1221_umi,22,21,6,14,19,30,3,29,5,13
zf2_dis_S1197_umi,7,15,23,30,8,16,24,31,32,22
zf1_p6_S32_umi,36,20,28,44,4,12,21,43,35,19
zf2_dis_S1170_umi,7,15,23,8,16,24,31,32,22,30
zf2_dis_S1252_umi,17,18,1,2,9,10,19,25,26,11
zf1_p7_S76_umi,28,36,19,20,27,11,35,41,3,29
zf2_dis_S245_umi,45,37,38,60,53,54,46,52,44,39
zf1_p8_S95_umi,30,8,16,24,31,32,7,15,21,23
zf1_p8_S55_umi,35,43,36,42,34,27,33,41,50,58
zf1_p7_S32_umi,3,11,1,2,9,10,19,25,26,27
zf2_dis_S1293_umi,28,36,19,20,27,35,11,17,18,3
zf1_p5_S20_umi,37,21,45,28,36,44,29,35,31,22
zf2_dis_S1284_umi,17,18,28,29,41,1,2,9,10,19
zf1_p8_S62_umi,7,15,23,8,16,24,31,32,22,30
zf1_p6_S78_umi,30,28,36,22,7,15,23,21,20,6
zf2_dis_S256_umi,60,59,53,51,52,54,43,45,38,61
zf1_p5_S8_umi,28,36,29,19,20,27,35,43,30,7
zf1_p8_S40_umi,28,3,19,20,27,30,35,4,12,21
zf1_p7_S30_umi,30,7,15,23,39,40,22,8,16,24
zf1_p8_S59_umi,28,4,12,21,19,20,25,26,27,3
zf1_p6_S30_umi,28,4,12,21,1,2,9,10,20,3
zf2_dis_S325_umi,17,18,28,36,1,2,9,10,19,20
zf2_dis_S215_umi,59,53,52,51,49,57,43,35,61,54
zf1_p8_S81_umi,3,11,4,12,1,2,9,10,19,17
zf2_dis_S1333_umi,21,35,43,7,15,23,30,28,36,8
zf2_dis_S1350_umi,7,15,23,21,8,16,24,31,32,29
zf1_p8_S24_umi,8,16,24,31,32,7,15,23,22,35
zf1_p6_S6_umi,52,44,59,51,36,43,45,35,60,50
zf3_dis_S1486_umi,48,40,47,39,8,16,24,32,38,7
zf3_dis_S1677_umi,3,5,13,11,4,12,21,1,2,9
zf3_dis_S1690_umi,39,31,7,15,23,40,47,8,16,24
zf3_dis_S1518_umi,21,29,30,28,7,15,23,22,20,8
zf3_dis_S1717_umi,31,7,15,23,39,8,16,24,32,22
zf3_dis_S1787_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1515_umi,1,2,9,10,11,17,18,33,3,19
zf3_dis_S1741_umi,43,8,16,24,32,42,3,7,15,23
zf3_dis_S359_umi,8,16,24,32,7,15,23,40,30,31
zf3_dis_S1755_umi,43,35,41,42,33,27,34,49,57,36
zf3_dis_S1668_umi,63,56,64,7,15,23,55,8,16,24
zf3_dis_S1692_umi,7,15,23,8,16,24,31,32,22,30
zf3_dis_S1711_umi,7,15,23,6,14,8,16,24,31,32
zf3_dis_S1617_umi,21,28,3,29,19,20,27,4,12,5
zf3_dis_S1514_umi,21,28,3,29,30,19,20,27,4,12
zf3_dis_S1666_umi,31,7,15,23,39,30,21,29,8,16
zf3_dis_S1644_umi,7,15,23,8,16,24,31,32,30,39
zf3_dis_S1691_umi,30,22,43,35,29,41,6,14,42,7
zf3_dis_S1479_umi,19,11,17,18,3,1,2,9,10,20
zf3_dis_S1663_umi,19,20,27,3,17,18,28,11,4,12
zf3_dis_S1785_umi,21,30,29,22,28,36,6,14,20,5
zf3_dis_S1800_umi,64,63,56,62,55,54,48,16,24,32
zf3_dis_S1604_umi,40,8,16,24,32,48,7,15,23,39
zf3_dis_S1703_umi,8,16,24,32,7,15,23,31,22,40
zf3_dis_S1590_umi,4,12,6,14,3,28,36,22,34,35
zf3_dis_S1685_umi,4,12,28,3,19,20,25,26,27,21
zf3_dis_S1656_umi,7,15,21,23,22,8,16,24,29,31
zf3_dis_S1653_umi,8,16,24,32,30,7,15,23,40,56
zf3_dis_S1481_umi,21,29,5,13,28,22,6,14,20,30
zf3_dis_S1767_umi,22,7,15,23,30,28,36,21,6,14
zf3_dis_S1600_umi,43,42,59,35,60,31,51,52,15,23
zf3_dis_S1705_umi,7,15,23,30,8,16,24,31,32,41
zf3_dis_S1487_umi,8,16,24,32,7,15,23,6,14,5
zf3_dis_S1627_umi,22,6,14,30,7,15,21,23,36,5
zf3_dis_S1450_umi,4,12,3,11,1,2,9,10,19,20
zf3_dis_S1665_umi,7,15,23,30,8,16,24,31,32,22
