1,VED,SOX3,NOG1,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
2,WNT11,SZL,OTX1A,SNAI1A,FOXD3,FOXI1,ISM1,OSR1,LFT2,FOXD5
3,HES6,NOTO,SP5L,CHD,TBX16,GSC,GATA2A,TA,BMP4,BMP7A
4,GATA5,MIXL1,VENT,BMP2B,OTX1B,FOXB1A,CDX4,FGF8A,AXIN2,LFT1
zf1_p5_S91_umi,27,43,41,35,42,33,37,19,20,25
zf2_dis_S322_umi,8,16,24,32,7,15,23,31,22,40
zf2_dis_S1268_umi,36,17,18,34,35,1,2,9,10,19
zf1_p5_S33_umi,36,28,37,29,20,44,21,45,5,13
zf1_p8_S32_umi,1,2,9,10,25,26,27,11,17,18
zf1_p7_S91_umi,7,15,23,43,22,42,30,8,16,24
zf2_dis_S240_umi,28,35,29,19,20,27,36,21,33,11
zf1_p8_S22_umi,11,1,2,9,10,19,25,26,27,3
zf1_p6_S29_umi,3,11,4,12,1,2,9,10,19,17
zf2_dis_S1373_umi,28,21,30,3,29,19,20,27,36,22
zf1_p5_S19_umi,21,45,43,19,20,27,36,44,3,29
zf1_p8_S45_umi,43,35,42,37,52,36,44,21,45,28
zf1_p5_S32_umi,3,11,1,2,9,10,19,25,26,27
zf1_p8_S78_umi,41,25,26,27,33,42,29,17,18,28
zf1_p7_S19_umi,43,35,42,59,50,58,51,49,57,34
zf1_p5_S51_umi,42,36,43,17,18,34,35,41,33,1
zf2_dis_S1305_umi,33,17,18,34,1,2,9,10,19,25
zf2_dis_S1194_umi,7,15,23,8,16,24,31,32,22,39
zf1_p7_S61_umi,36,44,28,35,43,3,19,20,27,12
zf1_p5_S49_umi,17,18,4,12,33,1,2,9,10,19
zf1_p6_S13_umi,17,18,1,2,9,10,19,25,26,11
zf1_p6_S12_umi,3,6,14,11,5,13,4,12,21,1
zf1_p8_S10_umi,5,13,4,12,3,11,21,1,2,9
zf2_dis_S1261_umi,17,18,28,1,2,9,10,19,20,25
zf1_p5_S34_umi,31,45,59,7,15,23,39,22,38,47
zf1_p7_S71_umi,36,44,45,28,37,38,29,20,52,21
zf1_p7_S65_umi,7,15,23,6,14,8,16,24,31,32
zf1_p6_S43_umi,37,21,45,36,44,29,28,52,43,20
zf2_dis_S1175_umi,35,43,49,57,41,42,59,34,53,50
zf2_dis_S1299_umi,27,28,19,20,25,26,11,17,18,35
zf1_p6_S36_umi,33,19,25,26,27,3,17,18,11,4
zf2_dis_S1241_umi,1,2,9,10,11,17,18,28,3,19
zf1_p8_S53_umi,29,21,5,13,6,14,11,28,30,3
zf1_p5_S21_umi,37,42,52,60,53,45,54,50,58,34
zf1_p5_S15_umi,21,29,5,13,17,18,28,22,1,2
zf1_p7_S17_umi,41,30,42,21,22,25,26,27,29,49
zf2_dis_S323_umi,8,16,24,31,32,7,15,23,22,28
zf2_dis_S1184_umi,36,42,17,18,28,34,35,43,1,2
zf1_p8_S73_umi,27,41,28,35,43,29,19,20,25,26
zf1_p7_S52_umi,7,15,23,8,16,24,31,32,22,39
zf2_dis_S1243_umi,19,3,17,18,4,12,11,1,2,9
zf2_dis_S275_umi,36,28,21,20,44,29,37,17,18,34
zf1_p6_S82_umi,8,16,24,32,7,15,23,40,21,30
zf1_p5_S22_umi,19,20,27,11,17,18,28,3,29,1
zf1_p7_S93_umi,3,8,16,24,32,11,30,7,15,23
zf2_dis_S278_umi,21,36,29,37,30,43,28,35,7,15
zf1_p6_S2_umi,27,29,43,21,28,35,41,37,42,19
zf2_dis_S1161_umi,41,42,43,34,35,49,57,1,2,9
zf2_dis_S1303_umi,43,35,42,27,3,41,34,11,59,4
zf1_p6_S76_umi,52,44,45,60,37,53,36,59,39,40
zf2_dis_S1209_umi,27,40,8,16,24,32,48,19,20,25
zf2_dis_S293_umi,33,42,17,18,34,35,41,1,2,9
zf2_dis_S290_umi,19,25,26,27,17,18,11,33,1,2
