1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,CST3,EVE1,FOXI1,GATA5
2,HES6,NDR1,NOTO,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
33,20,28,27,29,44,41,19,36,21,43
54,27,35,19,20,28,36,33,41,11,29
75,6,14,45,22,30,44,52,5,13,38
84,17,18,25,26,27,33,1,2,9,10
86,7,8,15,16,23,24,31,32,21,29
90,22,30,41,27,21,6,7,8,14,15
91,42,41,50,58,1,2,9,10,49,57
95,27,19,20,28,17,18,25,26,35,11
119,20,28,36,44,4,12,41,43,27,35
122,22,30,42,38,41,45,21,46,50,58
133,1,2,9,10,3,17,18,25,26,41
143,4,12,3,11,1,2,9,10,19,20
155,7,8,15,16,23,24,31,32,22,30
162,5,13,21,29,37,6,14,20,28,36
179,42,41,44,52,36,50,58,43,34,35
200,1,2,9,10,3,17,18,25,26,4
206,39,40,21,47,48,7,8,15,16,23
209,1,2,3,4,5,6,7,8,9,10
216,27,35,19,20,28,36,43,17,18,25
236,41,5,13,42,49,57,33,1,2,9
246,17,18,25,26,27,1,2,9,10,19
251,6,14,22,30,5,13,41,21,7,8
254,4,5,12,13,3,21,11,29,37,1
259,27,35,43,19,20,28,36,42,3,21
267,21,27,29,5,13,19,20,28,3,22
284,43,27,35,42,44,41,51,19,20,28
295,33,20,28,36,41,29,37,17,18,25
302,43,42,59,19,41,51,17,18,25,26
310,27,19,20,28,17,18,25,26,35,11
318,41,3,43,27,35,4,5,11,12,13
325,21,22,30,29,5,13,20,28,6,7
346,42,41,43,50,58,34,35,53,59,49
363,35,43,60,36,42,59,27,34,54,41
367,53,45,61,44,52,21,43,60,29,37
377,7,8,15,16,23,24,31,32,22,30
385,7,8,15,16,23,24,31,32,21,29
391,41,43,27,35,42,59,19,20,28,36
392,17,18,25,26,41,33,1,2,9,10
402,5,13,21,6,7,8,14,15,16,23
407,44,22,30,43,38,20,28,36,42,6
412,22,30,20,28,6,7,8,14,15,16
413,34,35,42,41,33,36,50,58,43,60
430,1,2,9,10,42,17,18,25,26,27
461,19,17,18,25,26,27,33,11,29,1
462,3,11,1,2,9,10,19,17,18,25
476,17,18,25,26,27,34,35,42,33,1
477,41,21,43,22,30,39,40,27,35,45
489,41,27,35,43,19,20,28,36,33,44
490,41,43,27,35,39,40,42,47,48,19
496,41,21,17,18,25,26,27,5,13,29
513,27,35,41,43,19,20,28,36,33,44
518,43,60,3,42,59,41,51,11,53,50
533,5,13,21,29,4,12,6,14,20,28
541,19,3,17,18,25,26,27,11,4,12
545,27,41,19,20,28,43,60,17,18,25
546,22,30,27,21,6,7,8,14,15,16
553,41,43,27,35,19,20,28,36,42,33
580,53,55,56,45,61,39,40,54,44,52
587,53,44,52,41,20,28,36,43,60,27
590,41,43,27,35,3,21,42,19,20,28
602,33,3,19,4,12,17,18,25,26,27
617,17,18,25,26,27,41,1,2,9,10
630,43,60,53,42,59,13,41,51,27,35
642,54,53,55,56,45,61,46,44,52,43
646,53,44,52,20,28,36,43,60,27,35
648,22,30,21,6,7,8,14,15,16,23
677,21,27,22,30,41,29,5,13,6,7
692,53,45,61,22,30,54,44,52,38,62
693,53,45,61,44,52,43,60,37,54,42
697,54,55,56,42,53,43,41,46,63,64
698,53,45,61,44,52,43,60,22,30,54
701,6,14,27,22,30,41,11,29,5,13
704,53,20,28,27,61,54,41,29,44,52
710,43,60,42,59,41,51,53,50,58,19
726,27,19,20,28,11,29,49,57,17,18
730,41,17,18,25,26,27,1,2,9,10
734,45,21,44,52,22,30,29,37,43,5
736,21,22,30,39,40,45,29,37,53,5
739,43,27,35,42,59,41,51,44,52,19
741,21,27,22,30,41,29,5,13,6,7
756,43,34,35,42,33,44,19,36,41,51
761,43,60,53,42,59,41,51,27,35,45
770,39,40,42,38,41,34,45,46,47,48
835,3,27,4,11,12,1,2,9,10,19
839,19,17,18,25,26,27,33,11,29,1
