1,ADMP,APLNRB,BAMBIA,BMP2B,BMP4,BMP7A,CHD,CST3,EVE1,FOXD5
2,FOXI1,GATA5,HES6,SOX3,SP5L,SZL,TA,TBX16,VOX,WNT11
10,29,21,20,27,28,5,13,19,45,37
30,41,1,2,9,10,5,13,11,29,17
37,21,43,41,49,57,20,27,28,35,5
40,21,29,45,53,7,8,15,16,22,23
41,7,8,15,16,22,23,24,30,31,32
47,21,7,8,15,16,22,23,24,30,31
50,41,21,7,8,15,16,22,23,24,30
79,21,41,5,13,29,17,18,20,25,26
97,3,4,12,11,33,5,13,1,2,9
123,20,27,28,29,44,41,49,57,19,36
137,36,44,43,20,27,28,35,37,41,49
156,44,36,45,21,37,43,41,49,57,20
160,36,37,41,33,17,18,20,25,26,27
167,21,41,49,57,7,8,15,16,22,23
173,6,14,7,8,15,16,22,23,24,30
183,21,29,7,8,15,16,22,23,24,30
184,41,17,18,20,25,26,27,28,33,1
199,7,8,15,16,22,23,24,30,31,32
202,39,40,7,8,15,16,22,23,24,30
203,7,8,15,16,22,23,24,30,31,32
210,43,35,41,49,57,37,42,51,52,59
225,37,38,39,40,36,45,53,35,61,46
229,20,27,28,11,1,2,9,10,19,3
230,7,8,15,16,22,23,24,30,31,32
233,21,7,8,15,16,22,23,24,30,31
248,47,48,7,8,15,16,22,23,24,30
262,20,27,28,41,19,11,29,17,18,25
263,6,14,7,8,15,16,22,23,24,30
271,33,41,38,39,40,47,48,29,17,18
289,20,27,28,29,19,21,41,17,18,25
308,37,35,38,39,40,29,47,48,7,8
320,44,43,60,36,45,53,42,51,52,59
321,33,19,17,18,20,25,26,27,28,34
326,21,29,5,13,20,27,28,37,19,36
334,7,8,15,16,22,23,24,30,31,32
347,41,49,57,42,53,50,58,34,35,61
361,41,49,57,39,40,53,61,54,55,56
388,19,3,4,12,21,17,18,20,25,26
406,44,36,43,60,35,42,51,52,59,50
410,21,29,45,53,7,8,15,16,22,23
417,36,20,27,28,35,44,37,19,33,43
422,21,41,49,57,43,7,8,15,16,22
444,21,41,49,57,29,7,8,15,16,22
445,19,17,18,20,25,26,27,28,11,29
446,7,8,15,16,22,23,24,30,31,32
458,20,27,28,19,36,44,11,29,43,17
460,35,36,43,37,34,42,51,52,59,38
469,39,40,7,8,15,16,22,23,24,30
498,45,53,21,37,61,29,44,5,13,41
501,3,4,12,44,43,11,42,51,52,59
508,20,27,28,19,36,44,41,11,3,4
515,20,27,28,19,17,18,25,26,11,29
520,17,18,25,26,1,2,9,10,19,33
522,20,27,28,29,19,36,21,37,17,18
538,5,13,21,6,14,29,7,8,15,16
540,43,35,42,51,52,59,44,50,58,36
555,45,53,15,16,22,23,24,30,31,32
556,43,60,53,42,51,52,59,35,61,50
576,20,27,28,44,19,36,53,3,4,12
605,45,7,8,15,16,22,23,24,30,31
616,5,13,3,4,12,21,6,14,11,29
619,45,37,44,43,60,36,53,42,51,52
622,53,61,43,60,54,55,56,62,63,64
626,6,14,7,8,15,16,22,23,24,30
639,19,33,41,17,18,20,25,26,27,28
657,17,18,20,25,26,27,28,21,41,49
658,43,53,42,51,52,59,35,61,50,58
662,41,29,20,27,28,35,21,37,33,43
666,7,8,15,16,22,23,24,30,31,32
686,17,18,25,26,41,29,7,8,15,16
699,7,8,15,16,22,23,24,30,31,32
706,53,35,61,54,55,56,62,63,64,43
711,6,14,7,8,15,16,22,23,24,30
717,33,17,18,25,26,34,41,49,57,37
762,53,61,44,43,60,36,45,42,51,52
773,45,53,61,44,43,60,21,37,42,51
775,6,14,5,13,21,7,8,15,16,22
776,53,43,60,41,20,27,28,35,61,29
786,20,27,28,21,29,7,8,15,16,22
787,20,27,28,19,11,17,18,25,26,3
792,21,37,29,36,45,53,20,27,28,35
794,21,5,13,29,45,37,41,20,27,28
810,5,13,3,4,12,21,37,11,29,1
816,3,4,12,11,5,13,1,2,9,10
825,39,40,7,8,15,16,22,23,24,30
830,6,14,5,13,21,7,8,15,16,22
