1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,BMP7A,CHD,EVE1,FOXI1,HER1
2,HES6,NOTO,OTX1B,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
5,7,8,15,16,22,23,24,30,31,32
7,7,8,15,16,22,23,24,30,31,32
20,5,13,27,3,21,11,29,1,2,9
35,42,17,18,25,26,27,21,41,34,35
36,21,20,28,4,5,12,13,17,18,25
49,5,13,63,64,21,62,29,37,53,20
53,3,11,1,2,9,10,19,17,18,25
63,34,33,42,17,18,25,26,41,35,50
72,42,41,50,58,17,18,25,26,27,63
89,33,34,41,17,18,25,26,1,2,9
102,7,8,15,16,22,23,24,30,31,32
115,21,29,5,13,20,28,27,37,4,12
120,33,34,41,17,18,25,26,1,2,9
121,7,8,15,16,22,23,24,30,31,32
125,35,43,42,34,36,41,51,33,60,37
128,27,3,21,19,20,28,4,5,12,13
130,42,41,34,35,63,64,50,58,33,43
139,7,8,15,16,22,23,24,30,31,32
145,27,39,40,41,35,7,8,15,16,22
146,1,2,9,10,17,18,25,26,3,33
158,20,28,36,27,44,38,54,55,56,35
159,7,15,16,22,23,24,30,31,32,38
172,43,60,44,42,59,35,52,41,51,36
194,4,12,3,11,1,2,9,10,19,20
226,27,19,20,28,3,21,17,18,25,26
227,7,8,15,16,22,23,24,30,31,32
242,42,41,17,18,25,26,27,21,50,58
258,21,29,20,28,5,13,27,7,8,15
277,42,36,34,35,41,37,33,43,44,50
291,60,59,35,51,43,50,58,27,42,49
301,27,35,43,7,15,16,22,23,24,30
319,35,43,60,37,53,42,59,36,45,41
333,19,17,18,25,26,27,3,11,33,4
337,38,39,40,35,37,46,43,7,8,15
344,7,8,15,16,22,23,24,30,31,32
360,27,19,20,28,17,18,25,26,11,29
366,36,44,35,37,53,43,4,12,13,20
368,21,29,37,7,8,15,16,22,23,24
371,42,34,35,41,36,33,43,60,50,58
372,42,34,35,41,36,33,43,60,50,58
376,27,35,19,20,28,36,43,3,21,17
383,20,28,17,18,25,26,27,7,8,15
394,17,18,25,26,1,2,9,10,19,20
395,33,17,18,25,26,1,2,9,10,19
400,19,17,18,25,26,27,11,1,2,9
409,7,8,15,16,22,23,24,30,31,32
414,7,8,15,16,22,23,24,30,31,32
435,34,33,17,18,25,26,42,41,35,1
438,27,39,40,35,3,21,19,20,28,36
452,19,17,18,25,26,27,3,11,33,4
456,7,8,15,16,22,23,24,30,31,32
459,27,47,48,41,38,39,40,54,55,56
471,21,29,37,7,8,15,16,22,23,24
484,33,41,34,1,2,9,10,49,57,17
495,33,41,34,35,42,17,18,25,26,27
497,37,36,45,44,13,35,52,21,43,60
504,35,36,43,60,27,44,11,42,59,34
506,11,1,2,9,10,19,17,18,25,26
510,7,8,15,16,22,23,24,30,31,32
549,5,13,6,14,21,7,8,15,16,22
594,27,35,29,37,43,19,20,28,36,45
610,7,8,15,16,22,23,24,30,31,32
618,4,5,12,13,3,21,11,29,37,1
627,20,28,36,27,44,35,52,29,37,43
633,7,8,15,16,22,23,24,30,31,32
649,35,41,33,43,29,37,27,38,39,40
667,21,7,8,15,16,22,23,24,30,31
679,7,8,15,16,22,23,24,30,31,32
681,5,13,27,3,21,11,29,6,14,4
683,19,20,28,17,18,25,26,27,11,4
689,7,8,15,16,22,23,24,30,31,32
700,7,8,15,16,22,23,24,30,31,32
715,17,18,25,26,33,21,41,29,7,8
724,53,54,55,56,61,63,64,35,52,62
742,41,33,17,18,25,26,27,3,21,42
744,52,53,63,64,43,60,45,42,59,62
749,4,12,3,11,5,13,1,2,9,10
781,34,35,52,33,43,60,42,59,4,5
793,20,28,4,12,27,3,21,19,36,35
814,20,28,27,21,7,8,15,16,22,23
818,7,8,15,16,22,23,24,30,31,32
823,35,36,43,27,44,42,59,37,41,51
831,4,5,12,13,3,21,11,29,1,2
843,63,64,62,29,53,54,55,56,20,28
849,35,43,36,42,34,37,41,51,27,44
