1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,BMP7A,CHD,EVE1,FOXB1A,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,SZL,TA,VED,VOX,WNT11
12,35,43,42,34,36,53,41,51,59,60
26,21,7,8,15,16,22,23,24,30,31
45,27,19,20,11,17,18,25,26,28,36
51,27,28,19,20,29,7,8,15,16,22
67,20,27,28,11,4,5,12,13,1,2
73,27,28,36,35,3,41,19,20,43,4
77,17,18,25,26,27,28,1,2,9,10
85,35,43,42,7,8,15,16,22,23,24
101,42,56,63,64,41,34,35,54,55,50
103,17,18,25,26,21,1,2,9,10,19
105,41,17,18,25,26,27,28,36,1,2
107,28,36,35,20,29,41,43,21,37,27
132,27,19,20,3,17,18,25,26,28,11
136,35,21,27,28,41,7,8,15,16,22
141,27,28,36,35,19,20,11,41,43,3
166,1,2,3,9,10,4,12,17,18,25
168,33,11,3,1,2,9,10,19,4,12
170,21,5,13,6,14,29,7,8,15,16
180,7,8,15,16,22,23,24,30,31,32
182,27,28,21,19,20,29,3,7,8,15
197,37,28,36,44,35,52,41,20,29,45
211,33,34,35,41,49,57,42,17,18,25
214,35,27,28,36,21,43,3,19,20,29
219,7,8,15,16,22,23,24,30,31,32
235,17,18,25,26,27,3,1,2,9,10
239,4,12,1,2,9,10,3,17,18,25
245,42,41,34,35,53,37,50,58,43,60
247,6,14,28,7,8,15,16,22,23,24
257,19,33,34,35,11,17,18,25,26,27
260,7,8,15,16,22,23,24,30,31,32
268,29,35,21,37,27,28,36,41,43,19
270,35,43,27,28,36,42,34,19,20,41
279,20,27,28,19,17,18,25,26,36,11
315,21,29,7,8,15,16,22,23,24,30
322,35,43,42,34,36,41,51,59,60,50
331,11,1,2,3,9,10,19,33,34,35
338,21,29,5,13,27,28,7,8,15,16
350,7,8,15,16,22,23,24,30,31,32
403,35,43,7,8,15,16,22,23,24,30
405,27,19,20,33,35,11,17,18,25,26
411,35,43,42,27,28,36,34,41,51,59
415,19,33,34,35,11,17,18,25,26,27
421,21,41,7,8,15,16,22,23,24,30
427,42,41,34,35,36,21,37,50,58,43
447,7,8,15,16,22,23,24,30,31,32
465,37,35,29,45,43,60,27,28,36,44
475,21,29,7,8,15,16,22,23,24,30
480,19,3,17,18,25,26,27,11,4,12
481,42,34,35,41,36,56,43,50,58,38
486,17,18,25,26,27,33,41,1,2,9
531,5,13,6,14,21,7,8,15,16,22
543,7,8,15,16,22,23,24,30,31,32
551,21,29,7,8,15,16,22,23,24,30
554,21,29,5,13,28,36,6,14,35,37
561,3,11,1,2,9,10,19,4,5,12
572,20,4,5,12,13,27,28,36,3,35
584,19,20,4,12,17,18,25,26,27,28
593,20,27,28,21,4,5,12,13,19,29
601,50,58,60,51,59,49,57,34,35,42
612,7,8,15,16,22,23,24,30,31,32
614,7,8,15,16,22,23,24,30,31,32
615,7,8,15,16,22,23,24,30,31,32
623,7,8,15,16,22,23,24,30,31,32
628,6,14,7,8,15,16,22,23,24,30
640,1,2,9,10,17,18,25,26,11,3
641,34,35,43,36,42,56,41,51,59,19
650,27,28,21,19,20,29,3,7,8,15
656,35,36,43,37,42,27,28,44,34,41
664,56,63,64,20,29,7,8,15,16,22
675,21,7,8,15,16,22,23,24,30,31
684,7,8,15,16,22,23,24,30,31,32
691,6,14,7,8,15,16,22,23,24,30
695,27,3,19,20,4,12,11,17,18,25
709,3,11,1,2,9,10,19,4,5,12
716,19,3,17,18,25,26,27,28,11,21
722,21,37,20,29,45,5,13,27,28,36
733,1,2,3,4,5,6,7,8,9,10
748,21,29,28,36,7,8,15,16,22,23
769,7,8,15,16,22,23,24,30,31,32
772,27,21,7,8,15,16,22,23,24,30
779,27,28,35,19,20,11,41,43,3,17
829,33,34,41,17,18,25,26,7,8,15
832,7,8,15,16,22,23,24,30,31,32
842,43,42,29,45,41,51,59,35,27,28
