1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,EVE1,FOXD5,FOXI1,GSC
2,HES6,NDR2,NOTO,OTX1A,SOX3,SP5L,TA,TBX16,VOX,WNT11
2,11,19,20,25,26,27,28,4,12,1
8,3,11,19,1,2,9,10,17,18,4
31,1,2,9,10,17,18,33,41,11,19
32,27,35,33,41,29,11,19,20,25,26
43,29,11,19,20,27,28,38,5,13,21
48,20,28,36,1,2,9,10,17,18,44
74,7,8,15,16,23,24,31,32,5,13
76,41,49,57,42,20,25,26,27,28,50
78,5,13,21,29,7,8,15,16,23,24
88,29,11,19,20,27,28,5,13,21,37
98,45,44,52,60,5,13,21,37,53,7
112,20,27,28,5,13,21,4,12,29,3
117,35,38,54,43,59,60,46,42,51,37
118,5,13,21,6,14,22,30,29,45,7
124,25,26,27,1,2,9,10,17,18,33
127,5,13,21,3,6,14,22,30,4,12
150,3,11,19,4,12,1,2,9,10,17
153,53,43,59,60,61,42,51,35,45,50
181,7,8,15,16,23,24,31,32,6,14
198,6,14,22,30,5,13,21,7,8,15
208,5,13,21,29,6,14,22,30,45,37
215,43,59,60,42,51,35,50,58,53,27
218,6,14,20,22,27,28,30,29,7,8
224,53,61,45,43,44,52,59,60,42,51
276,6,14,22,30,39,40,45,5,13,21
280,60,45,42,37,53,50,58,29,61,1
290,5,13,21,6,14,22,30,29,20,28
296,43,44,3,35,36,45,5,13,21,37
313,4,12,3,5,13,21,11,19,20,28
327,29,20,28,5,13,21,1,2,9,10
328,1,2,9,10,17,18,33,41,11,19
354,11,19,20,27,28,3,1,2,9,10
369,3,5,13,21,11,19,20,27,28,4
374,38,46,47,48,6,14,22,30,39,40
378,60,45,37,53,42,61,50,58,43,44
381,53,43,59,60,61,42,51,45,50,58
386,42,53,54,50,58,61,62,41,49,57
416,42,37,50,58,34,35,36,45,43,44
423,6,14,22,30,1,2,9,10,17,18
425,60,45,37,53,38,54,61,43,44,52
437,6,14,22,30,5,13,21,7,8,15
440,1,2,9,10,17,18,11,19,25,26
442,27,43,59,41,49,57,35,42,51,6
443,3,6,14,22,30,11,19,25,26,27
453,3,11,19,1,2,9,10,17,18,4
470,1,2,9,10,17,18,3,5,13,21
494,27,6,14,22,30,41,49,57,43,59
507,53,43,59,60,61,42,51,35,45,50
509,29,11,19,20,27,28,5,13,21,37
514,6,14,22,30,3,5,13,21,7,8
524,29,11,19,20,27,28,5,13,21,37
526,45,37,42,29,50,58,1,2,9,10
544,6,14,22,30,5,13,21,27,7,8
559,53,61,45,37,38,54,41,49,57,29
565,25,26,27,1,2,9,10,17,18,33
570,5,13,21,29,6,14,22,30,3,37
571,7,8,15,16,23,24,31,32,6,14
573,6,14,22,30,39,40,45,5,13,21
574,5,13,21,7,8,15,16,23,24,31
577,5,13,21,6,14,22,30,3,1,2
578,34,35,36,42,50,58,1,2,9,10
582,5,13,21,29,6,14,22,30,3,37
595,7,8,15,16,23,24,31,32,5,13
620,20,28,11,19,27,4,12,29,1,2
624,27,43,59,35,41,42,51,11,19,20
625,35,43,59,41,49,57,42,51,27,53
629,5,13,21,39,40,29,7,8,15,16
637,5,13,21,29,3,6,14,22,30,11
643,1,2,3,4,5,6,7,8,9,10
644,39,40,7,8,15,16,23,24,31,32
651,43,59,60,42,51,50,53,58,7,8
652,3,11,19,20,27,28,5,13,21,1
660,6,14,22,30,7,8,15,16,23,24
668,7,8,15,16,23,24,31,32,5,13
713,41,27,35,33,43,11,19,20,25,26
743,37,38,46,35,36,45,6,14,22,30
767,45,7,8,15,16,23,24,31,32,5
771,6,14,22,30,39,40,5,13,21,38
780,60,53,42,41,49,57,34,35,36,1
789,6,14,22,30,5,13,21,29,7,8
790,3,11,19,1,2,9,10,17,18,5
791,3,11,19,20,27,28,4,12,1,2
811,38,43,44,37,35,36,45,41,49,57
824,45,37,53,44,52,60,61,38,54,36
838,5,13,21,6,14,22,30,29,20,28
