1,ADMP,AXIN2,BAMBIA,BMP2B,BMP7A,CHD,EVE1,FGF8A,FOXD5,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,SZL,VED,VENT,VOX,WNT11
14,7,8,15,16,22,23,24,30,31,32
15,33,19,49,57,3,43,17,18,25,26
21,41,33,17,18,25,26,27,28,29,34
39,44,45,36,37,50,58,42,52,53,21
42,1,2,9,10,4,12,11,17,18,25
57,21,27,28,29,3,5,13,19,20,4
62,41,21,17,18,25,26,27,28,29,7
66,20,27,28,29,36,37,19,21,5,13
68,49,57,17,18,25,26,27,41,7,8
99,7,8,15,16,22,23,24,30,31,32
109,21,28,29,36,37,7,8,15,16,22
129,41,21,33,42,17,18,25,26,27,28
140,28,29,20,21,53,41,52,36,37,27
142,34,33,41,42,17,18,25,26,35,43
147,35,43,51,59,34,36,37,50,58,42
171,1,2,9,10,11,17,18,25,26,27
175,27,19,20,43,41,17,18,25,26,28
188,43,35,41,42,21,49,57,27,28,29
189,35,43,49,57,21,41,51,59,53,42
192,21,7,8,15,16,22,23,24,30,31
228,42,17,18,25,26,27,34,35,41,33
237,4,12,3,5,13,11,36,37,1,2
243,5,13,6,14,20,21,7,8,15,16
249,27,19,20,49,57,43,11,17,18,25
250,6,14,7,8,15,16,22,23,24,30
253,28,29,36,37,44,45,20,21,43,27
256,43,51,59,53,42,52,60,50,58,35
281,21,17,18,25,26,27,28,29,34,35
300,43,35,51,59,42,52,60,50,58,53
307,19,20,21,41,7,8,15,16,22,23
311,19,11,17,18,25,26,27,28,29,41
312,17,18,25,26,7,8,15,16,22,23
324,43,27,35,44,45,36,37,42,19,20
332,6,14,21,5,13,7,8,15,16,22
353,21,28,29,7,8,15,16,22,23,24
355,52,51,59,50,58,44,45,49,57,53
364,34,35,33,49,57,36,42,41,17,18
379,41,7,8,15,16,22,23,24,30,31
387,49,57,36,17,18,25,26,27,28,34
428,19,17,18,25,26,27,3,33,11,1
431,27,35,43,36,37,42,19,20,21,17
436,44,45,43,36,37,42,52,20,21,27
439,27,28,29,19,20,21,41,11,36,37
448,6,14,7,8,15,16,22,23,24,30
457,43,42,41,51,59,50,58,27,35,44
487,28,29,44,45,36,37,7,8,15,16
492,36,37,43,27,28,29,35,44,45,41
502,34,1,2,9,10,33,11,17,18,25
503,21,28,29,36,37,44,45,41,7,8
512,1,2,9,10,17,18,25,26,11,33
517,43,51,59,35,44,45,36,37,50,58
542,21,28,29,44,45,7,8,15,16,22
557,7,8,15,16,22,23,24,30,31,32
567,41,17,18,25,26,27,33,1,2,9
568,6,14,7,8,15,16,22,23,24,30
581,7,8,15,16,22,23,24,30,31,32
585,7,8,15,16,22,23,24,30,31,32
589,36,37,27,28,29,35,44,45,43,19
597,4,12,1,2,9,10,3,5,13,17
606,43,35,51,59,42,52,50,58,36,37
609,1,2,9,10,42,17,18,25,26,34
611,21,28,29,7,8,15,16,22,23,24
634,43,42,35,44,45,41,51,59,15,16
655,50,58,60,49,57,51,59,42,52,61
670,41,21,33,17,18,25,26,27,28,29
674,6,14,7,8,15,16,22,23,24,30
676,21,28,29,7,8,15,16,22,23,24
678,44,45,53,7,8,15,16,22,23,24
688,21,7,8,15,16,22,23,24,30,31
714,49,57,43,35,41,51,59,7,8,15
725,21,43,41,27,28,29,35,44,45,36
728,7,8,15,16,22,23,24,30,31,32
729,27,19,20,43,11,17,18,25,26,28
731,3,33,1,2,9,10,4,12,11,17
763,41,7,8,15,16,22,23,24,30,31
774,52,53,43,35,36,44,54,55,56,51
778,21,4,12,28,29,44,45,41,3,5
783,27,28,29,35,36,37,19,20,21,43
796,21,7,8,15,16,22,23,24,30,31
800,43,41,27,28,29,35,44,45,36,37
802,21,7,8,15,16,22,23,24,30,31
815,20,21,5,13,27,28,29,4,12,41
819,21,28,29,7,8,15,16,22,23,24
821,1,2,9,10,17,18,25,26,34,33
833,19,20,21,4,12,17,18,25,26,27
