1,ADMP,AXIN2,BAMBIA,BMP2B,BMP4,CHD,CST3,EVE1,FGF8A,FOXD3
2,FOXI1,GATA5,HES6,SOX3,SP5L,SZL,TA,TBX16,TPH1B,VOX
6,40,7,8,15,16,22,23,24,30,32
13,5,13,21,29,6,14,31,45,4,12
18,20,28,29,27,21,41,19,36,5,13
61,7,8,15,16,22,23,24,30,32,40
70,41,17,18,25,26,27,3,1,2,9
80,7,8,15,16,22,23,24,30,32,21
81,55,62,45,53,61,38,54,56,63,64
144,21,29,27,5,13,41,31,45,53,49
154,17,18,25,26,34,42,33,1,2,9
169,33,41,17,18,25,26,34,29,37,49
178,43,51,59,42,35,44,60,45,41,50
185,19,17,18,25,26,27,11,33,1,2
186,27,19,20,28,3,17,18,25,26,35
190,21,5,13,29,41,7,8,15,16,22
196,6,14,7,8,15,16,22,23,24,30
207,5,13,4,12,21,3,29,37,6,14
212,43,19,42,29,37,17,18,25,26,27
220,19,17,18,25,26,27,34,35,33,11
240,20,28,36,29,37,42,17,18,25,26
241,7,8,15,16,22,23,24,30,32,21
244,17,18,25,26,27,33,29,1,2,9
266,19,17,18,25,26,27,11,33,1,2
273,3,1,2,9,10,4,12,41,11,17
274,41,33,49,57,42,17,18,25,26,27
285,27,21,41,19,20,28,31,3,5,13
299,27,35,21,33,41,19,20,28,36,3
303,21,5,13,40,33,29,37,20,28,36
304,43,51,59,42,27,35,44,60,41,50
309,19,17,18,25,26,27,21,33,31,3
314,4,12,3,11,41,1,2,9,10,19
316,40,43,53,42,7,8,15,16,22,23
323,19,3,17,18,25,26,27,11,4,12
339,21,20,28,5,13,29,17,18,25,26
351,20,28,41,17,18,25,26,27,29,1
357,27,35,19,20,28,36,33,11,41,17
359,41,17,18,25,26,27,1,2,9,10
362,17,18,25,26,21,41,33,7,8,15
365,27,35,19,20,28,36,33,11,41,17
370,21,43,29,37,5,13,42,27,35,45
382,43,42,27,35,41,50,58,21,49,57
393,20,28,29,27,21,41,7,8,15,16
404,3,11,1,2,9,10,19,17,18,25
455,19,17,18,25,26,27,11,41,33,1
466,42,41,50,58,43,53,45,49,57,29
472,31,7,8,15,16,22,23,24,30,32
479,17,18,25,26,33,21,1,2,9,10
485,53,7,8,15,16,22,23,24,30,32
500,36,34,35,37,33,43,19,20,28,38
511,7,8,15,16,22,23,24,30,32,6
516,20,28,36,41,4,12,21,43,53,27
521,21,27,35,29,37,5,13,43,19,20
523,43,51,59,42,35,44,60,45,41,50
527,19,21,17,18,25,26,27,33,3,29
536,7,8,15,16,22,23,24,30,32,40
537,45,44,21,53,52,31,29,37,43,51
558,33,41,17,18,25,26,27,34,35,29
566,5,13,21,29,6,14,20,28,4,12
583,21,29,5,13,7,8,15,16,22,23
596,43,21,42,29,37,27,35,5,13,41
608,19,17,18,25,26,27,11,33,1,2
613,41,21,43,27,35,49,57,5,13,40
631,5,13,21,27,3,29,11,1,2,9
647,21,7,8,15,16,22,23,24,30,32
654,3,11,1,2,9,10,19,4,12,17
682,41,27,35,43,19,20,28,36,53,49
687,5,13,40,4,12,21,6,14,33,3
690,7,8,15,16,22,23,24,30,32,40
705,51,59,60,52,50,58,43,53,61,45
718,21,29,37,5,13,42,17,18,25,26
735,43,42,3,41,50,58,6,14,11,49
740,6,14,7,8,15,16,22,23,24,30
745,7,8,15,16,22,23,24,30,32,21
752,4,12,1,2,9,10,3,5,13,17
753,20,28,36,41,27,35,44,43,29,37
755,45,43,51,59,31,21,42,7,8,15
757,41,43,19,33,11,49,57,42,17,18
758,27,35,19,20,28,36,33,11,41,17
759,39,40,21,47,53,61,31,55,29,37
782,7,8,15,16,22,23,24,30,32,40
788,21,31,29,7,8,15,16,22,23,24
798,53,31,45,15,16,22,23,24,30,32
805,45,31,21,53,42,7,8,15,16,22
812,5,13,21,6,14,29,7,8,15,16
828,43,27,35,42,29,37,19,20,28,36
841,21,29,37,7,8,15,16,22,23,24
