1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,CHD,EVE1,FGF8A,FOXD5,FOXI1
2,GATA2A,GATA5,HES6,SOX3,SP5L,TBX16,VED,VENT,VOX,WNT11
1,6,7,8,14,15,16,22,23,24,30
9,21,5,13,29,3,27,28,4,12,11
24,42,34,35,37,43,36,45,41,50,58
25,27,35,11,19,20,36,33,43,49,57
28,21,29,5,13,6,7,8,14,15,16
55,37,35,29,36,45,53,43,49,57,21
58,3,21,11,19,29,4,5,12,13,1
69,41,21,6,7,8,14,15,16,22,23
83,29,21,37,27,28,35,5,13,60,11
87,35,43,51,59,36,50,58,42,52,60
92,11,19,29,1,2,9,10,17,18,25
94,38,39,40,41,46,6,7,8,14,15
104,27,5,11,13,19,20,29,1,2,9
106,21,29,5,13,28,6,7,8,14,15
110,3,21,27,28,35,4,5,12,13,11
113,41,27,28,35,11,19,20,29,36,33
149,35,36,43,51,59,34,44,42,52,60
152,21,29,28,6,7,8,14,15,16,22
157,1,2,9,10,17,18,25,26,33,41
161,1,2,9,10,17,18,25,26,34,11
187,4,5,12,13,3,21,11,19,20,29
217,28,21,4,5,12,13,20,29,36,52
255,29,27,28,35,21,37,43,41,11,19
261,6,7,8,14,15,16,22,23,24,30
269,33,41,1,2,9,10,17,18,25,26
283,21,5,13,29,27,28,3,6,7,8
298,21,29,5,13,28,37,20,36,45,4
305,20,27,28,4,5,12,13,3,21,11
306,21,41,29,6,7,8,14,15,16,22
336,35,43,37,42,29,36,45,27,28,34
340,50,58,42,49,57,34,35,37,43,54
352,6,7,8,14,15,16,22,23,24,30
358,21,37,29,36,45,53,28,34,35,44
375,41,33,3,21,1,2,9,10,17,18
390,6,7,8,14,15,16,22,23,24,30
396,1,2,9,10,17,18,25,26,27,28
397,37,49,57,34,35,41,42,29,36,45
401,35,37,43,29,36,45,41,42,27,28
419,3,21,27,28,35,4,5,12,13,11
424,60,51,59,50,58,53,49,57,27,35
429,33,1,2,9,10,17,18,25,26,34
450,21,41,29,6,7,8,14,15,16,22
454,54,55,56,63,64,62,38,53,46,61
467,11,19,3,1,2,9,10,17,18,25
474,27,35,43,42,60,5,13,3,21,37
478,29,21,1,2,9,10,17,18,25,26
483,28,41,20,29,36,53,33,54,55,56
488,4,12,1,2,9,10,17,18,25,26
493,21,29,5,13,28,6,7,8,14,15
528,35,37,43,42,36,45,34,44,41,51
534,27,5,13,6,7,8,14,15,16,22
552,20,4,5,12,13,27,28,3,21,11
560,29,38,39,40,47,48,54,55,56,21
562,21,29,5,13,28,37,20,36,45,4
563,39,40,35,41,43,21,37,6,7,8
586,1,2,9,10,17,18,25,26,27,33
598,29,27,28,35,21,37,43,41,11,19
599,29,21,37,27,28,35,13,41,11,19
600,41,1,2,9,10,17,18,25,26,27
604,11,19,1,2,9,10,17,18,25,26
607,4,5,12,13,3,21,11,19,20,29
621,5,13,27,3,21,11,19,20,29,4
663,21,6,7,8,14,15,16,22,23,24
665,21,29,28,5,13,6,7,8,14,15
673,39,40,6,7,8,14,15,16,22,23
680,42,5,13,1,2,9,10,17,18,25
694,39,40,21,6,7,8,14,15,16,22
707,3,11,19,4,12,1,2,9,10,17
712,4,5,12,13,3,21,37,11,19,20
723,27,5,11,13,19,20,29,1,2,9
754,21,29,5,13,28,41,20,6,7,8
760,4,5,12,13,3,21,37,11,19,20
766,51,59,50,58,60,35,37,49,57,43
795,6,7,8,14,15,16,22,23,24,30
797,21,29,28,4,5,12,13,3,11,19
799,1,2,9,10,17,18,25,26,3,33
801,4,5,12,13,33,3,21,37,11,19
809,21,37,29,36,45,28,35,44,43,5
813,29,27,28,35,41,21,37,43,11,19
834,34,35,43,42,60,37,11,19,29,36
837,29,27,28,21,5,11,13,19,20,41
845,21,29,5,13,6,7,8,14,15,16
846,21,29,4,5,12,13,1,2,9,10
851,27,28,11,19,20,29,3,21,1,2
