1,ADMP,BAMBIA,BMP4,BMP7A,CHD,EVE1,FGF8A,FOXI1,HES6,ISM1
2,NDR1,NDR2,NOTO,SOX3,SP5L,TA,TBX16,VED,VOX,WNT11
11,20,27,28,11,19,1,2,9,10,17
17,3,4,12,11,19,1,2,9,10,17
19,1,2,9,10,17,18,25,26,11,19
22,20,27,28,3,4,12,5,13,21,11
27,5,13,21,6,14,22,30,29,1,2
29,11,19,1,2,9,10,17,18,20,25
46,35,41,33,43,52,20,27,28,36,54
52,36,59,35,44,60,51,61,37,53,43
59,6,14,22,30,20,27,28,5,13,21
60,41,33,1,2,9,10,17,18,20,25
65,20,27,28,3,4,12,5,13,21,11
71,20,27,28,36,5,13,21,35,44,29
93,35,43,52,54,42,59,36,37,53,41
96,6,14,22,30,7,8,15,16,23,24
100,41,33,1,2,9,10,17,18,20,25
116,39,40,47,48,7,8,15,16,23,24
134,41,1,2,9,10,17,18,20,25,26
135,6,14,22,30,5,13,21,41,1,2
148,5,13,21,6,14,22,30,1,2,9
151,53,55,56,54,39,40,38,47,48,7
176,20,27,28,3,4,12,5,13,21,41
177,6,14,22,30,5,13,21,20,27,28
191,3,4,12,33,5,13,21,11,19,6
193,6,14,22,30,29,38,5,13,21,46
195,36,53,35,44,60,43,52,54,61,42
221,6,14,22,30,7,8,15,16,23,24
223,1,2,9,10,17,18,25,26,11,19
231,20,27,28,36,11,19,35,44,41,3
234,41,33,29,37,49,57,1,2,9,10
238,7,8,15,16,23,24,31,32,39,40
264,36,35,44,43,52,42,59,20,27,28
272,3,4,12,11,19,1,2,9,10,17
278,20,27,28,36,35,44,11,19,43,1
287,20,27,28,36,35,44,5,13,21,43
292,41,33,1,2,9,10,17,18,20,25
317,7,8,15,16,23,24,31,32,39,40
330,42,1,2,9,10,17,18,20,25,26
335,35,43,52,42,59,54,41,51,36,37
343,20,27,28,36,35,44,43,52,11,19
348,20,27,28,3,4,12,35,11,19,41
349,20,27,28,36,39,40,41,3,4,12
380,3,4,12,11,19,1,2,9,10,17
399,1,2,9,10,17,18,20,25,26,27
408,1,2,9,10,17,18,20,25,26,27
434,20,27,28,35,41,11,19,29,33,43
468,3,4,12,11,19,1,2,9,10,17
473,20,27,28,3,4,5,12,13,21,35
491,5,13,21,6,14,22,30,29,20,27
499,7,8,15,16,23,24,31,32,39,40
525,36,35,44,43,52,42,59,41,51,20
530,47,48,39,40,7,8,15,16,23,24
532,3,4,12,5,13,21,11,19,1,2
535,39,40,7,8,15,16,23,24,31,32
539,5,13,21,29,20,27,28,3,4,12
550,7,8,15,16,23,24,31,32,39,40
564,6,14,22,30,5,13,21,7,8,15
575,33,1,2,9,10,17,18,25,26,34
588,5,13,21,29,37,3,4,12,11,19
591,7,8,15,16,23,24,31,32,39,40
635,35,41,5,13,21,33,43,3,4,12
636,38,37,46,35,45,36,6,14,22,30
645,5,13,21,29,6,14,22,30,7,8
671,6,14,22,30,7,8,15,16,23,24
672,20,27,28,3,4,5,12,13,21,11
685,20,27,28,3,4,12,5,13,21,11
696,5,13,21,34,35,29,37,33,43,52
708,7,8,15,16,23,24,31,32,39,40
720,29,6,14,20,22,27,28,30,5,13
721,11,19,1,2,9,10,17,18,20,25
737,20,27,28,3,4,12,6,14,22,30
738,5,13,21,20,27,28,29,6,14,22
747,63,64,62,55,56,61,60,54,59,50
768,7,8,15,16,23,24,31,32,39,40
777,7,8,15,16,23,24,31,32,39,40
785,3,4,12,11,19,1,2,9,10,17
803,3,4,12,11,19,33,1,2,9,10
804,5,13,21,6,14,22,30,29,20,27
806,35,60,54,43,52,42,53,59,62,41
807,5,13,21,6,14,22,30,20,27,28
808,3,4,12,11,19,1,2,9,10,17
817,35,60,54,43,52,42,53,59,62,41
826,3,4,12,33,5,13,21,11,19,6
836,7,8,15,16,23,24,31,32,39,40
840,5,13,21,6,14,22,30,29,37,20
844,3,4,12,11,19,1,2,9,10,17
847,6,14,22,30,7,8,15,16,23,24
