1,ADMP,APLNRB,AXIN2,BAMBIA,BMP4,CHD,CST3,EVE1,FOXI1,GATA2A
2,GATA5,HES6,NOTO,SOX3,SP5L,TA,TBX16,VED,VENT,VOX
3,27,41,29,37,33,35,5,13,11,19
4,6,7,8,14,15,16,22,23,24,30
16,42,33,34,35,50,58,1,2,9,10
23,37,36,35,44,45,38,43,52,29,53
34,29,41,1,2,9,10,17,18,25,26
38,6,7,8,14,15,16,22,23,24,30
44,35,38,39,40,29,37,47,48,6,7
56,29,11,19,21,1,2,9,10,17,18
64,3,11,19,1,2,9,10,17,18,25
82,21,27,28,41,6,7,8,14,15,16
108,27,35,5,13,43,21,42,3,29,37
111,35,43,42,21,27,28,36,41,59,34
114,3,11,19,1,2,9,10,17,18,25
126,41,33,34,35,29,37,49,57,42,1
131,60,59,51,35,53,50,58,43,52,49
138,42,33,34,35,41,43,1,2,9,10
163,33,34,41,49,57,1,2,9,10,17
164,6,7,8,14,15,16,22,23,24,30
165,35,41,43,3,27,28,36,4,12,21
174,33,4,12,1,2,9,10,17,18,25
201,1,2,9,10,17,18,25,26,33,11
204,21,3,29,6,7,8,14,15,16,22
205,5,13,4,12,21,3,29,11,19,20
213,41,1,2,9,10,17,18,25,26,27
222,29,37,47,48,53,38,39,40,54,55
232,28,36,29,37,47,48,53,38,39,40
252,21,29,37,53,42,45,41,5,13,28
265,21,29,37,53,45,28,36,61,35,44
275,53,60,35,41,59,49,57,43,52,27
282,27,28,11,19,20,35,3,29,41,53
286,33,3,11,19,41,1,2,5,9,10
288,41,1,2,9,10,17,18,25,26,27
293,29,21,5,13,37,27,28,6,7,8
294,53,61,37,50,58,42,60,54,55,56
297,21,41,29,5,13,6,7,8,14,15
329,21,41,29,5,13,6,7,8,14,15
341,21,29,6,7,8,14,15,16,22,23
342,42,34,35,41,43,1,2,9,10,17
345,27,28,29,35,11,19,20,21,41,49
356,6,7,8,14,15,16,22,23,24,30
373,3,11,19,4,12,1,2,9,10,17
384,41,39,40,21,6,7,8,14,15,16
389,6,7,8,14,15,16,22,23,24,30
398,27,33,35,41,11,19,20,43,1,2
418,6,7,8,14,15,16,22,23,24,30
420,21,41,29,37,35,5,13,39,40,45
426,29,37,53,35,51,45,43,21,50,58
432,41,42,33,34,35,29,37,1,2,9
433,27,35,43,3,42,60,11,19,20,41
441,53,61,54,55,56,52,60,37,59,51
449,5,13,27,21,3,29,6,7,8,14
451,33,1,2,9,10,17,18,25,26,27
463,11,19,1,2,9,10,17,18,25,26
464,35,41,43,27,28,36,42,60,33,34
482,53,60,61,59,35,29,37,51,54,55
505,27,11,19,20,3,1,2,9,10,17
519,61,53,60,62,59,29,37,51,54,55
529,42,34,35,41,43,1,2,9,10,17
547,6,7,8,14,15,16,22,23,24,30
548,27,28,35,41,11,19,20,43,1,2
569,29,28,21,37,41,47,48,53,11,19
579,21,28,29,5,13,20,4,12,6,7
592,39,40,54,55,56,60,49,57,6,7
603,53,60,61,59,35,54,55,56,63,64
632,41,49,57,54,55,56,53,42,60,33
638,6,7,8,14,15,16,22,23,24,30
653,41,28,36,42,20,33,34,35,44,29
659,21,35,29,37,43,42,45,5,13,41
661,21,29,5,13,28,37,6,7,8,14
669,41,21,6,7,8,14,15,16,22,23
702,34,35,43,11,19,42,1,2,9,10
703,6,7,8,14,15,16,22,23,24,30
719,6,7,8,14,15,16,22,23,24,30
727,21,27,28,41,3,29,35,5,13,11
732,21,29,5,13,28,4,12,3,37,6
746,1,2,9,10,17,18,25,26,33,11
750,11,19,1,2,9,10,17,18,25,26
751,5,13,4,12,21,3,29,11,19,20
764,5,13,21,29,20,6,7,8,14,15
765,27,28,11,19,20,35,3,29,41,59
784,35,41,43,27,28,36,42,11,19,20
820,34,35,6,7,8,14,15,16,22,23
822,28,20,52,27,36,29,53,35,44,4
827,1,2,9,10,17,18,25,26,27,41
848,6,7,8,14,15,16,22,23,24,30
850,41,33,34,35,29,37,49,57,42,1
