1,VED,NOG1,SOX3,APLNRB,BAMBIA,TPH1B,VOX,ADMP,EVE1,CST3
2,LFT2,WNT11,SZL,OTX1A,SNAI1A,FOXD3,FOXI1,FOXD5,OSR1,HES6
3,CHD,ISM1,SP5L,NOTO,GSC,TBX16,GATA2A,TA,BMP4,GATA5
4,BMP7A,MIXL1,OTX1B,VENT,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,LFT1
33,28,29,20,21,19,27,36,44,4,12
54,27,33,35,19,20,25,26,41,11,17
75,30,6,14,22,43,21,36,42,38,29
84,17,18,1,2,9,10,19,20,25,26
86,28,21,22,6,14,20,36,5,13,29
90,31,22,7,15,23,30,6,14,8,16
91,34,42,1,2,9,10,43,3,41,17
95,28,19,20,27,36,29,17,18,35,21
119,35,43,49,57,36,41,42,28,34,7
122,21,22,7,15,23,36,29,30,28,6
133,1,2,9,10,25,26,3,17,18,11
143,4,12,36,3,28,11,21,1,2,9
155,8,16,24,32,7,15,23,31,40,22
162,20,36,4,12,21,5,13,28,3,29
179,36,42,44,37,43,28,34,35,21,45
200,3,1,2,9,10,4,12,11,17,18
206,21,22,7,15,23,29,28,30,8,16
209,8,16,24,31,32,7,15,23,4,12
216,36,28,35,19,20,27,43,11,17,18
236,1,2,9,10,5,13,3,17,18,11
246,17,18,1,2,9,10,19,20,25,26
251,5,13,4,12,21,1,2,9,10,20
254,4,12,3,5,13,11,1,2,9,10
259,19,20,27,3,17,18,28,11,4,12
267,21,28,3,29,19,20,27,36,30,4
284,19,20,27,36,44,43,17,18,28,35
295,52,38,28,37,54,29,20,36,44,39
302,52,60,31,19,44,45,59,7,15,23
310,28,35,29,19,20,27,36,21,30,11
318,3,36,4,12,21,11,5,13,28,35
325,7,15,23,21,8,16,24,31,32,29
346,41,42,33,17,18,34,35,43,3,1
363,35,59,52,60,36,51,43,34,42,44
367,52,60,31,21,45,43,36,44,22,7
377,7,15,23,8,16,24,31,32,30,39
385,7,15,23,8,16,24,31,32,21,22
391,52,37,35,43,36,44,45,38,60,42
392,17,18,3,1,2,9,10,19,25,26
402,30,6,14,8,16,24,32,21,22,29
407,8,16,24,32,7,15,23,40,30,41
412,44,28,21,45,52,30,20,36,29,37
413,34,35,42,36,50,58,43,49,57,37
430,34,35,42,1,2,9,10,36,3,5
461,19,30,17,18,28,22,11,1,2,9
462,34,35,43,42,41,3,50,58,8,16
476,17,18,1,2,9,10,19,20,25,26
477,36,21,43,28,35,30,37,41,3,29
489,28,19,20,27,36,11,3,29,17,18
490,35,43,19,20,27,36,41,33,42,30
496,21,5,13,29,22,6,14,17,18,28
513,27,41,28,35,43,19,20,25,26,36
518,3,11,1,2,9,10,19,4,12,17
533,5,13,4,12,21,20,27,6,14,3
541,19,3,17,18,11,4,12,33,1,2
545,27,49,57,43,28,35,41,42,59,29
546,21,22,29,28,37,30,6,14,5,13
553,36,37,28,35,30,29,43,22,38,19
580,56,64,63,43,42,55,41,35,50,58
587,52,36,44,60,59,28,35,53,43,51
590,43,35,41,30,42,27,36,22,21,6
602,33,19,25,26,27,3,17,18,34,35
617,42,17,18,28,34,35,41,1,2,9
630,27,5,13,3,41,11,43,1,2,9
642,54,55,52,60,53,56,46,59,51,38
646,36,44,43,28,35,42,52,20,27,37
648,30,22,7,15,23,19,20,4,12,21
677,21,29,28,5,13,3,19,20,27,4
692,56,64,63,55,30,8,16,24,32,7
693,45,44,37,52,36,38,46,60,21,39
697,56,55,64,63,54,62,53,42,59,47
698,56,64,63,40,55,52,60,54,48,16
701,6,14,30,22,29,7,15,23,38,21
704,53,52,55,61,54,59,60,49,57,51
710,63,56,64,55,50,58,49,57,43,42
726,27,28,51,19,20,25,26,11,59,17
730,17,18,28,1,2,9,10,19,20,25
734,37,52,21,45,36,44,43,29,28,35
736,7,15,23,8,16,24,31,32,39,40
739,43,35,42,59,27,36,50,58,51,21
741,7,15,23,22,8,16,21,24,31,32
756,33,19,25,26,27,43,17,18,34,35
761,59,52,60,51,43,35,42,21,45,53
770,8,16,24,32,7,15,23,40,31,22
835,27,3,11,4,12,1,2,9,10,19
839,19,25,26,27,29,17,18,28,34,35
