1,VED,SOX3,NOG1,APLNRB,BAMBIA,VOX,ADMP,TPH1B,EVE1,CST3
2,SZL,FOXD3,WNT11,OTX1A,SNAI1A,ISM1,LFT2,OSR1,FOXI1,FOXD5
3,HES6,SP5L,NOTO,CHD,GSC,TBX16,GATA2A,TA,BMP4,BMP7A
4,OTX1B,GATA5,MIXL1,VENT,BMP2B,FOXB1A,CDX4,AXIN2,FGF8A,ID3
10,29,28,44,21,45,37,39,19,20,27
30,1,2,9,10,11,41,6,14,3,29
37,35,21,43,30,28,36,3,29,41,42
40,44,21,45,52,29,39,37,28,36,43
41,30,22,7,15,23,21,6,14,8,16
47,21,30,22,29,6,14,28,7,15,23
50,8,16,24,32,48,7,15,23,40,30
79,21,5,13,28,29,20,22,4,12,6
97,3,11,4,12,1,2,9,10,19,17
123,28,36,20,29,7,15,23,44,21,8
137,36,44,35,43,51,28,52,19,20,27
156,36,35,43,21,28,44,41,42,37,3
160,36,37,54,52,28,44,38,29,20,34
167,7,15,23,22,8,16,24,31,32,6
173,7,15,23,6,14,8,16,24,31,32
183,21,29,28,36,22,7,15,23,5,13
184,17,18,28,36,41,1,2,9,10,19
199,30,7,15,23,22,8,16,24,31,32
202,30,7,15,23,39,40,22,8,16,24
203,7,15,23,30,8,16,24,31,32,22
210,36,30,35,43,22,38,28,44,41,52
225,36,35,43,42,34,7,15,23,39,40
229,11,28,3,1,2,9,10,19,20,27
230,19,17,18,3,11,8,16,24,32,5
233,7,15,23,22,8,16,24,31,32,21
248,30,8,16,24,32,22,48,7,15,23
262,27,33,41,19,20,25,26,35,43,11
263,30,6,14,31,3,22,7,15,23,39
271,33,41,34,35,30,17,18,28,36,29
289,27,41,28,30,29,19,20,25,26,35
308,35,36,37,29,43,34,30,7,15,21
320,36,37,28,44,21,45,43,35,20,42
321,34,35,19,33,7,15,23,17,18,28
326,21,29,28,19,20,27,3,37,5,13
334,7,15,23,8,16,24,31,32,22,30
347,49,57,41,42,34,35,43,50,58,54
361,7,15,23,8,16,24,31,32,22,39
388,3,19,4,12,21,11,17,18,28,36
406,59,52,36,44,51,43,35,60,42,54
410,21,30,29,22,28,6,14,19,20,27
417,35,36,43,41,34,27,42,59,33,31
422,52,21,28,36,44,59,29,30,20,35
444,21,7,15,23,29,28,36,8,16,24
445,19,17,18,28,11,1,2,9,10,20
446,7,15,23,8,16,24,31,32,22,30
458,28,19,20,27,11,17,18,36,3,29
460,35,36,43,34,42,33,44,51,37,38
469,30,36,22,6,14,7,15,21,23,39
498,41,43,35,42,49,57,36,21,34,27
501,3,6,14,4,12,36,11,5,13,22
508,27,41,35,43,28,36,19,20,25,26
515,28,19,20,27,11,17,18,36,3,29
520,17,18,4,12,1,2,9,10,19,20
522,28,19,20,27,29,21,17,18,36,11
538,31,7,15,23,28,21,6,14,5,13
540,54,35,60,43,38,36,52,42,59,56
555,44,39,40,45,52,43,38,47,48,42
556,52,43,35,60,42,59,36,44,50,58
576,51,49,57,43,35,27,41,42,59,28
605,7,15,23,8,16,24,31,32,30,39
616,7,15,23,6,14,22,8,16,24,31
619,37,36,44,45,43,35,42,52,38,21
622,7,15,23,6,14,8,16,24,31,32
626,7,15,23,6,14,8,16,24,31,32
639,19,20,4,12,17,18,28,11,5,13
657,30,22,6,14,49,57,34,35,7,15
658,52,36,44,43,35,42,59,31,30,51
662,41,27,35,43,28,33,42,29,19,20
666,30,22,21,6,14,17,18,28,36,7
686,8,16,24,32,48,7,15,23,40,30
699,8,16,24,32,7,15,23,31,22,30
706,52,55,59,51,31,63,35,60,15,23
711,7,15,23,6,14,8,16,24,31,32
717,25,26,33,17,18,1,2,9,10,19
762,53,52,36,44,43,35,50,58,42,59
773,30,43,22,36,7,15,23,42,35,6
775,30,6,14,8,16,24,32,22,7,15
776,28,29,19,20,27,35,21,43,11,37
786,28,36,21,20,22,29,37,44,5,13
787,28,19,20,27,11,17,18,3,1,2
792,36,44,35,37,52,43,21,45,28,42
794,21,29,41,30,40,28,36,22,5,13
810,36,37,4,12,21,5,13,28,44,3
816,3,11,4,12,1,2,9,10,19,25
825,40,8,16,24,32,48,7,15,23,39
830,6,14,22,7,15,23,5,13,21,30
