1,NOG1,VED,SOX3,APLNRB,BAMBIA,VOX,ADMP,EVE1,CST3,TPH1B
2,SZL,FOXD3,WNT11,OTX1A,SNAI1A,FOXI1,ISM1,OSR1,FOXD5,HES6
3,SP5L,NOTO,CHD,LFT2,GSC,TBX16,GATA2A,TA,BMP7A,BMP4
4,MIXL1,GATA5,OTX1B,VENT,BMP2B,FOXB1A,CDX4,LFT1,FGF8A,AXIN2
5,8,16,24,32,7,15,23,31,22,40
7,7,15,23,8,16,24,31,32,22,30
20,21,3,29,5,13,28,11,4,12,6
35,42,17,18,30,21,1,2,9,10,19
36,20,25,26,27,4,12,21,5,13,17
49,5,13,20,36,28,4,12,21,3,29
53,31,7,15,23,6,14,3,22,11,1
63,63,56,64,55,34,42,50,58,7,15
72,50,58,49,57,56,64,42,24,32,63
89,33,17,18,1,2,9,10,19,25,26
102,7,15,23,8,16,24,31,32,30,22
115,21,22,29,28,30,6,14,37,5,13
120,33,29,17,18,34,41,21,1,2,9
121,8,16,24,32,7,15,23,40,30,31
125,35,43,36,41,42,37,28,34,29,19
128,28,21,5,13,3,29,19,20,27,36
130,17,18,28,34,35,41,42,33,1,2
139,7,15,23,8,16,24,31,32,30,22
145,7,15,23,22,36,8,16,24,31,32
146,1,2,9,10,3,17,18,11,4,12
158,56,64,8,16,24,32,63,7,15,23
159,31,7,15,23,28,21,29,8,16,24
172,36,35,43,37,44,52,60,42,59,45
194,4,12,3,28,11,1,2,9,10,19
226,21,28,3,29,19,20,27,4,12,11
227,7,15,23,30,8,16,24,31,32,22
242,37,21,36,29,17,18,28,34,35,42
258,7,15,23,8,16,24,31,32,21,22
277,41,42,34,35,43,36,33,28,20,25
291,59,60,51,52,35,43,50,58,53,61
301,19,20,27,36,17,18,28,35,7,15
319,60,59,53,61,51,52,45,54,36,44
333,19,25,26,27,3,17,18,28,34,35
337,7,15,23,22,8,16,24,31,32,6
344,7,15,23,8,16,24,31,32,21,22
360,19,20,27,17,18,28,11,1,2,9
366,36,44,54,37,28,35,38,4,12,21
368,37,21,45,29,5,13,36,44,22,28
371,36,42,41,17,18,28,34,35,43,1
372,42,36,34,35,43,37,44,41,21,45
376,21,28,3,29,19,20,27,36,4,12
383,30,28,22,20,25,26,27,41,6,14
394,17,18,1,2,9,10,19,20,25,26
395,34,33,25,26,17,18,35,41,42,1
400,19,25,26,27,17,18,28,34,35,11
409,7,15,23,8,16,24,31,32,22,30
414,7,15,23,8,16,24,31,32,22,30
435,34,36,17,18,35,42,33,1,2,9
438,21,28,3,29,19,20,27,36,4,12
452,19,3,17,18,28,11,4,12,21,1
456,40,48,37,30,21,56,64,29,8,16
459,49,57,43,35,54,41,42,59,30,27
471,37,21,45,36,44,29,28,52,5,13
484,39,40,47,48,34,55,54,53,49,57
495,42,34,35,41,36,44,43,37,49,57
497,36,44,45,52,37,39,43,21,31,42
504,36,11,28,35,3,43,1,2,9,10
506,43,50,58,42,59,34,35,49,57,53
510,7,15,23,8,16,24,31,32,22,30
549,5,13,21,29,28,4,12,6,14,20
594,19,20,27,29,21,17,18,28,11,5
610,7,15,23,8,16,24,31,32,22,39
618,5,13,4,12,21,28,3,29,11,37
627,28,20,36,29,30,21,22,38,8,16
633,7,15,23,8,16,24,31,32,22,21
649,35,43,49,57,41,42,30,7,15,23
667,22,21,6,14,30,29,7,15,23,28
679,21,7,15,23,22,29,5,13,8,16
681,5,13,6,14,21,7,15,23,22,3
683,28,19,20,4,12,11,17,18,3,29
689,7,15,23,8,16,24,31,32,21,22
700,40,8,16,24,32,48,7,15,23,39
715,31,7,15,23,22,8,16,24,32,30
724,36,43,30,35,54,37,42,52,21,45
742,41,42,21,17,18,28,34,35,43,3
744,45,52,44,60,37,43,46,53,42,59
749,4,12,3,28,11,21,1,2,9,10
781,43,42,4,12,30,34,35,3,6,14
793,28,20,36,4,12,21,35,30,3,29
814,28,30,7,15,23,22,21,20,27,36
818,7,15,23,22,8,16,21,24,31,32
823,36,35,37,43,28,34,21,42,19,20
831,7,15,23,30,6,14,28,4,12,21
843,8,16,24,32,48,7,15,23,40,56
849,35,43,42,34,50,58,51,36,49,57
