1,VED,NOG1,SOX3,APLNRB,BAMBIA,ISM1,VOX,ADMP,EVE1,CST3
2,WNT11,FOXI1,SZL,SNAI1A,FOXD3,LFT2,TPH1B,OTX1A,OSR1,SP5L
3,FOXD5,HES6,NOTO,CHD,GSC,TBX16,GATA2A,TA,BMP4,BMP7A
4,GATA5,MIXL1,VENT,BMP2B,OTX1B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
2,19,20,25,26,27,4,12,11,33,17
8,3,11,4,12,1,2,9,10,19,17
31,17,18,28,36,41,1,2,9,10,19
32,27,35,30,28,36,33,29,41,22,38
43,28,29,30,19,20,27,7,15,23,35
48,28,36,42,20,41,34,35,43,17,18
74,7,15,23,8,16,24,31,32,22,5
76,41,42,28,36,20,25,26,27,34,35
78,8,16,24,32,7,15,23,31,22,40
88,28,36,29,19,20,27,30,35,43,7
98,30,22,21,36,29,6,14,37,38,5
112,28,36,4,12,21,35,20,27,3,29
117,59,35,51,43,54,34,50,58,42,38
118,21,29,28,36,44,31,30,45,7,15
124,34,35,25,26,27,41,42,33,17,18
127,21,28,5,13,22,3,29,19,20,27
150,3,19,4,12,11,17,18,28,36,1
153,59,53,51,43,35,60,42,50,58,52
181,8,16,24,32,7,15,23,31,22,40
198,22,6,14,21,30,7,15,23,5,13
208,31,21,7,15,23,22,29,5,13,28
215,60,59,51,52,44,43,45,53,61,35
218,43,35,49,57,30,7,15,23,41,28
224,43,42,36,41,4,12,34,35,50,58
276,31,7,15,23,39,8,16,24,32,22
280,52,42,59,53,34,35,60,43,50,58
290,8,16,24,32,30,21,29,28,36,22
296,35,43,36,21,51,37,50,58,34,60
313,4,12,3,11,1,2,9,10,19,20
327,28,29,20,21,17,18,36,1,2,9
328,17,18,1,2,9,10,19,20,25,26
354,28,19,20,27,11,17,18,36,3,29
369,5,13,3,4,12,21,11,6,14,28
374,41,34,35,42,33,31,49,57,43,7
378,42,34,35,43,50,58,37,36,53,61
381,59,51,60,53,61,52,50,58,43,54
386,54,42,59,50,58,51,43,49,57,53
416,42,34,35,43,45,36,44,37,41,38
423,17,18,28,7,15,21,23,22,1,2
425,53,61,60,54,59,52,51,62,44,45
437,30,21,7,15,23,22,29,28,8,16
440,17,18,1,2,9,10,19,25,26,11
442,43,41,35,27,42,28,36,30,7,15
443,49,57,30,43,34,35,22,41,42,16
453,34,35,19,30,3,33,22,17,18,28
470,7,15,23,8,16,24,31,32,22,17
494,59,51,43,27,35,49,57,30,41,28
507,43,53,35,42,59,50,58,52,51,49
509,41,35,43,28,36,29,33,21,19,20
514,22,28,36,44,21,6,14,30,43,5
524,35,43,51,28,36,44,29,52,19,20
526,42,43,34,35,41,36,37,29,1,2
544,6,14,5,13,7,15,23,22,21,41
559,52,53,59,61,44,45,54,51,49,57
565,25,26,27,30,21,22,17,18,28,6
570,8,16,24,32,21,3,29,7,15,23
571,7,15,23,30,8,16,24,31,32,22
573,22,6,14,30,37,7,15,23,39,40
574,7,15,23,8,16,24,31,32,22,30
577,17,18,3,1,2,9,10,19,20,25
578,36,34,35,42,43,17,18,28,44,37
582,5,13,6,14,3,22,11,4,12,21
595,8,16,24,32,7,15,23,40,30,31
620,28,20,4,12,36,11,3,29,1,2
624,35,43,41,42,59,27,34,50,58,51
625,27,35,43,49,57,11,36,33,41,42
629,21,30,29,7,15,23,39,40,22,28
637,21,29,30,28,36,7,15,23,22,35
643,8,16,24,31,32,4,7,12,15,23
644,40,8,16,24,32,48,7,15,23,39
651,30,43,22,35,50,58,42,59,6,14
652,21,28,36,35,3,29,19,20,27,30
660,20,30,4,12,21,28,36,22,5,13
668,8,16,24,32,7,15,23,31,40,22
713,41,53,35,43,33,27,42,34,54,49
743,37,36,21,30,35,29,22,38,28,45
767,7,15,23,30,8,16,24,31,32,21
771,7,15,23,22,41,8,16,24,31,32
780,17,18,28,36,1,2,9,10,19,20
789,5,13,22,21,6,14,20,27,30,29
790,7,15,23,8,16,24,31,32,22,30
791,28,3,19,20,27,35,54,4,12,21
811,36,35,43,37,30,49,57,28,44,29
824,52,54,60,38,39,45,46,44,53,31
838,22,7,15,21,23,28,30,29,6,14
