1,NOG1,VED,SOX3,BAMBIA,APLNRB,FOXD3,VOX,ADMP,EVE1,CST3
2,SZL,WNT11,TPH1B,OTX1A,SNAI1A,OSR1,FOXI1,ISM1,FOXD5,HES6
3,SP5L,NOTO,LFT2,GSC,CHD,TBX16,GATA2A,GATA5,TA,BMP4
4,BMP7A,VENT,MIXL1,FOXB1A,OTX1B,BMP2B,CDX4,AXIN2,ID3,FGF8A
6,40,8,16,24,32,48,7,15,23,39
13,31,7,15,23,6,14,8,16,24,32
18,28,36,29,30,20,35,43,21,22,44
61,7,15,23,30,8,16,24,31,32,22
70,17,18,28,36,41,42,30,3,1,2
80,7,15,23,8,16,24,31,32,22,39
81,63,55,56,64,62,54,53,61,50,58
144,21,31,29,59,7,15,23,39,52,28
154,34,17,18,33,42,1,2,9,10,19
169,17,18,33,1,2,9,10,19,20,25
178,59,52,36,44,51,43,35,60,42,45
185,19,11,17,18,28,36,3,1,2,9
186,28,36,3,19,20,27,35,4,12,21
190,7,15,23,22,8,16,24,31,32,21
196,7,15,23,6,14,8,16,24,31,32
207,7,15,23,28,36,4,12,21,6,14
212,30,22,38,19,29,14,37,46,17,18
220,34,35,43,42,59,50,58,33,36,51
240,36,28,37,29,34,35,20,21,42,30
241,8,16,24,32,7,15,23,40,31,30
244,17,18,28,36,29,34,35,1,2,9
266,19,17,18,28,11,1,2,9,10,20
273,3,1,2,9,10,4,12,11,17,18
274,41,29,17,18,28,36,30,21,1,2
285,27,41,21,28,3,29,43,19,20,25
299,36,35,28,21,30,43,34,37,19,20
303,33,36,41,7,15,23,22,34,35,42
304,59,51,43,35,42,50,58,52,49,57
309,31,7,15,23,33,19,25,26,27,22
314,6,14,4,12,3,41,22,28,43,5
316,8,16,24,32,7,15,23,40,31,22
323,19,3,17,18,11,4,12,1,2,9
339,28,36,21,30,7,15,23,22,20,29
351,28,20,17,18,36,29,4,12,21,30
357,36,35,28,19,20,27,34,11,37,43
359,17,18,28,41,1,2,9,10,19,20
362,7,15,23,17,18,21,8,16,24,31
365,28,36,19,20,27,35,11,17,18,3
370,36,43,21,35,42,7,15,23,29,37
382,43,42,35,41,36,50,58,34,59,27
393,28,36,29,20,30,21,44,52,22,37
404,34,35,3,33,43,11,42,59,1,2
455,19,11,17,18,3,1,2,9,10,20
466,50,58,49,57,42,59,43,51,53,61
472,39,31,47,7,15,23,40,30,44,8
479,17,18,21,1,2,9,10,19,25,26
485,63,56,64,55,54,62,30,53,22,38
500,36,34,35,19,20,33,37,17,18,28
511,8,16,24,32,7,15,23,40,31,30
516,35,43,49,57,36,41,42,34,51,30
521,36,21,35,19,20,27,30,3,29,37
523,59,52,51,43,35,60,42,36,44,50
527,19,3,17,18,11,4,12,21,33,1
536,30,22,7,15,23,36,6,14,8,16
537,31,7,15,23,20,21,28,5,13,29
558,33,41,34,35,17,18,28,36,29,21
566,7,15,23,6,14,8,16,24,31,32
583,7,15,23,22,8,16,24,31,32,6
596,60,37,52,53,21,45,43,35,29,61
608,19,17,18,28,36,11,34,35,1,2
613,7,15,23,41,22,8,16,24,31,32
631,5,13,3,11,4,12,21,1,2,9
647,8,16,24,32,7,15,23,40,30,31
654,3,11,4,12,34,35,1,2,9,10
682,36,35,43,28,44,52,19,20,27,42
687,4,12,3,11,7,15,23,39,30,1
690,7,15,23,8,16,24,31,32,22,39
705,52,59,60,51,53,61,35,54,43,55
718,21,34,35,42,7,15,23,22,29,37
735,3,11,1,2,9,10,19,4,12,17
740,7,15,23,6,14,8,16,24,31,32
745,8,16,24,32,41,21,7,15,23,5
752,4,12,1,2,9,10,3,17,18,11
753,28,36,20,44,37,29,19,27,35,43
755,31,22,7,15,23,30,6,14,8,16
757,43,41,42,34,35,49,57,33,51,50
758,35,28,36,19,20,27,33,11,34,3
759,39,31,47,55,60,7,15,23,40,52
782,40,8,16,24,32,48,7,15,23,39
788,31,7,15,23,8,16,24,32,22,39
798,8,16,24,31,32,7,15,23,22,30
805,39,45,44,31,38,47,52,37,7,15
812,6,14,22,7,15,23,30,8,16,24
828,43,35,27,30,42,28,36,50,58,22
841,8,16,24,32,7,15,23,31,22,28
