1,NOG1,VED,SOX3,BAMBIA,VOX,ADMP,APLNRB,EVE1,FOXD3,CST3
2,ISM1,OSR1,TPH1B,WNT11,FOXI1,SNAI1A,OTX1A,LFT2,SZL,FOXD5
3,HES6,SP5L,NOTO,CHD,TBX16,GATA2A,GSC,TA,BMP4,BMP7A
4,MIXL1,GATA5,OTX1B,VENT,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
1,7,15,23,8,16,24,31,32,22,39
9,21,5,13,35,27,3,29,41,33,4
24,42,34,35,43,36,41,37,53,50,58
25,36,19,20,27,35,43,11,17,18,28
28,31,21,29,22,7,15,23,28,36,5
55,35,43,36,42,37,34,41,29,49,57
58,3,19,4,12,21,11,17,18,28,29
69,8,16,24,32,7,15,23,40,21,30
83,59,60,53,61,29,54,51,52,21,45
87,59,52,51,43,35,60,36,44,42,53
92,11,1,2,9,10,19,3,4,12,17
94,7,15,23,39,40,8,16,24,31,32
104,11,3,1,2,9,10,19,20,27,4
106,6,14,5,13,7,15,23,22,21,8
110,27,35,43,30,49,57,28,36,3,41
113,41,35,43,28,36,33,19,20,27,42
149,36,44,35,51,43,52,42,59,34,60
152,8,16,24,32,7,15,23,40,28,30
157,17,18,1,2,9,10,19,25,26,29
161,17,18,1,2,9,10,19,25,26,34
187,4,12,3,11,1,2,9,10,19,20
217,44,52,28,36,20,4,12,21,45,37
255,35,43,28,36,41,42,29,30,19,20
261,7,15,23,8,16,24,31,32,22,6
269,41,33,25,26,34,17,18,42,1,2
283,27,21,28,3,29,19,20,25,26,30
298,52,21,28,36,44,43,29,35,20,41
305,20,27,28,4,12,19,25,26,3,17
306,1,2,9,10,3,17,18,28,11,4
336,52,44,43,45,35,60,42,59,37,51
340,42,50,58,63,34,35,43,54,30,56
352,7,15,23,6,14,8,16,24,31,32
358,8,16,24,32,7,15,23,6,14,22
375,41,17,18,28,36,3,33,1,2,9
390,7,15,23,30,8,16,24,31,32,22
396,1,2,9,10,11,17,18,28,3,19
397,42,34,35,53,41,37,49,57,43,36
401,35,43,36,44,41,52,42,59,53,34
419,28,3,19,20,27,35,4,12,21,11
424,31,59,51,35,7,15,23,39,30,27
429,33,34,17,18,41,1,2,9,10,19
450,30,21,22,6,14,29,7,15,23,8
454,63,55,56,64,62,54,37,38,47,48
467,19,25,26,27,11,17,18,28,3,1
474,36,35,21,19,20,27,30,43,3,29
478,41,25,26,27,17,18,28,29,33,1
483,41,28,36,20,33,34,35,42,29,30
488,17,18,28,4,12,1,2,9,10,19
493,7,15,23,8,16,24,31,32,6,14
528,43,35,42,59,52,51,44,41,34,38
534,8,16,24,32,7,15,23,40,19,20
552,20,5,13,28,22,4,12,21,6,14
560,30,59,22,38,27,41,49,57,35,6
562,21,5,13,29,22,28,36,6,14,30
563,39,31,47,7,15,23,40,30,41,8
586,25,26,27,17,18,33,1,2,9,10
598,43,35,41,42,27,34,49,57,28,36
599,29,21,35,39,37,28,36,31,38,47
600,1,2,9,10,3,17,18,28,11,4
604,19,17,18,11,3,1,2,9,10,20
607,7,15,23,30,19,20,25,26,27,4
621,5,13,3,4,12,11,1,2,9,10
663,7,15,23,30,21,29,8,16,24,31
665,21,7,15,23,39,40,29,28,8,16
673,31,7,15,23,39,8,16,24,32,40
680,1,2,9,10,5,13,17,18,3,11
694,40,8,16,24,32,7,15,21,23,39
707,3,11,4,12,1,2,9,10,19,25
712,36,4,12,3,7,15,23,5,13,11
723,27,29,19,20,25,26,30,21,41,11
754,21,29,5,13,28,4,12,6,14,30
760,5,13,4,12,21,3,29,11,8,16
766,59,36,37,50,58,29,51,35,60,43
795,22,52,7,15,23,30,6,14,54,8
797,5,13,6,14,4,12,21,3,29,22
799,25,26,17,18,1,2,9,10,19,27
801,33,41,22,7,15,23,36,43,5,13
809,36,44,37,52,21,45,28,29,35,31
813,52,44,45,43,35,60,37,29,38,41
834,43,42,34,35,19,25,26,27,41,17
837,29,21,28,30,19,20,27,22,5,13
845,28,21,31,19,20,27,30,3,29,7
846,6,14,5,13,4,12,21,22,1,2
851,27,41,35,43,28,33,19,20,25,26
