1,VED,SOX3,NOG1,APLNRB,BAMBIA,ISM1,VOX,FOXD3,ADMP,EVE1
2,CST3,SZL,WNT11,OTX1A,SNAI1A,FOXI1,OSR1,TPH1B,SP5L,LFT2
3,NOTO,FOXD5,HES6,CHD,TBX16,GATA2A,GSC,TA,BMP7A,BMP4
4,VENT,MIXL1,GATA5,OTX1B,BMP2B,CDX4,FOXB1A,FGF8A,AXIN2,ID3
11,27,41,28,19,20,25,26,35,43,11
17,8,16,24,31,32,30,28,36,7,15
19,1,2,9,10,11,17,18,3,19,25
22,20,7,15,23,28,36,30,4,12,21
27,21,30,22,29,6,14,28,36,7,15
29,11,4,12,1,2,9,10,19,20,3
46,35,43,36,41,42,34,30,37,28,44
52,43,35,50,58,42,59,27,49,57,51
59,30,21,28,6,14,3,29,8,16,24
60,17,18,28,1,2,9,10,19,20,25
65,59,8,16,24,31,32,52,21,28,36
71,8,16,24,32,7,15,23,43,31,22
93,36,21,43,35,29,41,37,42,52,28
96,7,15,23,8,16,24,31,32,22,30
100,36,42,41,49,57,34,35,43,37,30
116,8,16,24,31,32,7,15,23,39,40
134,49,57,36,41,42,34,35,43,50,58
135,31,22,7,15,21,23,30,29,28,6
148,41,30,21,34,35,42,7,15,23,22
151,56,55,63,64,54,7,15,23,39,40
176,35,6,14,27,30,3,28,22,11,4
177,30,31,21,29,22,7,15,23,39,28
191,22,21,6,14,19,30,3,29,5,13
193,7,15,23,30,8,16,24,31,32,22
195,36,20,28,44,4,12,21,43,35,19
221,7,15,23,8,16,24,31,32,22,30
223,17,18,1,2,9,10,19,25,26,11
231,28,36,19,20,27,11,35,41,3,29
234,45,37,38,60,53,54,46,52,44,39
238,30,8,16,24,31,32,7,15,21,23
264,35,43,36,42,34,27,33,41,50,58
272,3,11,1,2,9,10,19,25,26,27
278,28,36,19,20,27,35,11,17,18,3
287,37,21,45,28,36,44,29,35,31,22
292,17,18,28,29,41,1,2,9,10,19
317,7,15,23,8,16,24,31,32,22,30
330,30,28,36,22,7,15,23,21,20,6
335,60,59,53,51,52,54,43,45,38,61
343,28,36,29,19,20,27,35,43,30,7
348,28,3,19,20,27,30,35,4,12,21
349,30,7,15,23,39,40,22,8,16,24
380,28,4,12,21,19,20,25,26,27,3
399,28,4,12,21,1,2,9,10,20,3
408,17,18,28,36,1,2,9,10,19,20
434,59,53,52,51,49,57,43,35,61,54
468,3,11,4,12,1,2,9,10,19,17
473,21,35,43,7,15,23,30,28,36,8
491,7,15,23,21,8,16,24,31,32,29
499,8,16,24,31,32,7,15,23,22,35
525,52,44,59,51,36,43,45,35,60,50
530,48,40,47,39,8,16,24,32,38,7
532,3,5,13,11,4,12,21,1,2,9
535,39,31,7,15,23,40,47,8,16,24
539,21,29,30,28,7,15,23,22,20,8
550,31,7,15,23,39,8,16,24,32,22
564,7,15,23,8,16,24,31,32,22,30
575,1,2,9,10,11,17,18,33,3,19
588,43,8,16,24,32,42,3,7,15,23
591,8,16,24,32,7,15,23,40,30,31
635,43,35,41,42,33,27,34,49,57,36
636,63,56,64,7,15,23,55,8,16,24
645,7,15,23,8,16,24,31,32,22,30
671,7,15,23,6,14,8,16,24,31,32
672,21,28,3,29,19,20,27,4,12,5
685,21,28,3,29,30,19,20,27,4,12
696,31,7,15,23,39,30,21,29,8,16
708,7,15,23,8,16,24,31,32,30,39
720,30,22,43,35,29,41,6,14,42,7
721,19,11,17,18,3,1,2,9,10,20
737,19,20,27,3,17,18,28,11,4,12
738,21,30,29,22,28,36,6,14,20,5
747,64,63,56,62,55,54,48,16,24,32
768,40,8,16,24,32,48,7,15,23,39
777,8,16,24,32,7,15,23,31,22,40
785,4,12,6,14,3,28,36,22,34,35
803,4,12,28,3,19,20,25,26,27,21
804,7,15,21,23,22,8,16,24,29,31
806,8,16,24,32,30,7,15,23,40,56
807,21,29,5,13,28,22,6,14,20,30
808,22,7,15,23,30,28,36,21,6,14
817,43,42,59,35,60,31,51,52,15,23
826,7,15,23,30,8,16,24,31,32,41
836,8,16,24,32,7,15,23,6,14,5
840,22,6,14,30,7,15,21,23,36,5
844,4,12,3,11,1,2,9,10,19,20
847,7,15,23,30,8,16,24,31,32,22
