,OSR1,TA,FOXD5,SP5L,TPH1B,OTX1A,CST3,FOXB1A,HER1,TBX16
,VED,GSC,SZL,ISM1,BMP7A,BMP2B,FOXI1,FOXD3,OTX1B,AXIN2
14,7,8,15,16,23,24,32,31,40,48
15,49,57,50,58,53,61,42,62,63,64
21,62,63,64,54,56,55,17,18,20,28
39,50,58,42,43,51,59,53,61,34,35
42,1,2,9,10,3,4,5,11,12,13
57,17,18,20,28,1,2,9,10,19,21
62,17,18,20,28,1,2,9,10,19,21
66,36,17,18,20,28,37,1,2,9,10
68,49,57,50,58,42,43,51,59,60,34
99,36,20,28,44,37,45,19,21,27,29
109,36,49,57,44,37,45,50,58,22,30
129,41,54,56,55,22,30,6,14,17,18
140,60,52,53,61,44,62,45,54,51,59
142,17,18,33,1,2,9,10,19,25,26
147,51,59,60,52,44,45,43,35,36,50
171,17,18,20,28,1,2,9,10,19,21
175,20,28,19,21,27,29,43,53,3,4
188,60,53,61,52,62,44,54,37,45,55
189,51,59,60,52,44,45,53,61,31,38
192,22,30,36,6,14,17,18,20,28,7
228,17,18,20,28,1,2,9,10,19,21
237,34,35,36,49,57,37,22,30,6,14
243,36,20,28,19,21,27,29,37,22,30
249,49,57,50,58,42,43,51,59,60,34
250,7,8,15,16,23,24,32,31,40,48
253,53,61,62,63,64,54,56,55,41,49
256,51,59,50,58,42,49,57,53,61,43
281,41,33,42,25,26,27,43,53,34,35
300,51,59,60,52,44,53,61,45,43,62
307,7,8,15,16,23,24,32,22,30,31
311,17,18,33,1,2,9,10,19,21,25
312,17,18,1,2,9,10,19,25,26,7
324,17,18,20,28,1,2,9,10,19,21
332,21,29,5,13,17,18,20,28,37,45
353,22,30,6,14,49,57,36,7,8,15
355,41,33,42,22,30,6,14,25,26,27
364,49,57,50,58,42,43,51,59,60,34
379,31,39,47,45,7,8,15,16,23,24
387,17,18,20,28,1,2,9,10,19,21
428,21,29,22,30,6,14,5,13,7,8
431,36,44,37,45,20,28,22,30,6,14
436,43,53,35,41,42,63,64,54,56,21
439,17,18,20,28,1,2,9,10,19,21
448,6,14,5,13,21,29,22,30,20,28
457,1,2,9,10,3,4,5,11,12,13
487,53,61,20,28,62,63,64,54,56,19
492,63,64,56,43,51,59,60,55,35,36
502,33,41,25,26,27,34,35,17,18,20
503,42,56,43,41,55,34,35,36,52,7
512,1,2,9,10,3,4,11,12,17,18
517,36,63,64,20,28,44,56,7,8,15
542,21,29,43,7,8,15,16,23,24,32
557,49,57,50,58,42,43,51,59,53,61
567,41,7,8,15,16,23,24,32,31,40
568,53,45,5,13,52,6,14,42,44,54
581,56,7,8,15,16,23,24,32,22,30
585,7,8,15,16,23,24,32,31,40,48
589,53,61,62,63,64,54,56,55,41,49
597,1,2,9,10,17,18,3,4,11,12
606,27,43,51,59,41,49,57,35,7,8
609,1,2,9,10,3,4,11,12,17,18
611,20,28,19,21,27,29,3,4,5,11
634,44,53,61,20,28,37,45,19,21,27
655,63,64,56,50,58,55,49,57,62,42
670,17,18,20,28,33,1,2,9,10,19
674,7,8,15,16,23,24,32,5,13,31
676,63,64,56,21,29,55,5,13,7,8
678,43,51,59,42,31,38,46,35,52,45
688,21,29,41,5,13,7,8,15,16,23
714,53,61,62,63,64,54,56,43,51,59
725,51,59,60,53,61,45,55,31,52,39
728,63,64,56,21,29,41,55,5,13,7
729,36,20,28,44,37,45,19,21,27,29
731,1,2,9,10,3,4,5,11,12,13
763,42,43,53,34,35,36,52,41,49,57
774,43,51,59,60,61,50,58,35,36,52
778,3,4,5,11,12,13,1,2,9,10
783,36,20,28,37,19,21,27,29,22,30
796,7,8,15,16,23,24,32,31,37,40
800,17,18,20,28,1,2,9,10,19,21
802,21,29,5,13,7,8,15,16,23,24
815,7,8,15,16,23,24,32,31,40,48
819,7,8,15,16,23,24,32,31,40,48
821,21,29,63,64,5,13,56,7,8,15
833,43,22,30,6,14,35,36,52,7,8
