,VED,MIXL1,NDR1,BMP2B,AXIN2,GATA5,ISM1,OTX1B,BAMBIA,FGF8A
,VENT,SP5L,NOTO,SOX3,APLNRB,CDX4,CHD,OTX1A,GSC,NDR2
,TPH1B,SNAI1A,WNT11,TA,HES6,EVE1,FOXD5,LHX1A,ID3,FOXB1A
,CST3,ADMP,TBX16,HER1,FOXD3,LFT2,FOXI1,SEBOX,BMP4,NOG1
5,8,16,24,32,7,15,23,40,31,39
7,7,15,23,8,16,24,31,32,30,21
20,21,3,5,13,29,4,12,11,19,20
35,41,33,1,2,9,10,17,18,11,19
36,4,12,20,28,36,3,33,41,1,2
49,52,53,59,61,49,57,20,28,36,44
53,1,2,9,10,17,18,11,19,25,26
63,63,56,64,55,47,48,7,15,23,39
72,64,63,56,55,50,58,62,49,57,59
89,33,1,2,9,10,17,18,11,19,25
102,7,15,23,47,48,8,16,24,31,32
115,3,21,5,13,4,12,29,11,19,20
120,33,1,2,9,10,17,18,11,19,25
121,8,16,24,32,7,15,23,40,48,31
125,33,1,2,9,10,17,18,49,57,11
128,3,4,12,1,2,9,10,17,18,11
130,62,63,56,64,55,54,61,53,30,46
139,30,6,14,22,7,15,23,8,16,24
145,30,6,14,22,61,59,49,57,7,15
146,34,35,36,37,33,29,1,2,9,10
158,56,64,63,55,62,50,58,48,54,61
159,31,55,7,15,23,39,5,13,47,8
172,59,60,51,50,58,52,43,49,57,61
194,1,2,9,10,17,18,11,19,25,26
226,29,11,19,20,27,28,52,21,3,5
227,30,7,15,23,39,40,21,8,16,24
242,53,61,54,29,49,57,62,21,45,5
258,7,15,23,8,16,24,31,32,6,14
277,36,50,58,20,28,34,35,44,52,4
291,59,60,51,52,50,58,49,57,44,42
301,7,15,23,30,8,16,24,31,32,6
319,61,62,53,54,55,63,56,64,59,45
333,11,19,20,27,28,3,4,12,1,2
337,47,48,46,38,7,15,23,39,40,45
344,7,15,23,5,13,8,16,24,31,32
360,33,41,1,2,9,10,17,18,11,19
366,34,35,36,54,42,63,33,43,56,64
368,53,59,61,60,52,45,54,37,62,51
371,50,58,61,42,51,60,43,59,54,49
372,60,59,61,49,57,52,41,50,58,54
376,1,2,9,10,17,18,11,19,20,25
383,60,49,57,41,50,58,42,51,33,43
394,1,2,9,10,17,18,11,19,20,25
395,33,25,26,34,41,1,2,9,10,17
400,49,57,50,58,34,42,51,33,43,59
409,6,14,22,7,15,23,5,13,30,8
414,7,15,23,8,16,24,31,32,39,40
435,50,58,34,59,3,4,12,60,1,2
438,11,19,20,27,28,35,36,3,4,12
452,60,44,52,43,59,45,37,53,35,36
456,48,46,56,64,38,47,40,62,63,37
459,49,57,50,58,34,35,42,51,33,43
471,6,14,22,5,13,30,21,7,15,23
484,47,48,55,39,40,53,61,45,63,60
495,49,57,50,58,42,51,43,59,34,35
497,49,57,41,50,58,42,51,33,43,59
504,59,60,52,51,43,50,58,53,35,36
506,50,58,59,60,52,49,57,42,51,43
510,7,15,23,8,16,24,31,32,6,14
549,5,13,21,29,6,14,22,8,16,24
594,1,2,9,10,17,18,11,19,20,25
610,7,15,23,8,16,24,31,32,6,14
618,4,12,5,13,41,20,27,28,35,36
627,41,20,28,36,44,52,42,4,12,33
633,7,15,23,8,16,24,31,32,6,14
649,61,54,60,51,62,63,53,43,59,56
667,5,13,6,14,22,21,30,7,15,23
679,3,4,12,30,1,2,9,10,17,18
681,21,5,13,30,6,14,22,29,37,7
683,33,1,2,9,10,17,18,11,19,25
689,5,13,21,7,15,23,29,6,14,22
700,48,40,47,8,16,24,32,7,15,23
715,30,6,14,22,31,21,3,1,2,9
724,43,35,36,44,42,51,49,57,59,41
742,29,1,2,9,10,17,18,21,5,13
744,61,60,52,45,54,53,62,44,59,46
749,4,12,3,11,19,20,28,1,2,9
781,21,4,12,29,5,13,37,3,30,45
793,11,19,20,27,28,3,4,12,1,2
814,41,42,49,57,25,26,27,34,35,33
818,5,13,21,6,14,22,29,4,12,30
823,41,33,1,2,9,10,17,18,11,19
831,1,2,9,10,17,18,11,19,25,26
843,48,40,47,8,16,24,32,7,15,23
849,51,43,59,11,19,20,27,28,35,36
