,ADMP,AXIN2,ID3,BMP7A,CST3,NDR1,FOXD5,HES6,SOX3,TA
,OSR1,VOX,BMP4,CHD,EVE1,NOG1,GATA2A,NOTO,SP5L,VENT
10,49,41,57,33,25,17,9,1,50,42
30,41,49,33,57,25,17,9,1,42,34
37,41,49,33,57,25,17,9,1,42,34
40,35,36,43,27,34,37,26,42,44,28
41,3,4,11,2,5,10,12,6,13,18
47,6,5,7,8,4,14,13,15,16,12
50,1,2,3,4,5,6,7,8,9,10
79,41,49,33,57,25,17,9,1,42,34
97,49,41,57,33,25,17,9,1,50,42
123,36,37,35,38,44,28,39,43,27,45
137,49,41,57,33,25,17,9,1,50,42
156,41,49,33,57,25,17,9,1,42,34
160,50,42,58,51,49,43,59,41,57,34
167,6,5,7,8,4,14,13,15,16,12
173,21,22,20,23,24,29,13,19,28,12
183,6,5,7,8,4,14,13,15,16,12
184,41,49,33,57,25,17,9,1,42,34
199,21,22,20,23,24,29,13,19,28,12
202,49,41,57,33,25,17,9,1,50,42
203,41,49,33,57,25,17,9,1,42,34
210,41,49,33,57,25,17,9,1,42,34
225,59,60,51,58,61,50,52,62,53,42
229,1,9,17,25,33,41,49,57,2,10
230,11,12,3,19,10,13,18,2,4,20
233,6,5,7,8,4,14,13,15,16,12
248,1,9,17,25,33,41,49,57,2,10
262,41,49,33,57,25,17,9,1,42,34
263,34,26,42,35,33,43,27,41,25,50
271,49,41,57,33,25,17,9,1,50,42
289,11,12,3,19,10,13,18,2,4,20
308,34,26,42,35,33,43,27,41,25,50
320,36,37,35,38,44,28,39,43,27,45
321,41,49,33,57,25,17,9,1,42,34
326,21,22,20,23,24,29,13,19,28,12
334,21,22,20,23,24,29,13,19,28,12
347,49,41,57,33,25,17,9,1,50,42
361,47,48,46,45,44,39,55,54,38,56
388,3,4,11,2,5,10,12,6,13,18
406,59,60,51,58,61,50,52,62,53,42
410,49,41,57,33,25,17,9,1,50,42
417,49,41,57,33,25,17,9,1,50,42
422,35,36,43,27,34,37,26,42,44,28
444,6,5,7,8,4,14,13,15,16,12
445,41,49,33,57,25,17,9,1,42,34
446,21,22,20,23,24,29,13,19,28,12
458,49,41,57,33,25,17,9,1,50,42
460,49,41,57,33,25,17,9,1,50,42
469,41,49,33,57,25,17,9,1,42,34
498,41,49,33,57,25,17,9,1,42,34
501,3,4,11,2,5,10,12,6,13,18
508,1,2,3,4,5,6,7,8,9,10
515,11,12,3,19,10,13,18,2,4,20
520,1,9,17,25,33,41,49,57,2,10
522,49,41,57,33,25,17,9,1,50,42
538,1,2,3,4,5,6,7,8,9,10
540,49,41,57,33,25,17,9,1,50,42
555,59,60,51,58,61,50,52,62,53,42
556,59,60,51,58,61,50,52,62,53,42
576,49,41,57,33,25,17,9,1,50,42
605,21,22,20,23,24,29,13,19,28,12
616,5,6,4,7,8,13,3,12,14,15
619,59,60,51,58,61,50,52,62,53,42
622,7,8,6,5,4,15,14,16,13,12
626,1,2,3,4,5,6,7,8,9,10
639,20,21,19,22,28,12,23,27,11,29
657,49,41,57,33,25,17,9,1,50,42
658,35,36,43,27,34,37,26,42,44,28
662,41,49,33,57,25,17,9,1,42,34
666,49,41,57,33,25,17,9,1,50,42
686,7,8,6,5,4,15,14,16,13,12
699,21,22,20,23,24,29,13,19,28,12
706,61,62,60,63,64,53,59,52,54,55
711,5,6,4,7,8,13,3,12,14,15
717,49,41,57,33,25,17,9,1,50,42
762,36,37,35,38,44,28,39,43,27,45
773,59,60,51,58,61,50,52,62,53,42
775,7,8,6,5,4,15,14,16,13,12
776,29,30,28,31,32,21,37,27,20,36
786,6,5,7,8,4,14,13,15,16,12
787,1,9,17,25,33,41,49,57,2,10
792,62,61,63,64,60,54,53,55,56,52
794,41,49,33,57,25,17,9,1,42,34
810,37,38,36,39,40,45,29,35,44,28
816,11,12,3,19,10,13,18,2,4,20
825,21,22,20,23,24,29,13,19,28,12
830,6,5,7,8,4,14,13,15,16,12
