,ADMP,AXIN2,BMP2B,BMP7A,EVE1,NOG1,GATA2A,NOTO,SOX3,TA
,OSR1,BAMBIA,BMP4,CST3,LHX1A,FOXD5,HES6,OTX1A,SP5L,VENT
33,28,29,27,30,20,36,31,19,35,21
54,33,41,25,49,17,57,9,1,34,42
75,21,22,20,23,24,29,13,19,28,12
84,41,49,33,57,25,17,9,1,42,34
86,6,5,7,8,4,14,13,15,16,12
90,21,22,20,23,24,29,13,19,28,12
91,1,9,17,25,33,41,49,57,2,10
95,11,12,3,19,10,13,18,2,4,20
119,51,52,59,43,50,53,42,58,60,44
122,37,38,36,39,40,45,29,35,44,28
133,1,9,17,25,33,41,49,57,2,10
143,28,29,27,30,20,36,31,19,35,21
155,39,40,38,37,36,47,31,46,30,48
162,4,5,3,6,12,7,11,13,14,8
179,34,26,42,35,33,43,27,41,25,50
200,1,9,17,25,33,41,49,57,2,10
206,21,22,20,23,24,29,13,19,28,12
209,6,5,7,8,4,14,13,15,16,12
216,11,12,3,19,10,13,18,2,4,20
236,1,9,17,25,33,41,49,57,2,10
246,33,41,25,49,17,57,9,1,34,42
251,7,8,6,5,4,15,14,16,13,12
254,1,2,3,4,5,6,7,8,9,10
259,11,12,3,19,10,13,18,2,4,20
267,6,5,7,8,4,14,13,15,16,12
284,51,52,59,43,50,53,42,58,60,44
295,28,29,27,30,20,36,31,19,35,21
302,49,41,57,33,25,17,9,1,50,42
310,1,2,3,4,5,6,7,8,9,10
318,49,41,57,33,25,17,9,1,50,42
325,6,5,7,8,4,14,13,15,16,12
346,41,49,33,57,25,17,9,1,42,34
363,60,61,59,62,52,63,51,53,54,64
367,45,46,44,47,48,37,53,43,36,52
377,7,8,6,5,4,15,14,16,13,12
385,7,8,6,5,4,15,14,16,13,12
391,52,53,51,54,60,44,55,59,43,61
392,49,41,57,33,25,17,9,1,50,42
402,21,22,20,23,24,29,13,19,28,12
407,51,52,59,43,50,53,42,58,60,44
412,45,46,44,47,48,37,53,43,36,52
413,49,41,57,33,25,17,9,1,50,42
430,6,5,7,8,4,14,13,15,16,12
461,1,9,17,25,33,41,49,57,2,10
462,6,5,7,8,4,14,13,15,16,12
476,1,9,17,25,33,41,49,57,2,10
477,52,53,51,54,60,44,55,59,43,61
489,11,12,3,19,10,13,18,2,4,20
490,41,49,33,57,25,17,9,1,42,34
496,1,9,17,25,33,41,49,57,2,10
513,1,2,3,4,5,6,7,8,9,10
518,3,4,11,2,5,10,12,6,13,18
533,4,5,3,6,12,7,11,13,14,8
541,3,4,11,2,5,10,12,6,13,18
545,49,41,57,33,25,17,9,1,50,42
546,45,46,44,47,48,37,53,43,36,52
553,49,41,57,33,25,17,9,1,50,42
580,53,54,52,55,56,61,45,51,60,44
587,45,46,44,47,48,37,53,43,36,52
590,36,37,35,38,44,28,39,43,27,45
602,1,2,3,4,5,6,7,8,9,10
617,1,9,17,25,33,41,49,57,2,10
630,3,4,11,2,5,10,12,6,13,18
642,52,53,51,54,60,44,55,59,43,61
646,43,44,35,51,42,45,50,34,36,52
648,6,5,7,8,4,14,13,15,16,12
677,3,4,11,2,5,10,12,6,13,18
692,63,64,62,61,60,55,54,56,53,52
693,60,61,59,62,52,63,51,53,54,64
697,53,54,52,55,56,61,45,51,60,44
698,53,54,52,55,56,61,45,51,60,44
701,37,38,36,39,40,45,29,35,44,28
704,52,53,51,54,60,44,55,59,43,61
710,53,54,52,55,56,61,45,51,60,44
726,41,49,33,57,25,17,9,1,42,34
730,1,9,17,25,33,41,49,57,2,10
734,52,53,51,54,60,44,55,59,43,61
736,45,46,44,47,48,37,53,43,36,52
739,3,4,11,2,5,10,12,6,13,18
741,21,22,20,23,24,29,13,19,28,12
756,41,49,33,57,25,17,9,1,42,34
761,53,54,52,55,56,61,45,51,60,44
770,39,40,38,37,36,47,31,46,30,48
835,25,33,17,9,41,49,1,57,26,18
839,27,28,19,35,26,29,18,34,20,36
